,match_type,date,home,away,score,points
0,Europa League Qual. 2014/2015,31/07/2014,H,Asteras Tripolis,1:0 (1:0),3
1,Europa League Qual. 2014/2015,07/08/2014,A,Asteras Tripolis,1:3 (1:1),0
2,Bundesliga 2014/2015,24/08/2014,A,SC Paderborn 07,2:2 (1:1),1
3,Bundesliga 2014/2015,31/08/2014,H,Hannover 96,0:0 (0:0),1
4,Bundesliga 2014/2015,13/09/2014,A,Hertha BSC,3:1 (1:0),3
5,Bundesliga 2014/2015,20/09/2014,H,Borussia Dortmund,2:0 (0:0),3
6,Bundesliga 2014/2015,23/09/2014,A,Eintracht Frankfurt,2:2 (2:1),1
7,Bundesliga 2014/2015,26/09/2014,H,1899 Hoffenheim,0:0 (0:0),1
8,Bundesliga 2014/2015,05/10/2014,A,Bor. Mönchengladbach,1:1 (1:1),1
9,Bundesliga 2014/2015,18/10/2014,H,FC Augsburg,2:1 (2:0),3
10,Bundesliga 2014/2015,26/10/2014,A,VfL Wolfsburg,0:3 (0:1),0
11,Bundesliga 2014/2015,01/11/2014,H,Werder Bremen,1:2 (1:1),0
12,Bundesliga 2014/2015,08/11/2014,A,Bayer Leverkusen,0:0 (0:0),1
13,Bundesliga 2014/2015,22/11/2014,H,SC Freiburg,2:2 (1:1),1
14,Bundesliga 2014/2015,29/11/2014,A,FC Schalke 04,1:4 (1:2),0
15,Bundesliga 2014/2015,07/12/2014,A,Hamburger SV,1:2 (0:1),0
16,Bundesliga 2014/2015,13/12/2014,H,VfB Stuttgart,1:1 (1:0),1
17,Bundesliga 2014/2015,16/12/2014,A,1. FC Köln,0:0 (0:0),1
18,Bundesliga 2014/2015,19/12/2014,H,Bayern München,1:2 (1:1),0
19,Bundesliga 2014/2015,31/01/2015,H,SC Paderborn 07,5:0 (1:0),3
20,Bundesliga 2014/2015,03/02/2015,A,Hannover 96,1:1 (0:1),1
21,Bundesliga 2014/2015,07/02/2015,H,Hertha BSC,0:2 (0:2),0
22,Bundesliga 2014/2015,13/02/2015,A,Borussia Dortmund,2:4 (1:0),0
23,Bundesliga 2014/2015,21/02/2015,H,Eintracht Frankfurt,3:1 (1:1),3
24,Bundesliga 2014/2015,28/02/2015,A,1899 Hoffenheim,0:2 (0:0),0
25,Bundesliga 2014/2015,07/03/2015,H,Bor. Mönchengladbach,2:2 (0:1),1
26,Bundesliga 2014/2015,14/03/2015,A,FC Augsburg,2:0 (1:0),3
27,Bundesliga 2014/2015,22/03/2015,H,VfL Wolfsburg,1:1 (1:0),1
28,Bundesliga 2014/2015,04/04/2015,A,Werder Bremen,0:0 (0:0),1
29,Bundesliga 2014/2015,11/04/2015,H,Bayer Leverkusen,2:3 (0:1),0
30,Bundesliga 2014/2015,18/04/2015,A,SC Freiburg,3:2 (2:0),3
31,Bundesliga 2014/2015,24/04/2015,H,FC Schalke 04,2:0 (2:0),3
32,Bundesliga 2014/2015,03/05/2015,H,Hamburger SV,1:2 (0:1),0
33,Bundesliga 2014/2015,09/05/2015,A,VfB Stuttgart,0:2 (0:0),0
34,Bundesliga 2014/2015,16/05/2015,H,1. FC Köln,2:0 (0:0),3
35,Bundesliga 2014/2015,23/05/2015,A,Bayern München,0:2 (0:1),0
36,DFB-Pokal 2014/2015,15/08/2014,A,Chemnitzer FC,"4:5 (1:0, 3:3, 5:5) pso",0
