,match_type,date,home,away,score,points
0,Champions League 2009/2010,15/09/2009,A,Olympique Marseille,2:1 (1:0),3
1,Champions League 2009/2010,30/09/2009,H,FC Zürich,0:1 (0:1),0
2,Champions League 2009/2010,21/10/2009,A,Real Madrid,3:2 (0:1),3
3,Champions League 2009/2010,03/11/2009,H,Real Madrid,1:1 (1:1),1
4,Champions League 2009/2010,25/11/2009,H,Olympique Marseille,1:1 (1:1),1
5,Champions League 2009/2010,08/12/2009,A,FC Zürich,1:1 (0:1),1
6,Champions League 2009/2010,16/02/2010,H,Manchester United,2:3 (1:1),0
7,Champions League 2009/2010,10/03/2010,A,Manchester United,0:4 (0:1),0
8,Serie A 2009/2010,22/08/2009,A,AC Siena,2:1 (1:1),3
9,Serie A 2009/2010,29/08/2009,H,Inter,0:4 (0:3),0
10,Serie A 2009/2010,12/09/2009,A,AS Livorno,0:0 (0:0),1
11,Serie A 2009/2010,20/09/2009,H,Bologna FC,1:0 (0:0),3
12,Serie A 2009/2010,23/09/2009,A,Udinese Calcio,0:1 (0:1),0
13,Serie A 2009/2010,27/09/2009,H,AS Bari,0:0 (0:0),1
14,Serie A 2009/2010,04/10/2009,A,Atalanta,1:1 (0:1),1
15,Serie A 2009/2010,18/10/2009,H,AS Roma,2:1 (0:1),3
16,Serie A 2009/2010,25/10/2009,A,Chievo Verona,2:1 (0:1),3
17,Serie A 2009/2010,28/10/2009,A,SSC Napoli,2:2 (2:0),1
18,Serie A 2009/2010,31/10/2009,H,Parma FC,2:0 (1:0),3
19,Serie A 2009/2010,08/11/2009,A,Lazio Roma,2:1 (2:0),3
20,Serie A 2009/2010,22/11/2009,H,Cagliari Calcio,4:3 (3:2),3
21,Serie A 2009/2010,29/11/2009,A,Calcio Catania,2:0 (0:0),3
22,Serie A 2009/2010,05/12/2009,H,Sampdoria,3:0 (3:0),3
23,Serie A 2009/2010,13/12/2009,H,US Palermo,0:2 (0:0),0
24,Serie A 2009/2010,06/01/2010,H,Genoa CFC,5:2 (2:1),3
25,Serie A 2009/2010,10/01/2010,A,Juventus,3:0 (1:0),3
26,Serie A 2009/2010,17/01/2010,H,AC Siena,4:0 (2:0),3
27,Serie A 2009/2010,24/01/2010,A,Inter,0:2 (0:1),0
28,Serie A 2009/2010,31/01/2010,H,AS Livorno,1:1 (1:0),1
29,Serie A 2009/2010,07/02/2010,A,Bologna FC,0:0 (0:0),1
30,Serie A 2009/2010,12/02/2010,H,Udinese Calcio,3:2 (2:1),3
31,Serie A 2009/2010,21/02/2010,A,AS Bari,2:0 (1:0),3
32,Serie A 2009/2010,24/02/2010,A,ACF Fiorentina,2:1 (0:1),3
33,Serie A 2009/2010,28/02/2010,H,Atalanta,3:1 (2:0),3
34,Serie A 2009/2010,06/03/2010,A,AS Roma,0:0 (0:0),1
35,Serie A 2009/2010,14/03/2010,H,Chievo Verona,1:0 (0:0),3
36,Serie A 2009/2010,21/03/2010,H,SSC Napoli,1:1 (1:1),1
37,Serie A 2009/2010,24/03/2010,A,Parma FC,0:1 (0:0),0
38,Serie A 2009/2010,28/03/2010,H,Lazio Roma,1:1 (1:1),1
39,Serie A 2009/2010,03/04/2010,A,Cagliari Calcio,3:2 (3:2),3
40,Serie A 2009/2010,11/04/2010,H,Calcio Catania,2:2 (0:2),1
41,Serie A 2009/2010,18/04/2010,A,Sampdoria,1:2 (1:0),0
42,Serie A 2009/2010,24/04/2010,A,US Palermo,1:3 (0:2),0
43,Serie A 2009/2010,01/05/2010,H,ACF Fiorentina,1:0 (0:0),3
44,Serie A 2009/2010,09/05/2010,A,Genoa CFC,0:1 (0:0),0
45,Serie A 2009/2010,15/05/2010,H,Juventus,3:0 (2:0),3
46,Coppa Italia 2009/2010,13/01/2010,H,Novara Calcio,2:1 (1:0),3
47,Coppa Italia 2009/2010,27/01/2010,H,Udinese Calcio,0:1 (0:0),0
