,match_type,date,home,away,score,points
0,Serie A 2010/2011,29/08/2010,H,SSC Napoli,1:1 (0:1),1
1,Serie A 2010/2011,12/09/2010,A,US Lecce,0:1 (0:1),0
2,Serie A 2010/2011,18/09/2010,H,Lazio Roma,1:2 (1:1),0
3,Serie A 2010/2011,22/09/2010,A,Genoa CFC,1:1 (1:1),1
4,Serie A 2010/2011,26/09/2010,H,Parma FC,2:0 (0:0),3
5,Serie A 2010/2011,03/10/2010,H,US Palermo,1:2 (0:2),0
6,Serie A 2010/2011,17/10/2010,A,Sampdoria,1:2 (1:0),0
7,Serie A 2010/2011,23/10/2010,H,AS Bari,2:1 (1:0),3
8,Serie A 2010/2011,31/10/2010,A,Calcio Catania,0:0 (0:0),1
9,Serie A 2010/2011,07/11/2010,H,Chievo Verona,1:0 (0:0),3
10,Serie A 2010/2011,10/11/2010,A,AS Roma,2:3 (0:1),0
11,Serie A 2010/2011,13/11/2010,H,AC Cesena,1:0 (0:0),3
12,Serie A 2010/2011,20/11/2010,A,AC Milan,0:1 (0:1),0
13,Serie A 2010/2011,27/11/2010,A,Juventus,1:1 (1:0),1
14,Serie A 2010/2011,05/12/2010,H,Cagliari Calcio,1:0 (0:0),3
15,Serie A 2010/2011,11/12/2010,A,Udinese Calcio,1:2 (1:0),0
16,Serie A 2010/2011,06/01/2011,A,Bologna FC,1:1 (0:1),1
17,Serie A 2010/2011,09/01/2011,H,Brescia Calcio,3:2 (0:2),3
18,Serie A 2010/2011,15/01/2011,A,SSC Napoli,0:0 (0:0),1
19,Serie A 2010/2011,23/01/2011,H,US Lecce,1:1 (0:1),1
20,Serie A 2010/2011,29/01/2011,A,Lazio Roma,0:2 (0:0),0
21,Serie A 2010/2011,02/02/2011,H,Genoa CFC,1:0 (1:0),3
22,Serie A 2010/2011,06/02/2011,A,Parma FC,1:1 (0:1),1
23,Serie A 2010/2011,13/02/2011,A,US Palermo,4:2 (1:1),3
24,Serie A 2010/2011,16/02/2011,H,Inter,1:2 (1:1),0
25,Serie A 2010/2011,20/02/2011,H,Sampdoria,0:0 (0:0),1
26,Serie A 2010/2011,27/02/2011,A,AS Bari,1:1 (1:0),1
27,Serie A 2010/2011,06/03/2011,H,Calcio Catania,3:0 (2:0),3
28,Serie A 2010/2011,13/03/2011,A,Chievo Verona,1:0 (0:0),3
29,Serie A 2010/2011,20/03/2011,H,AS Roma,2:2 (2:1),1
30,Serie A 2010/2011,03/04/2011,A,AC Cesena,2:2 (1:1),1
31,Serie A 2010/2011,10/04/2011,H,AC Milan,1:2 (0:2),0
32,Serie A 2010/2011,17/04/2011,H,Juventus,0:0 (0:0),1
33,Serie A 2010/2011,23/04/2011,A,Cagliari Calcio,2:1 (1:0),3
34,Serie A 2010/2011,01/05/2011,H,Udinese Calcio,5:2 (2:1),3
35,Serie A 2010/2011,08/05/2011,A,Inter,1:3 (0:2),0
36,Serie A 2010/2011,15/05/2011,H,Bologna FC,1:1 (1:0),1
37,Serie A 2010/2011,22/05/2011,A,Brescia Calcio,2:2 (1:1),1
38,Coppa Italia 2010/2011,26/10/2010,H,Empoli FC,"1:0 (0:0, 0:0) aet",3
39,Coppa Italia 2010/2011,30/11/2010,H,Reggina Calcio,3:0 (2:0),3
40,Coppa Italia 2010/2011,14/12/2010,A,Parma FC,"1:2 (0:0, 0:0) aet",0
