,match_type,date,home,away,score,points
0,Premier League 1987/1988,14/08/1987,H,Liverpool FC,1:2,0
1,Premier League 1987/1988,18/08/1987,A,Manchester United,0:0,1
2,Premier League 1987/1988,21/08/1987,A,Queens Park Rangers,0:2,0
3,Premier League 1987/1988,28/08/1987,H,Portsmouth FC,6:0,3
4,Premier League 1987/1988,30/08/1987,A,Luton Town,1:1,1
5,Premier League 1987/1988,11/09/1987,A,Nottingham Forest,1:0,3
6,Premier League 1987/1988,18/09/1987,H,Wimbledon FC,3:0,3
7,Premier League 1987/1988,25/09/1987,H,West Ham United,1:0,3
8,Premier League 1987/1988,03/10/1987,A,Charlton Athletic,3:0,3
9,Premier League 1987/1988,10/10/1987,H,Oxford United,2:0,3
10,Premier League 1987/1988,18/10/1987,A,Tottenham Hotspur,2:1,3
11,Premier League 1987/1988,24/10/1987,H,Derby County,2:1,3
12,Premier League 1987/1988,30/10/1987,A,Newcastle United,1:0,3
13,Premier League 1987/1988,02/11/1987,H,Chelsea FC,3:1,3
14,Premier League 1987/1988,13/11/1987,A,Norwich City,4:2,3
15,Premier League 1987/1988,20/11/1987,H,Southampton FC,0:1,0
16,Premier League 1987/1988,27/11/1987,A,Watford FC,0:2,0
17,Premier League 1987/1988,04/12/1987,H,Sheffield Wednesday,3:1,3
18,Premier League 1987/1988,12/12/1987,A,Coventry City,0:0,1
19,Premier League 1987/1988,18/12/1987,H,Everton FC,1:1,1
20,Premier League 1987/1988,25/12/1987,H,Nottingham Forest,0:2,0
21,Premier League 1987/1988,27/12/1987,A,Wimbledon FC,1:3,0
22,Premier League 1987/1988,31/12/1987,A,Portsmouth FC,1:1,1
23,Premier League 1987/1988,01/01/1988,H,Queens Park Rangers,0:0,1
24,Premier League 1987/1988,15/01/1988,A,Liverpool FC,0:2,0
25,Premier League 1987/1988,23/01/1988,H,Manchester United,1:2,0
26,Premier League 1987/1988,12/02/1988,H,Luton Town,2:1,3
27,Premier League 1987/1988,26/02/1988,H,Charlton Athletic,4:0,3
28,Premier League 1987/1988,05/03/1988,H,Tottenham Hotspur,2:1,3
29,Premier League 1987/1988,18/03/1988,H,Newcastle United,1:1,1
30,Premier League 1987/1988,25/03/1988,A,Derby County,0:0 (0:0),1
31,Premier League 1987/1988,29/03/1988,A,Oxford United,0:0,1
32,Premier League 1987/1988,01/04/1988,A,Chelsea FC,1:1 (0:0),1
33,Premier League 1987/1988,03/04/1988,H,Norwich City,2:0 (1:0),3
34,Premier League 1987/1988,08/04/1988,A,Southampton FC,2:4 (1:3),0
35,Premier League 1987/1988,11/04/1988,A,West Ham United,1:0,3
36,Premier League 1987/1988,14/04/1988,H,Watford FC,0:1 (0:0),0
37,Premier League 1987/1988,29/04/1988,A,Sheffield Wednesday,3:3 (1:3),1
38,Premier League 1987/1988,01/05/1988,H,Coventry City,1:1 (1:1),1
39,Premier League 1987/1988,06/05/1988,A,Everton FC,2:1 (2:1),3
40,FA Cup 1987/1988,08/01/1988,H,Millwall FC,2:0,3
41,FA Cup 1987/1988,29/01/1988,A,Brighton & Hove Albion,2:1,3
42,FA Cup 1987/1988,19/02/1988,H,Manchester United,2:1,3
43,FA Cup 1987/1988,11/03/1988,H,Nottingham Forest,1:2,0
44,League Cup 1987/1988,26/10/1987,H,AFC Bournemouth,3:0,3
45,League Cup 1987/1988,16/11/1987,H,Stoke City,3:0,3
46,League Cup 1987/1988,19/01/1988,A,Sheffield Wednesday,1:0,3
47,League Cup 1987/1988,06/02/1988,A,Everton FC,1:0,3
48,League Cup 1987/1988,23/02/1988,H,Everton FC,3:1,3
49,League Cup 1987/1988,23/04/1988,N,Luton Town,2:3 (0:1),0
