,match_type,date,home,away,score,points
0,Ligue 1 2009/2010,08/08/2009,H,Toulouse FC,1:0 (1:0),3
1,Ligue 1 2009/2010,15/08/2009,A,AS Nancy,0:4 (0:2),0
2,Ligue 1 2009/2010,22/08/2009,H,FC Lorient,2:0 (2:0),3
3,Ligue 1 2009/2010,29/08/2009,A,FC Sochaux,0:1 (0:1),0
4,Ligue 1 2009/2010,13/09/2009,H,Paris Saint-Germain,2:0 (0:0),3
5,Ligue 1 2009/2010,19/09/2009,A,OGC Nice,3:1 (2:1),3
6,Ligue 1 2009/2010,26/09/2009,H,AS Saint-Étienne,1:2 (0:1),0
7,Ligue 1 2009/2010,04/10/2009,A,Olympique Marseille,2:1 (2:0),3
8,Ligue 1 2009/2010,18/10/2009,H,RC Lens,2:0 (1:0),3
9,Ligue 1 2009/2010,24/10/2009,A,US Boulogne,3:1 (1:0),3
10,Ligue 1 2009/2010,31/10/2009,A,Girondins Bordeaux,0:1 (0:0),0
11,Ligue 1 2009/2010,07/11/2009,H,Grenoble Foot 38,0:0 (0:0),1
12,Ligue 1 2009/2010,21/11/2009,A,AJ Auxerre,0:2 (0:1),0
13,Ligue 1 2009/2010,05/12/2009,A,Valenciennes FC,1:3 (0:1),0
14,Ligue 1 2009/2010,13/12/2009,H,Lille OSC,0:4 (0:1),0
15,Ligue 1 2009/2010,16/12/2009,H,Stade Rennes,1:0 (1:0),3
16,Ligue 1 2009/2010,20/12/2009,H,Olympique Lyon,1:1 (1:1),1
17,Ligue 1 2009/2010,23/12/2009,A,Le Mans UC 72,1:1 (0:1),1
18,Ligue 1 2009/2010,13/01/2010,H,Montpellier HSC,4:0 (1:0),3
19,Ligue 1 2009/2010,16/01/2010,H,FC Sochaux,2:0 (0:0),3
20,Ligue 1 2009/2010,20/01/2010,A,Paris Saint-Germain,1:0 (0:0),3
21,Ligue 1 2009/2010,30/01/2010,H,OGC Nice,3:2 (1:0),3
22,Ligue 1 2009/2010,07/02/2010,A,AS Saint-Étienne,0:3 (0:1),0
23,Ligue 1 2009/2010,13/02/2010,H,Olympique Marseille,1:2 (1:1),0
24,Ligue 1 2009/2010,20/02/2010,A,RC Lens,0:3 (0:2),0
25,Ligue 1 2009/2010,27/02/2010,H,US Boulogne,1:0 (1:0),3
26,Ligue 1 2009/2010,06/03/2010,A,Stade Rennes,0:1 (0:1),0
27,Ligue 1 2009/2010,13/03/2010,H,Girondins Bordeaux,0:0 (0:0),1
28,Ligue 1 2009/2010,20/03/2010,A,Grenoble Foot 38,0:0 (0:0),1
29,Ligue 1 2009/2010,29/03/2010,H,AJ Auxerre,0:0 (0:0),1
30,Ligue 1 2009/2010,03/04/2010,A,Montpellier HSC,0:0 (0:0),1
31,Ligue 1 2009/2010,10/04/2010,H,Valenciennes FC,2:1 (0:1),3
32,Ligue 1 2009/2010,18/04/2010,A,Lille OSC,0:4 (0:2),0
33,Ligue 1 2009/2010,27/04/2010,H,Le Mans UC 72,1:1 (0:1),1
34,Ligue 1 2009/2010,05/05/2010,A,FC Lorient,2:2 (1:1),1
35,Ligue 1 2009/2010,08/05/2010,H,AS Nancy,2:1 (1:0),3
36,Ligue 1 2009/2010,12/05/2010,A,Olympique Lyon,0:3 (0:1),0
37,Ligue 1 2009/2010,15/05/2010,A,Toulouse FC,0:0 (0:0),1
38,Coupe de France 2009/2010,09/01/2010,H,Tours FC,"4:3 (0:0, 0:0, 0:0) pso",3
39,Coupe de France 2009/2010,24/01/2010,H,Olympique Lyon,2:1 (0:1),3
40,Coupe de France 2009/2010,10/02/2010,A,Girondins Bordeaux,2:0 (1:0),3
41,Coupe de France 2009/2010,24/03/2010,H,FC Sochaux,"4:3 (2:1, 3:3) aet",3
42,Coupe de France 2009/2010,13/04/2010,H,RC Lens,"1:0 (0:0, 0:0) aet",3
43,Coupe de France 2009/2010,01/05/2010,N,Paris Saint-Germain,0:1 aet,0
44,Coupe de la Ligue 2009/2010,23/09/2009,A,AS Nancy,0:2 (0:1),0
