,match_type,date,home,away,score,points
0,Serie A 1985/1986,07/09/1985,A,Atalanta,2:1 (1:0),3
1,Serie A 1985/1986,14/09/1985,H,Udinese Calcio,1:0 (1:0),3
2,Serie A 1985/1986,21/09/1985,A,AS Bari,0:2 (0:0),0
3,Serie A 1985/1986,28/09/1985,A,SSC Napoli,1:1 (1:0),1
4,Serie A 1985/1986,06/10/1985,H,Torino FC,2:0 (1:0),3
5,Serie A 1985/1986,13/10/1985,A,US Avellino,0:1 (0:0),0
6,Serie A 1985/1986,20/10/1985,H,ACF Fiorentina,2:1 (1:0),3
7,Serie A 1985/1986,27/10/1985,A,Inter,1:2 (0:1),0
8,Serie A 1985/1986,02/11/1985,H,Hellas Verona,2:1 (1:1),3
9,Serie A 1985/1986,09/11/1985,A,Juventus,1:3 (1:1),0
10,Serie A 1985/1986,23/11/1985,H,AC Milan,2:1 (2:1),3
11,Serie A 1985/1986,30/11/1985,A,Sampdoria,0:1 (0:1),0
12,Serie A 1985/1986,07/12/1985,H,Pisa SC,1:0 (1:0),3
13,Serie A 1985/1986,14/12/1985,A,US Lecce,3:0 (0:0),3
14,Serie A 1985/1986,21/12/1985,H,Calcio Como,0:0 (0:0),1
15,Serie A 1985/1986,04/01/1986,H,Atalanta,4:0 (1:0),3
16,Serie A 1985/1986,11/01/1986,A,Udinese Calcio,2:0 (1:0),3
17,Serie A 1985/1986,18/01/1986,H,AS Bari,2:1 (1:1),3
18,Serie A 1985/1986,25/01/1986,H,SSC Napoli,2:0 (1:0),3
19,Serie A 1985/1986,08/02/1986,A,Torino FC,1:0 (1:0),3
20,Serie A 1985/1986,15/02/1986,H,US Avellino,5:1 (1:1),3
21,Serie A 1985/1986,22/02/1986,A,ACF Fiorentina,1:1 (1:0),1
22,Serie A 1985/1986,01/03/1986,H,Inter,3:1 (2:0),3
23,Serie A 1985/1986,08/03/1986,A,Hellas Verona,2:3 (2:1),0
24,Serie A 1985/1986,15/03/1986,H,Juventus,3:0 (2:0),3
25,Serie A 1985/1986,22/03/1986,A,AC Milan,1:0 (0:0),3
26,Serie A 1985/1986,05/04/1986,H,Sampdoria,1:0 (0:0),3
27,Serie A 1985/1986,12/04/1986,A,Pisa SC,4:2 (1:2),3
28,Serie A 1985/1986,19/04/1986,H,US Lecce,2:3 (1:2),0
29,Serie A 1985/1986,26/04/1986,A,Calcio Como,0:1 (0:1),0
30,Coppa Italia 1985/1986,07/06/1986,A,Sampdoria,1:2,0
31,Coppa Italia 1985/1986,14/06/1986,H,Sampdoria,2:0,3
