,match_type,date,home,away,score,points
0,Primera División 2007/2008,26/08/2007,H,CA Osasuna,0:0 (0:0),1
1,Primera División 2007/2008,02/09/2007,A,FC Barcelona,1:3 (0:2),0
2,Primera División 2007/2008,15/09/2007,H,Real Zaragoza,1:1 (1:1),1
3,Primera División 2007/2008,23/09/2007,A,Levante UD,2:1 (1:0),3
4,Primera División 2007/2008,26/09/2007,H,Atlético Madrid,0:2 (0:1),0
5,Primera División 2007/2008,30/09/2007,A,Villarreal CF,0:1 (0:0),0
6,Primera División 2007/2008,07/10/2007,H,UD Almería,1:1 (1:0),1
7,Primera División 2007/2008,21/10/2007,A,Real Valladolid,2:1 (2:0),3
8,Primera División 2007/2008,27/10/2007,H,Real Betis,0:0 (0:0),1
9,Primera División 2007/2008,31/10/2007,A,Getafe CF,0:2 (0:2),0
10,Primera División 2007/2008,04/11/2007,H,Recreativo Huelva,2:0 (0:0),3
11,Primera División 2007/2008,11/11/2007,A,Espanyol Barcelona,1:2 (1:1),0
12,Primera División 2007/2008,25/11/2007,H,Deportivo La Coruña,2:2 (1:0),1
13,Primera División 2007/2008,02/12/2007,A,Valencia CF,3:0 (1:0),3
14,Primera División 2007/2008,08/12/2007,H,Real Madrid,0:1 (0:0),0
15,Primera División 2007/2008,16/12/2007,A,RCD Mallorca,0:0 (0:0),1
16,Primera División 2007/2008,23/12/2007,H,Real Murcia,1:1 (1:0),1
17,Primera División 2007/2008,06/01/2008,A,Racing Santander,0:1 (0:1),0
18,Primera División 2007/2008,12/01/2008,H,Sevilla FC,2:0 (1:0),3
19,Primera División 2007/2008,20/01/2008,A,CA Osasuna,0:2 (0:0),0
20,Primera División 2007/2008,27/01/2008,H,FC Barcelona,1:1 (0:1),1
21,Primera División 2007/2008,03/02/2008,A,Real Zaragoza,0:1 (0:1),0
22,Primera División 2007/2008,10/02/2008,H,Levante UD,1:0 (0:0),3
23,Primera División 2007/2008,17/02/2008,A,Atlético Madrid,2:1 (2:1),3
24,Primera División 2007/2008,24/02/2008,H,Villarreal CF,1:2 (1:0),0
25,Primera División 2007/2008,02/03/2008,A,UD Almería,1:1 (0:0),1
26,Primera División 2007/2008,09/03/2008,H,Real Valladolid,2:0 (1:0),3
27,Primera División 2007/2008,15/03/2008,A,Real Betis,2:1 (1:1),3
28,Primera División 2007/2008,23/03/2008,H,Getafe CF,1:0 (1:0),3
29,Primera División 2007/2008,30/03/2008,A,Recreativo Huelva,1:1 (0:1),1
30,Primera División 2007/2008,06/04/2008,H,Espanyol Barcelona,1:0 (1:0),3
31,Primera División 2007/2008,13/04/2008,A,Deportivo La Coruña,0:3 (0:1),0
32,Primera División 2007/2008,20/04/2008,H,Valencia CF,5:1 (1:0),3
33,Primera División 2007/2008,27/04/2008,A,Real Madrid,0:3 (0:1),0
34,Primera División 2007/2008,04/05/2008,H,RCD Mallorca,1:2 (1:1),0
35,Primera División 2007/2008,07/05/2008,A,Real Murcia,2:1 (1:1),3
36,Primera División 2007/2008,11/05/2008,H,Racing Santander,0:0 (0:0),1
37,Primera División 2007/2008,18/05/2008,A,Sevilla FC,1:4 (1:1),0
38,Copa del Rey 2007/2008,13/11/2007,A,Hércules CF,2:2,1
39,Copa del Rey 2007/2008,02/01/2008,H,Hércules CF,2:0,3
40,Copa del Rey 2007/2008,09/01/2008,H,Espanyol Barcelona,1:1 (0:0),1
41,Copa del Rey 2007/2008,16/01/2008,A,Espanyol Barcelona,"4:3 (0:1, 1:1, 1:1) pso",3
42,Copa del Rey 2007/2008,24/01/2008,A,Racing Santander,0:2 (0:0),0
43,Copa del Rey 2007/2008,31/01/2008,H,Racing Santander,3:3 (2:0),1
