,match_type,date,home,away,score,points
0,Champions League 2016/2017,13/09/2016,A,PSV Eindhoven,1:0 (1:0),3
1,Champions League 2016/2017,28/09/2016,H,Bayern München,1:0 (1:0),3
2,Champions League 2016/2017,19/10/2016,A,FK Rostov,1:0 (0:0),3
3,Champions League 2016/2017,01/11/2016,H,FK Rostov,2:1 (1:1),3
4,Champions League 2016/2017,23/11/2016,H,PSV Eindhoven,2:0 (0:0),3
5,Champions League 2016/2017,06/12/2016,A,Bayern München,0:1 (0:1),0
6,Champions League 2016/2017,21/02/2017,A,Bayer Leverkusen,4:2 (2:0),3
7,Champions League 2016/2017,15/03/2017,H,Bayer Leverkusen,0:0 (0:0),1
8,Champions League 2016/2017,12/04/2017,H,Leicester City,1:0 (1:0),3
9,Champions League 2016/2017,18/04/2017,A,Leicester City,1:1 (1:0),1
10,Champions League 2016/2017,02/05/2017,A,Real Madrid,0:3 (0:1),0
11,Champions League 2016/2017,10/05/2017,H,Real Madrid,2:1 (2:1),3
12,Primera División 2016/2017,21/08/2016,H,CD Alavés,1:1 (0:0),1
13,Primera División 2016/2017,27/08/2016,A,CD Leganés,0:0 (0:0),1
14,Primera División 2016/2017,10/09/2016,A,Celta Vigo,4:0 (0:0),3
15,Primera División 2016/2017,17/09/2016,H,Sporting Gijón,5:0 (3:0),3
16,Primera División 2016/2017,21/09/2016,A,FC Barcelona,1:1 (0:1),1
17,Primera División 2016/2017,25/09/2016,H,Deportivo La Coruña,1:0 (0:0),3
18,Primera División 2016/2017,02/10/2016,A,Valencia CF,2:0 (0:0),3
19,Primera División 2016/2017,15/10/2016,H,Granada CF,7:1 (2:1),3
20,Primera División 2016/2017,23/10/2016,A,Sevilla FC,0:1 (0:0),0
21,Primera División 2016/2017,29/10/2016,H,Málaga CF,4:2 (3:1),3
22,Primera División 2016/2017,05/11/2016,A,Real Sociedad,0:2 (0:0),0
23,Primera División 2016/2017,19/11/2016,H,Real Madrid,0:3 (0:1),0
24,Primera División 2016/2017,27/11/2016,A,CA Osasuna,3:0 (2:0),3
25,Primera División 2016/2017,03/12/2016,H,Espanyol Barcelona,0:0 (0:0),1
26,Primera División 2016/2017,12/12/2016,A,Villarreal CF,0:3 (0:2),0
27,Primera División 2016/2017,17/12/2016,H,UD Las Palmas,1:0 (0:0),3
28,Primera División 2016/2017,07/01/2017,A,SD Eibar,2:0 (0:0),3
29,Primera División 2016/2017,14/01/2017,H,Real Betis,1:0 (1:0),3
30,Primera División 2016/2017,22/01/2017,A,Athletic Bilbao,2:2 (1:1),1
31,Primera División 2016/2017,28/01/2017,A,CD Alavés,0:0 (0:0),1
32,Primera División 2016/2017,04/02/2017,H,CD Leganés,2:0 (1:0),3
33,Primera División 2016/2017,12/02/2017,H,Celta Vigo,3:2 (1:1),3
34,Primera División 2016/2017,18/02/2017,A,Sporting Gijón,4:1 (0:0),3
35,Primera División 2016/2017,26/02/2017,H,FC Barcelona,1:2 (0:0),0
36,Primera División 2016/2017,02/03/2017,A,Deportivo La Coruña,1:1 (0:1),1
37,Primera División 2016/2017,05/03/2017,H,Valencia CF,3:0 (1:0),3
38,Primera División 2016/2017,11/03/2017,A,Granada CF,1:0 (0:0),3
39,Primera División 2016/2017,19/03/2017,H,Sevilla FC,3:1 (1:0),3
40,Primera División 2016/2017,01/04/2017,A,Málaga CF,2:0 (1:0),3
41,Primera División 2016/2017,04/04/2017,H,Real Sociedad,1:0 (1:0),3
42,Primera División 2016/2017,08/04/2017,A,Real Madrid,1:1 (0:0),1
43,Primera División 2016/2017,15/04/2017,H,CA Osasuna,3:0 (1:0),3
44,Primera División 2016/2017,22/04/2017,A,Espanyol Barcelona,1:0 (0:0),3
45,Primera División 2016/2017,25/04/2017,H,Villarreal CF,0:1 (0:0),0
46,Primera División 2016/2017,29/04/2017,A,UD Las Palmas,5:0 (3:0),3
47,Primera División 2016/2017,06/05/2017,H,SD Eibar,1:0 (0:0),3
48,Primera División 2016/2017,14/05/2017,A,Real Betis,1:1 (0:0),1
49,Primera División 2016/2017,21/05/2017,H,Athletic Bilbao,3:1 (2:0),3
50,Copa del Rey 2016/2017,30/11/2016,A,CD Guijuelo,6:0 (2:0),3
51,Copa del Rey 2016/2017,20/12/2016,H,CD Guijuelo,4:1 (4:0),3
52,Copa del Rey 2016/2017,03/01/2017,A,UD Las Palmas,2:0 (1:0),3
53,Copa del Rey 2016/2017,10/01/2017,H,UD Las Palmas,2:3 (0:0),0
54,Copa del Rey 2016/2017,19/01/2017,H,SD Eibar,3:0 (1:0),3
55,Copa del Rey 2016/2017,25/01/2017,A,SD Eibar,2:2 (0:0),1
56,Copa del Rey 2016/2017,01/02/2017,H,FC Barcelona,1:2 (0:2),0
57,Copa del Rey 2016/2017,07/02/2017,A,FC Barcelona,1:1 (0:1),1
