,match_type,date,home,away,score,points
0,Champions League 1997/1998,16/09/1997,H,Lierse SK,1:0 (1:0),3
1,Champions League 1997/1998,30/09/1997,A,AS Monaco,0:4 (0:1),0
2,Champions League 1997/1998,21/10/1997,A,Sporting CP,2:0 (0:0),3
3,Champions League 1997/1998,04/11/1997,H,Sporting CP,4:1 (1:1),3
4,Champions League 1997/1998,25/11/1997,A,Lierse SK,2:0 (0:0),3
5,Champions League 1997/1998,09/12/1997,H,AS Monaco,2:2 (1:0),1
6,Champions League 1997/1998,03/03/1998,H,Real Madrid,1:1 (1:0),1
7,Champions League 1997/1998,17/03/1998,A,Real Madrid,0:3 (0:0),0
8,Champions League Qual. 1997/1998,13/08/1997,H,Dinamo Tbilisi,6:1 (2:0),3
9,Champions League Qual. 1997/1998,27/08/1997,A,Dinamo Tbilisi,0:1 (0:1),0
10,Bundesliga 1997/1998,01/08/1997,A,FC Schalke 04,1:2 (1:0),0
11,Bundesliga 1997/1998,05/08/1997,H,VfL Bochum,3:2 (0:1),3
12,Bundesliga 1997/1998,08/08/1997,A,VfB Stuttgart,0:1 (0:1),0
13,Bundesliga 1997/1998,23/08/1997,H,Karlsruher SC,6:1 (2:1),3
14,Bundesliga 1997/1998,30/08/1997,A,Werder Bremen,1:2 (0:1),0
15,Bundesliga 1997/1998,13/09/1997,H,TSV 1860 München,2:2 (0:0),1
16,Bundesliga 1997/1998,20/09/1997,A,Arminia Bielefeld,1:2 (1:1),0
17,Bundesliga 1997/1998,27/09/1997,H,Hansa Rostock,1:1 (0:1),1
18,Bundesliga 1997/1998,04/10/1997,H,MSV Duisburg,2:1 (2:1),3
19,Bundesliga 1997/1998,14/10/1997,A,Borussia Dortmund,1:0 (0:0),3
20,Bundesliga 1997/1998,18/10/1997,H,1. FC Kaiserslautern,1:1 (0:0),1
21,Bundesliga 1997/1998,25/10/1997,A,Bor. Mönchengladbach,2:2 (1:1),1
22,Bundesliga 1997/1998,31/10/1997,H,VfL Wolfsburg,2:1 (1:0),3
23,Bundesliga 1997/1998,08/11/1997,A,Hamburger SV,1:0 (0:0),3
24,Bundesliga 1997/1998,11/11/1997,H,1. FC Köln,4:0 (2:0),3
25,Bundesliga 1997/1998,22/11/1997,A,Hertha BSC,2:2 (0:2),1
26,Bundesliga 1997/1998,30/11/1997,H,Bayern München,4:2 (1:2),3
27,Bundesliga 1997/1998,06/12/1997,H,FC Schalke 04,0:0 (0:0),1
28,Bundesliga 1997/1998,14/12/1997,A,VfL Bochum,0:0 (0:0),1
29,Bundesliga 1997/1998,20/12/1997,H,VfB Stuttgart,6:1 (3:1),3
30,Bundesliga 1997/1998,01/02/1998,A,Karlsruher SC,1:1 (1:1),1
31,Bundesliga 1997/1998,07/02/1998,H,Werder Bremen,4:1 (1:1),3
32,Bundesliga 1997/1998,14/02/1998,A,TSV 1860 München,4:3 (0:1),3
33,Bundesliga 1997/1998,28/02/1998,H,Arminia Bielefeld,0:0 (0:0),1
34,Bundesliga 1997/1998,07/03/1998,A,Hansa Rostock,2:1 (2:0),3
35,Bundesliga 1997/1998,13/03/1998,A,MSV Duisburg,1:1 (1:1),1
36,Bundesliga 1997/1998,28/03/1998,A,1. FC Kaiserslautern,3:0 (0:0),3
37,Bundesliga 1997/1998,04/04/1998,H,Bor. Mönchengladbach,1:1 (0:0),1
38,Bundesliga 1997/1998,11/04/1998,A,VfL Wolfsburg,0:1 (0:1),0
39,Bundesliga 1997/1998,18/04/1998,H,Hamburger SV,5:0 (2:0),3
40,Bundesliga 1997/1998,26/04/1998,A,Bayern München,1:2 (0:1),0
41,Bundesliga 1997/1998,29/04/1998,H,Borussia Dortmund,2:2 (0:1),1
42,Bundesliga 1997/1998,02/05/1998,H,Hertha BSC,0:1 (0:0),0
43,Bundesliga 1997/1998,09/05/1998,A,1. FC Köln,2:2 (0:1),1
44,DFB-Pokal 1997/1998,16/08/1997,A,Hansa Rostock,2:0 (0:0),3
45,DFB-Pokal 1997/1998,24/09/1997,H,Hamburger SV,"2:1 (0:0, 1:1) aet",3
46,DFB-Pokal 1997/1998,03/12/1997,H,Arminia Bielefeld,"4:3 (1:0, 1:1, 1:1) pso",3
47,DFB-Pokal 1997/1998,17/12/1997,A,Bayern München,0:2 (0:1),0
48,League Cup 1997,18/07/1997,N,Karlsruher SC,"5:6 (2:1, 2:2, 2:2) pso",0
