,match_type,date,home,away,score,points
0,Champions League 2003/2004,17/09/2003,H,Celtic FC,2:1 (0:0),3
1,Champions League 2003/2004,30/09/2003,A,RSC Anderlecht,1:1 (0:0),1
2,Champions League 2003/2004,21/10/2003,A,Olympique Lyon,1:1 (1:0),1
3,Champions League 2003/2004,05/11/2003,H,Olympique Lyon,1:2 (1:1),0
4,Champions League 2003/2004,25/11/2003,A,Celtic FC,0:0 (0:0),1
5,Champions League 2003/2004,10/12/2003,H,RSC Anderlecht,1:0 (1:0),3
6,Champions League 2003/2004,24/02/2004,H,Real Madrid,1:1 (0:0),1
7,Champions League 2003/2004,10/03/2004,A,Real Madrid,0:1 (0:1),0
8,Bundesliga 2003/2004,01/08/2003,H,Eintracht Frankfurt,3:1 (3:0),3
9,Bundesliga 2003/2004,09/08/2003,A,Hannover 96,3:3 (1:3),1
10,Bundesliga 2003/2004,16/08/2003,H,VfL Bochum,2:0 (2:0),3
11,Bundesliga 2003/2004,24/08/2003,A,Hamburger SV,2:0 (1:0),3
12,Bundesliga 2003/2004,13/09/2003,A,VfL Wolfsburg,2:3 (0:1),0
13,Bundesliga 2003/2004,20/09/2003,H,Bayer Leverkusen,3:3 (1:2),1
14,Bundesliga 2003/2004,27/09/2003,A,Hansa Rostock,2:1 (1:0),3
15,Bundesliga 2003/2004,04/10/2003,H,Hertha BSC,4:1 (2:0),3
16,Bundesliga 2003/2004,18/10/2003,A,Bor. Mönchengladbach,0:0 (0:0),1
17,Bundesliga 2003/2004,25/10/2003,H,1. FC Kaiserslautern,4:1 (2:0),3
18,Bundesliga 2003/2004,01/11/2003,A,FC Schalke 04,0:2 (0:1),0
19,Bundesliga 2003/2004,09/11/2003,H,Borussia Dortmund,4:1 (1:0),3
20,Bundesliga 2003/2004,22/11/2003,A,TSV 1860 München,1:0 (1:0),3
21,Bundesliga 2003/2004,29/11/2003,H,1. FC Köln,2:2 (1:1),1
22,Bundesliga 2003/2004,06/12/2003,A,Werder Bremen,1:1 (0:0),1
23,Bundesliga 2003/2004,13/12/2003,H,VfB Stuttgart,1:0 (0:0),3
24,Bundesliga 2003/2004,16/12/2003,A,SC Freiburg,6:0 (3:0),3
25,Bundesliga 2003/2004,31/01/2004,A,Eintracht Frankfurt,1:1 (1:1),1
26,Bundesliga 2003/2004,08/02/2004,H,Hannover 96,3:1 (1:0),3
27,Bundesliga 2003/2004,14/02/2004,A,VfL Bochum,0:1 (0:1),0
28,Bundesliga 2003/2004,21/02/2004,H,Hamburger SV,1:0 (0:0),3
29,Bundesliga 2003/2004,28/02/2004,H,VfL Wolfsburg,2:0 (1:0),3
30,Bundesliga 2003/2004,06/03/2004,A,Bayer Leverkusen,3:1 (1:0),3
31,Bundesliga 2003/2004,13/03/2004,H,Hansa Rostock,3:3 (2:0),1
32,Bundesliga 2003/2004,20/03/2004,A,Hertha BSC,1:1 (1:1),1
33,Bundesliga 2003/2004,27/03/2004,H,Bor. Mönchengladbach,5:2 (2:0),3
34,Bundesliga 2003/2004,03/04/2004,A,1. FC Kaiserslautern,2:0 (0:0),3
35,Bundesliga 2003/2004,10/04/2004,H,FC Schalke 04,2:1 (1:1),3
36,Bundesliga 2003/2004,17/04/2004,A,Borussia Dortmund,0:2 (0:0),0
37,Bundesliga 2003/2004,25/04/2004,H,TSV 1860 München,1:0 (0:0),3
38,Bundesliga 2003/2004,01/05/2004,A,1. FC Köln,2:1 (1:1),3
39,Bundesliga 2003/2004,08/05/2004,H,Werder Bremen,1:3 (0:3),0
40,Bundesliga 2003/2004,15/05/2004,A,VfB Stuttgart,1:3 (0:1),0
41,Bundesliga 2003/2004,22/05/2004,H,SC Freiburg,2:0 (1:0),3
42,DFB-Pokal 2003/2004,30/08/2003,A,Borussia Neunkirchen,5:0 (2:0),3
43,DFB-Pokal 2003/2004,28/10/2003,H,1. FC Nürnberg,"7:6 (1:1, 1:1, 1:1) pso",3
44,DFB-Pokal 2003/2004,03/12/2003,H,Hamburger SV,3:0 (1:0),3
45,DFB-Pokal 2003/2004,04/02/2004,A,Alemannia Aachen,1:2 (1:1),0
46,League Cup 2003,22/07/2003,N,Hamburger SV,"1:4 (1:1, 3:3, 3:3) pso",0
