,match_type,date,home,away,score,points
0,Europa League 2010/2011,16/09/2010,A,Karpaty Lviv,4:3 (2:1),3
1,Europa League 2010/2011,30/09/2010,H,Sevilla FC,0:1 (0:1),0
2,Europa League 2010/2011,21/10/2010,H,Paris Saint-Germain,1:1 (0:0),1
3,Europa League 2010/2011,04/11/2010,A,Paris Saint-Germain,0:0 (0:0),1
4,Europa League 2010/2011,02/12/2010,H,Karpaty Lviv,3:0 (1:0),3
5,Europa League 2010/2011,15/12/2010,A,Sevilla FC,2:2 (1:2),1
6,Europa League Qual. 2010/2011,19/08/2010,H,Qarabağ FK,4:0 (4:0),3
7,Europa League Qual. 2010/2011,26/08/2010,N,Qarabağ FK,1:0 (0:0),3
8,Bundesliga 2010/2011,22/08/2010,H,Bayer Leverkusen,0:2 (0:2),0
9,Bundesliga 2010/2011,29/08/2010,A,VfB Stuttgart,3:1 (3:0),3
10,Bundesliga 2010/2011,11/09/2010,H,VfL Wolfsburg,2:0 (0:0),3
11,Bundesliga 2010/2011,19/09/2010,A,FC Schalke 04,3:1 (1:0),3
12,Bundesliga 2010/2011,22/09/2010,H,1. FC Kaiserslautern,5:0 (2:0),3
13,Bundesliga 2010/2011,25/09/2010,A,FC St. Pauli,3:1 (1:1),3
14,Bundesliga 2010/2011,03/10/2010,H,Bayern München,2:0 (0:0),3
15,Bundesliga 2010/2011,15/10/2010,A,1. FC Köln,2:1 (1:0),3
16,Bundesliga 2010/2011,24/10/2010,H,1899 Hoffenheim,1:1 (0:1),1
17,Bundesliga 2010/2011,31/10/2010,A,1. FSV Mainz 05,2:0 (1:0),3
18,Bundesliga 2010/2011,07/11/2010,A,Hannover 96,4:0 (1:0),3
19,Bundesliga 2010/2011,12/11/2010,H,Hamburger SV,2:0 (0:0),3
20,Bundesliga 2010/2011,20/11/2010,A,SC Freiburg,2:1 (0:1),3
21,Bundesliga 2010/2011,27/11/2010,H,Bor. Mönchengladbach,4:1 (1:1),3
22,Bundesliga 2010/2011,05/12/2010,A,1. FC Nürnberg,2:0 (1:0),3
23,Bundesliga 2010/2011,11/12/2010,H,Werder Bremen,2:0 (1:0),3
24,Bundesliga 2010/2011,18/12/2010,A,Eintracht Frankfurt,0:1 (0:0),0
25,Bundesliga 2010/2011,14/01/2011,A,Bayer Leverkusen,3:1 (0:0),3
26,Bundesliga 2010/2011,22/01/2011,H,VfB Stuttgart,1:1 (1:0),1
27,Bundesliga 2010/2011,29/01/2011,A,VfL Wolfsburg,3:0 (2:0),3
28,Bundesliga 2010/2011,04/02/2011,H,FC Schalke 04,0:0 (0:0),1
29,Bundesliga 2010/2011,12/02/2011,A,1. FC Kaiserslautern,1:1 (0:0),1
30,Bundesliga 2010/2011,19/02/2011,H,FC St. Pauli,2:0 (1:0),3
31,Bundesliga 2010/2011,26/02/2011,A,Bayern München,3:1 (2:1),3
32,Bundesliga 2010/2011,04/03/2011,H,1. FC Köln,1:0 (1:0),3
33,Bundesliga 2010/2011,12/03/2011,A,1899 Hoffenheim,0:1 (0:0),0
34,Bundesliga 2010/2011,19/03/2011,H,1. FSV Mainz 05,1:1 (1:0),1
35,Bundesliga 2010/2011,02/04/2011,H,Hannover 96,4:1 (0:0),3
36,Bundesliga 2010/2011,09/04/2011,A,Hamburger SV,1:1 (0:1),1
37,Bundesliga 2010/2011,17/04/2011,H,SC Freiburg,3:0 (2:0),3
38,Bundesliga 2010/2011,23/04/2011,A,Bor. Mönchengladbach,0:1 (0:1),0
39,Bundesliga 2010/2011,30/04/2011,H,1. FC Nürnberg,2:0 (2:0),3
40,Bundesliga 2010/2011,07/05/2011,A,Werder Bremen,0:2 (0:1),0
41,Bundesliga 2010/2011,14/05/2011,H,Eintracht Frankfurt,3:1 (0:0),3
42,DFB-Pokal 2010/2011,14/08/2010,A,Wacker Burghausen,3:0 (2:0),3
43,DFB-Pokal 2010/2011,27/10/2010,A,Kickers Offenbach,"2:4 (0:0, 0:0, 0:0) pso",0
