,match_type,date,home,away,score,points
0,Premier League 1993/1994,13/08/1993,H,Blackburn Rovers,1:2 (0:0),0
1,Premier League 1993/1994,16/08/1993,A,Wimbledon FC,1:1 (0:0),1
2,Premier League 1993/1994,20/08/1993,A,Ipswich Town,0:1 (0:1),0
3,Premier League 1993/1994,24/08/1993,H,Queens Park Rangers,2:0 (1:0),3
4,Premier League 1993/1994,27/08/1993,H,Sheffield Wednesday,1:1 (1:1),1
5,Premier League 1993/1994,31/08/1993,A,Tottenham Hotspur,1:1 (1:0),1
6,Premier League 1993/1994,10/09/1993,H,Manchester United,1:0 (1:0),3
7,Premier League 1993/1994,17/09/1993,A,Coventry City,1:1 (1:0),1
8,Premier League 1993/1994,24/09/1993,H,Liverpool FC,1:0 (0:0),3
9,Premier League 1993/1994,02/10/1993,A,West Ham United,0:1 (0:1),0
10,Premier League 1993/1994,16/10/1993,H,Norwich City,1:2 (0:1),0
11,Premier League 1993/1994,23/10/1993,A,Aston Villa,0:1 (0:1),0
12,Premier League 1993/1994,29/10/1993,H,Oldham Athletic,0:1 (0:1),0
13,Premier League 1993/1994,05/11/1993,A,Leeds United,1:4 (0:0),0
14,Premier League 1993/1994,19/11/1993,H,Arsenal FC,0:2 (0:2),0
15,Premier League 1993/1994,21/11/1993,H,Manchester City,0:0 (0:0),1
16,Premier League 1993/1994,26/11/1993,A,Sheffield United,0:1 (0:1),0
17,Premier League 1993/1994,04/12/1993,A,Blackburn Rovers,0:2 (0:1),0
18,Premier League 1993/1994,10/12/1993,H,Ipswich Town,1:1 (1:0),1
19,Premier League 1993/1994,26/12/1993,A,Southampton FC,1:3 (1:1),0
20,Premier League 1993/1994,27/12/1993,H,Newcastle United,1:0 (1:0),3
21,Premier League 1993/1994,31/12/1993,A,Swindon Town,3:1 (2:0),3
22,Premier League 1993/1994,02/01/1994,H,Everton FC,4:2 (2:0),3
23,Premier League 1993/1994,14/01/1994,A,Norwich City,1:1 (1:0),1
24,Premier League 1993/1994,21/01/1994,H,Aston Villa,1:1 (0:1),1
25,Premier League 1993/1994,04/02/1994,A,Everton FC,2:4 (1:3),0
26,Premier League 1993/1994,11/02/1994,A,Oldham Athletic,1:2 (0:1),0
27,Premier League 1993/1994,26/02/1994,H,Tottenham Hotspur,4:3 (3:2),3
28,Premier League 1993/1994,04/03/1994,A,Manchester United,1:0 (0:0),3
29,Premier League 1993/1994,15/03/1994,H,Wimbledon FC,2:0 (1:0),3
30,Premier League 1993/1994,18/03/1994,A,Liverpool FC,1:2 (0:2),0
31,Premier League 1993/1994,25/03/1994,H,West Ham United,2:0 (1:0),3
32,Premier League 1993/1994,29/03/1994,A,Sheffield Wednesday,1:3 (0:2),0
33,Premier League 1993/1994,01/04/1994,H,Southampton FC,2:0 (1:0),3
34,Premier League 1993/1994,03/04/1994,A,Newcastle United,0:0 (0:0),1
35,Premier League 1993/1994,12/04/1994,A,Queens Park Rangers,1:1 (0:0),1
36,Premier League 1993/1994,15/04/1994,A,Arsenal FC,0:1 (0:0),0
37,Premier League 1993/1994,22/04/1994,H,Leeds United,1:1 (0:1),1
38,Premier League 1993/1994,26/04/1994,H,Swindon Town,2:0 (2:0),3
39,Premier League 1993/1994,29/04/1994,A,Manchester City,2:2 (2:2),1
40,Premier League 1993/1994,03/05/1994,H,Coventry City,1:2 (1:2),0
41,Premier League 1993/1994,06/05/1994,H,Sheffield United,3:2 (0:1),3
42,FA Cup 1993/1994,07/01/1994,A,Barnet FC,0:0,1
43,FA Cup 1993/1994,18/01/1994,H,Barnet FC,4:0,3
44,FA Cup 1993/1994,28/01/1994,H,Sheffield Wednesday,1:1,1
45,FA Cup 1993/1994,08/02/1994,A,Sheffield Wednesday,3:1,3
46,FA Cup 1993/1994,18/02/1994,A,Oxford United,2:1,3
47,FA Cup 1993/1994,12/03/1994,H,Wolverhampton Wanderers,1:0,3
48,FA Cup 1993/1994,08/04/1994,H,Luton Town,2:0 (1:0),3
49,FA Cup 1993/1994,14/05/1994,N,Manchester United,0:4 (0:0),0
50,League Cup 1993/1994,25/10/1993,A,Manchester City,0:1,0
