,match_type,date,home,away,score,points
0,Segunda División 2011/2012,27/08/2011,H,Recreativo Huelva,1:0 (1:0),3
1,Segunda División 2011/2012,04/09/2011,H,Hércules CF,0:1 (0:1),0
2,Segunda División 2011/2012,11/09/2011,A,FC Barcelona B,3:2 (3:1),3
3,Segunda División 2011/2012,17/09/2011,H,CE Sabadell,2:1 (2:0),3
4,Segunda División 2011/2012,24/09/2011,A,AD Alcorcón,0:4 (0:3),0
5,Segunda División 2011/2012,01/10/2011,H,CD Guadalajara,4:0 (3:0),3
6,Segunda División 2011/2012,08/10/2011,A,CD Alcoyano,0:2 (0:1),0
7,Segunda División 2011/2012,15/10/2011,H,Gimnàstic,2:2 (1:0),1
8,Segunda División 2011/2012,22/10/2011,A,Córdoba CF,2:0 (1:0),3
9,Segunda División 2011/2012,27/10/2011,A,FC Cartagena,1:2 (0:1),0
10,Segunda División 2011/2012,30/10/2011,H,Girona FC,3:2 (1:1),3
11,Segunda División 2011/2012,07/11/2011,A,Real Murcia,0:0 (0:0),1
12,Segunda División 2011/2012,13/11/2011,H,Celta Vigo,2:1 (1:0),3
13,Segunda División 2011/2012,20/11/2011,A,Elche CF,2:3 (0:2),0
14,Segunda División 2011/2012,25/11/2011,H,UD Almería,3:1 (1:0),3
15,Segunda División 2011/2012,04/12/2011,A,Real Valladolid,0:0 (0:0),1
16,Segunda División 2011/2012,10/12/2011,H,CD Numancia,3:1 (2:0),3
17,Segunda División 2011/2012,18/12/2011,A,UD Las Palmas,1:0 (0:0),3
18,Segunda División 2011/2012,07/01/2012,H,Xerez CD,2:1 (2:1),3
19,Segunda División 2011/2012,15/01/2012,A,SD Huesca,2:0 (1:0),3
20,Segunda División 2011/2012,21/01/2012,H,Villarreal CF B,1:0 (0:0),3
21,Segunda División 2011/2012,29/01/2012,H,FC Cartagena,2:1 (1:0),3
22,Segunda División 2011/2012,04/02/2012,A,Recreativo Huelva,1:0 (1:0),3
23,Segunda División 2011/2012,12/02/2012,A,Hércules CF,4:1 (2:0),3
24,Segunda División 2011/2012,18/02/2012,H,FC Barcelona B,2:1 (0:0),3
25,Segunda División 2011/2012,25/02/2012,A,CE Sabadell,0:1 (0:1),0
26,Segunda División 2011/2012,02/03/2012,H,AD Alcorcón,2:1 (2:0),3
27,Segunda División 2011/2012,10/03/2012,A,CD Guadalajara,2:1 (1:0),3
28,Segunda División 2011/2012,17/03/2012,H,CD Alcoyano,3:0 (2:0),3
29,Segunda División 2011/2012,25/03/2012,H,Córdoba CF,2:0 (1:0),3
30,Segunda División 2011/2012,31/03/2012,A,Girona FC,0:1 (0:1),0
31,Segunda División 2011/2012,08/04/2012,H,Real Murcia,3:1 (1:1),3
32,Segunda División 2011/2012,15/04/2012,A,Celta Vigo,3:2 (1:0),3
33,Segunda División 2011/2012,22/04/2012,H,Elche CF,4:3 (1:1),3
34,Segunda División 2011/2012,28/04/2012,A,UD Almería,0:2 (0:1),0
35,Segunda División 2011/2012,06/05/2012,H,Real Valladolid,1:1 (1:0),1
36,Segunda División 2011/2012,12/05/2012,A,CD Numancia,3:0 (2:0),3
37,Segunda División 2011/2012,16/05/2012,H,UD Las Palmas,3:1 (2:1),3
38,Segunda División 2011/2012,20/05/2012,A,Xerez CD,2:3 (1:1),0
39,Segunda División 2011/2012,23/05/2012,A,Gimnàstic,2:1 (1:1),3
40,Segunda División 2011/2012,27/05/2012,H,SD Huesca,2:1 (1:1),3
41,Segunda División 2011/2012,03/06/2012,A,Villarreal CF B,1:0 (0:0),3
42,Copa del Rey 2011/2012,07/09/2011,H,Girona FC,5:1 (1:1),3
43,Copa del Rey 2011/2012,12/10/2011,H,CD Alcoyano,2:1 (1:0),3
44,Copa del Rey 2011/2012,13/12/2011,H,Levante UD,3:1 (2:0),3
45,Copa del Rey 2011/2012,21/12/2011,A,Levante UD,"1:4 (1:2, 1:3) aet",0
