,match_type,date,home,away,score,points
0,Premier League 1996/1997,16/08/1996,H,Newcastle United,2:0 (2:0),3
1,Premier League 1996/1997,20/08/1996,A,Manchester United,2:2 (2:0),1
2,Premier League 1996/1997,23/08/1996,A,Tottenham Hotspur,0:0 (0:0),1
3,Premier League 1996/1997,03/09/1996,H,Aston Villa,0:1 (0:0),0
4,Premier League 1996/1997,06/09/1996,A,Wimbledon FC,0:4 (0:1),0
5,Premier League 1996/1997,13/09/1996,H,Middlesbrough FC,1:2 (1:0),0
6,Premier League 1996/1997,20/09/1996,A,Blackburn Rovers,1:1 (1:1),1
7,Premier League 1996/1997,27/09/1996,H,Sheffield Wednesday,2:0 (1:0),3
8,Premier League 1996/1997,11/10/1996,H,West Ham United,2:1 (1:0),3
9,Premier League 1996/1997,27/10/1996,A,Nottingham Forest,1:0 (1:0),3
10,Premier League 1996/1997,03/11/1996,H,Coventry City,1:1 (1:0),1
11,Premier League 1996/1997,15/11/1996,H,Southampton FC,7:1 (5:1),3
12,Premier League 1996/1997,19/11/1996,A,Liverpool FC,1:1 (0:1),1
13,Premier League 1996/1997,22/11/1996,A,Leicester City,2:1 (1:0),3
14,Premier League 1996/1997,29/11/1996,H,Sunderland AFC,1:3 (0:0),0
15,Premier League 1996/1997,06/12/1996,A,Chelsea FC,2:2 (2:1),1
16,Premier League 1996/1997,15/12/1996,A,Derby County,1:0 (0:0),3
17,Premier League 1996/1997,20/12/1996,H,Leeds United,0:0 (0:0),1
18,Premier League 1996/1997,25/12/1996,A,Middlesbrough FC,2:4 (2:2),0
19,Premier League 1996/1997,27/12/1996,H,Wimbledon FC,1:3 (1:0),0
20,Premier League 1996/1997,31/12/1996,H,Blackburn Rovers,0:2 (0:2),0
21,Premier League 1996/1997,10/01/1997,A,Sheffield Wednesday,1:2 (0:1),0
22,Premier League 1996/1997,18/01/1997,A,Arsenal FC,1:3 (0:0),0
23,Premier League 1996/1997,28/01/1997,A,Newcastle United,1:4 (1:0),0
24,Premier League 1996/1997,31/01/1997,H,Nottingham Forest,2:0 (0:0),3
25,Premier League 1996/1997,21/02/1997,A,Coventry City,0:0 (0:0),1
26,Premier League 1996/1997,28/02/1997,H,Arsenal FC,0:2 (0:2),0
27,Premier League 1996/1997,04/03/1997,A,Southampton FC,2:2 (2:0),1
28,Premier League 1996/1997,07/03/1997,A,Leeds United,0:1 (0:1),0
29,Premier League 1996/1997,14/03/1997,H,Derby County,1:0 (0:0),3
30,Premier League 1996/1997,21/03/1997,H,Manchester United,0:2 (0:1),0
31,Premier League 1996/1997,04/04/1997,A,Aston Villa,1:3 (1:1),0
32,Premier League 1996/1997,08/04/1997,H,Leicester City,1:1 (1:0),1
33,Premier League 1996/1997,11/04/1997,H,Tottenham Hotspur,1:0 (1:0),3
34,Premier League 1996/1997,15/04/1997,H,Liverpool FC,1:1 (0:1),1
35,Premier League 1996/1997,18/04/1997,A,West Ham United,2:2 (0:2),1
36,Premier League 1996/1997,02/05/1997,A,Sunderland AFC,0:3 (0:1),0
37,Premier League 1996/1997,10/05/1997,H,Chelsea FC,1:2 (0:2),0
38,FA Cup 1996/1997,04/01/1997,H,Swindon Town,3:0 (2:0),3
39,FA Cup 1996/1997,24/01/1997,H,Bradford City,2:3 (0:0),0
40,League Cup 1996/1997,17/09/1996,H,York City,1:1 (0:0),1
41,League Cup 1996/1997,23/09/1996,A,York City,2:3 (1:1),0
