,match_type,date,home,away,score,points
0,Champions League 1994/1995,13/09/1994,H,Galatasaray,2:1 (1:1),3
1,Champions League 1994/1995,28/09/1994,A,IFK Göteborg,1:2 (1:0),0
2,Champions League 1994/1995,19/10/1994,A,Manchester United,2:2 (1:1),1
3,Champions League 1994/1995,01/11/1994,H,Manchester United,4:0 (2:0),3
4,Champions League 1994/1995,22/11/1994,A,Galatasaray,1:2 (1:0),0
5,Champions League 1994/1995,06/12/1994,H,IFK Göteborg,1:1 (0:0),1
6,Champions League 1994/1995,28/02/1995,H,Paris Saint-Germain,1:1 (0:0),1
7,Champions League 1994/1995,14/03/1995,A,Paris Saint-Germain,1:2 (0:0),0
8,Primera División 1994/1995,03/09/1994,A,Sporting Gijón,1:2 (1:2),0
9,Primera División 1994/1995,09/09/1994,H,Racing Santander,2:1 (2:1),3
10,Primera División 1994/1995,16/09/1994,A,Espanyol Barcelona,0:0 (0:0),1
11,Primera División 1994/1995,23/09/1994,H,SD Compostela,4:0 (1:0),3
12,Primera División 1994/1995,02/10/1994,A,Real Zaragoza,1:2 (0:2),0
13,Primera División 1994/1995,08/10/1994,H,Atlético Madrid,4:3 (3:1),3
14,Primera División 1994/1995,15/10/1994,A,Valencia CF,2:1 (0:1),3
15,Primera División 1994/1995,23/10/1994,H,CD Tenerife,1:0 (1:0),3
16,Primera División 1994/1995,28/10/1994,A,Real Sociedad,1:1 (1:0),1
17,Primera División 1994/1995,05/11/1994,H,Real Oviedo,1:0 (1:0),3
18,Primera División 1994/1995,18/11/1994,A,Real Valladolid,3:1 (0:0),3
19,Primera División 1994/1995,26/11/1994,H,Sevilla FC,0:1 (0:1),0
20,Primera División 1994/1995,02/12/1994,H,Deportivo La Coruña,1:1 (1:0),1
21,Primera División 1994/1995,10/12/1994,A,Celta Vigo,4:2 (1:0),3
22,Primera División 1994/1995,20/12/1994,H,Real Betis,1:1 (0:0),1
23,Primera División 1994/1995,06/01/1995,A,Real Madrid,0:5 (0:3),0
24,Primera División 1994/1995,14/01/1995,H,CD Logroñés,3:0 (1:0),3
25,Primera División 1994/1995,21/01/1995,A,Albacete,2:2 (1:2),1
26,Primera División 1994/1995,27/01/1995,H,Athletic Bilbao,1:0 (0:0),3
27,Primera División 1994/1995,04/02/1995,H,Sporting Gijón,3:1 (1:1),3
28,Primera División 1994/1995,10/02/1995,A,Racing Santander,0:5 (0:1),0
29,Primera División 1994/1995,17/02/1995,H,Espanyol Barcelona,3:0 (3:0),3
30,Primera División 1994/1995,24/02/1995,A,SD Compostela,2:1 (1:0),3
31,Primera División 1994/1995,04/03/1995,H,Real Zaragoza,3:0 (1:0),3
32,Primera División 1994/1995,10/03/1995,A,Atlético Madrid,0:2 (0:1),0
33,Primera División 1994/1995,18/03/1995,H,Valencia CF,0:0 (0:0),1
34,Primera División 1994/1995,01/04/1995,A,CD Tenerife,1:2 (0:0),0
35,Primera División 1994/1995,08/04/1995,H,Real Sociedad,1:1 (0:0),1
36,Primera División 1994/1995,15/04/1995,A,Real Oviedo,0:0 (0:0),1
37,Primera División 1994/1995,22/04/1995,H,Real Valladolid,4:1 (2:0),3
38,Primera División 1994/1995,29/04/1995,A,Sevilla FC,2:4 (1:2),0
39,Primera División 1994/1995,05/05/1995,A,Deportivo La Coruña,0:1 (0:1),0
40,Primera División 1994/1995,13/05/1995,H,Celta Vigo,1:1 (0:0),1
41,Primera División 1994/1995,20/05/1995,A,Real Betis,1:1 (1:1),1
42,Primera División 1994/1995,26/05/1995,H,Real Madrid,1:0 (0:0),3
43,Primera División 1994/1995,03/06/1995,A,CD Logroñés,4:1 (2:1),3
44,Primera División 1994/1995,09/06/1995,H,Albacete,0:1 (0:1),0
45,Primera División 1994/1995,17/06/1995,A,Athletic Bilbao,2:0 (1:0),3
46,Copa del Rey 1994/1995,07/02/1995,H,Atlético Madrid,1:4,0
47,Copa del Rey 1994/1995,14/02/1995,A,Atlético Madrid,3:1,3
48,Supercopa 1994,26/08/1994,A,Real Zaragoza,2:0 (1:0),3
49,Supercopa 1994,29/08/1994,H,Real Zaragoza,4:5 (1:3),0
