,match_type,date,home,away,score,points
0,Champions League 2012/2013,18/09/2012,A,Dinamo Zagreb,2:0 (1:0),3
1,Champions League 2012/2013,03/10/2012,H,Paris Saint-Germain,1:0 (0:0),3
2,Champions League 2012/2013,24/10/2012,H,Dinamo Kiev,3:2 (2:1),3
3,Champions League 2012/2013,06/11/2012,A,Dinamo Kiev,0:0 (0:0),1
4,Champions League 2012/2013,21/11/2012,H,Dinamo Zagreb,3:0 (1:0),3
5,Champions League 2012/2013,04/12/2012,A,Paris Saint-Germain,1:2 (1:1),0
6,Champions League 2012/2013,19/02/2013,H,Málaga CF,1:0 (0:0),3
7,Champions League 2012/2013,13/03/2013,A,Málaga CF,0:2 (0:1),0
8,Primeira Liga 2012/2013,19/08/2012,A,Gil Vicente,0:0 (0:0),1
9,Primeira Liga 2012/2013,25/08/2012,H,Vitória Guimarães,4:0 (1:0),3
10,Primeira Liga 2012/2013,01/09/2012,A,SC Olhanense,3:2 (1:1),3
11,Primeira Liga 2012/2013,22/09/2012,H,SC Beira-Mar,4:0 (2:0),3
12,Primeira Liga 2012/2013,29/09/2012,A,Rio Ave FC,2:2 (1:0),1
13,Primeira Liga 2012/2013,07/10/2012,H,Sporting CP,2:0 (1:0),3
14,Primeira Liga 2012/2013,28/10/2012,A,GD Estoril,2:1 (0:1),3
15,Primeira Liga 2012/2013,02/11/2012,H,CS Marítimo,5:0 (2:0),3
16,Primeira Liga 2012/2013,11/11/2012,H,Académica de Coimbra,2:1 (0:0),3
17,Primeira Liga 2012/2013,25/11/2012,A,Sporting Braga,2:0 (0:0),3
18,Primeira Liga 2012/2013,08/12/2012,H,Moreirense FC,1:0 (0:0),3
19,Primeira Liga 2012/2013,05/01/2013,H,CD Nacional,1:0 (1:0),3
20,Primeira Liga 2012/2013,13/01/2013,A,SL Benfica,2:2 (2:2),1
21,Primeira Liga 2012/2013,19/01/2013,H,Paços de Ferreira,2:0 (0:0),3
22,Primeira Liga 2012/2013,23/01/2013,A,Vitória Setúbal,3:0 (1:0),3
23,Primeira Liga 2012/2013,28/01/2013,H,Gil Vicente,5:0 (2:0),3
24,Primeira Liga 2012/2013,02/02/2013,A,Vitória Guimarães,4:0 (2:0),3
25,Primeira Liga 2012/2013,10/02/2013,H,SC Olhanense,1:1 (0:1),1
26,Primeira Liga 2012/2013,15/02/2013,A,SC Beira-Mar,2:0 (1:0),3
27,Primeira Liga 2012/2013,23/02/2013,H,Rio Ave FC,2:1 (1:1),3
28,Primeira Liga 2012/2013,02/03/2013,A,Sporting CP,0:0 (0:0),1
29,Primeira Liga 2012/2013,08/03/2013,H,GD Estoril,2:0 (2:0),3
30,Primeira Liga 2012/2013,17/03/2013,A,CS Marítimo,1:1 (1:1),1
31,Primeira Liga 2012/2013,30/03/2013,A,Académica de Coimbra,3:0 (1:0),3
32,Primeira Liga 2012/2013,08/04/2013,H,Sporting Braga,3:1 (1:1),3
33,Primeira Liga 2012/2013,20/04/2013,A,Moreirense FC,3:0 (1:0),3
34,Primeira Liga 2012/2013,27/04/2013,H,Vitória Setúbal,2:0 (0:0),3
35,Primeira Liga 2012/2013,04/05/2013,A,CD Nacional,3:1 (3:1),3
36,Primeira Liga 2012/2013,11/05/2013,H,SL Benfica,2:1 (1:1),3
37,Primeira Liga 2012/2013,19/05/2013,A,Paços de Ferreira,2:0 (1:0),3
38,Taça 2012/2013,20/10/2012,A,CCD Santa Eulália,1:0 (1:0),3
39,Taça 2012/2013,17/11/2012,A,CD Nacional,3:0 (1:0),3
40,Taça 2012/2013,30/11/2012,A,Sporting Braga,1:2 (1:0),0
41,Taça da Liga 2012/2013,19/12/2012,A,CD Nacional,2:0 (1:0),3
42,Taça da Liga 2012/2013,30/12/2012,A,GD Estoril,2:2 (1:1),1
43,Taça da Liga 2012/2013,09/01/2013,H,Vitória Setúbal,1:0 (1:0),3
44,Taça da Liga 2012/2013,03/04/2013,H,Rio Ave FC,4:0 (0:0),3
45,Taça da Liga 2012/2013,13/04/2013,N,Sporting Braga,0:1 (0:1),0
46,Supertaça 2012,11/08/2012,H,Académica de Coimbra,1:0 (0:0),3
