,match_type,date,home,away,score,points
0,Europa League 2011/2012,15/09/2011,A,Steaua Bucureşti,0:0 (0:0),1
1,Europa League 2011/2012,29/09/2011,H,Maccabi Haifa,3:1 (1:1),3
2,Europa League 2011/2012,20/10/2011,A,AEK Larnaca,5:0 (3:0),3
3,Europa League 2011/2012,03/11/2011,H,AEK Larnaca,0:0 (0:0),1
4,Europa League 2011/2012,01/12/2011,H,Steaua Bucureşti,2:1 (1:1),3
5,Europa League 2011/2012,14/12/2011,A,Maccabi Haifa,3:0 (1:0),3
6,Europa League 2011/2012,16/02/2012,A,Viktoria Plzeň,1:1 (0:1),1
7,Europa League 2011/2012,23/02/2012,H,Viktoria Plzeň,"3:1 (1:0, 1:1) aet",3
8,Europa League 2011/2012,08/03/2012,A,FC Twente,0:1 (0:0),0
9,Europa League 2011/2012,15/03/2012,H,FC Twente,4:1 (1:1),3
10,Europa League 2011/2012,29/03/2012,H,Athletic Bilbao,2:4 (1:1),0
11,Europa League 2011/2012,05/04/2012,A,Athletic Bilbao,2:2 (1:1),1
12,Europa League Qual. 2011/2012,18/08/2011,A,HJK Helsinki,0:2 (0:1),0
13,Europa League Qual. 2011/2012,25/08/2011,H,HJK Helsinki,6:1 (2:1),3
14,Bundesliga 2011/2012,06/08/2011,A,VfB Stuttgart,0:3 (0:1),0
15,Bundesliga 2011/2012,13/08/2011,H,1. FC Köln,5:1 (1:1),3
16,Bundesliga 2011/2012,21/08/2011,A,1. FSV Mainz 05,4:2 (0:2),3
17,Bundesliga 2011/2012,28/08/2011,H,Bor. Mönchengladbach,1:0 (0:0),3
18,Bundesliga 2011/2012,11/09/2011,A,VfL Wolfsburg,1:2 (1:1),0
19,Bundesliga 2011/2012,18/09/2011,H,Bayern München,0:2 (0:1),0
20,Bundesliga 2011/2012,24/09/2011,H,SC Freiburg,4:2 (1:1),3
21,Bundesliga 2011/2012,02/10/2011,A,Hamburger SV,2:1 (1:1),3
22,Bundesliga 2011/2012,15/10/2011,H,1. FC Kaiserslautern,1:2 (0:1),0
23,Bundesliga 2011/2012,23/10/2011,A,Bayer Leverkusen,1:0 (0:0),3
24,Bundesliga 2011/2012,29/10/2011,H,1899 Hoffenheim,3:1 (1:0),3
25,Bundesliga 2011/2012,06/11/2011,A,Hannover 96,2:2 (1:1),1
26,Bundesliga 2011/2012,19/11/2011,H,1. FC Nürnberg,4:0 (2:0),3
27,Bundesliga 2011/2012,26/11/2011,A,Borussia Dortmund,0:2 (0:1),0
28,Bundesliga 2011/2012,04/12/2011,H,FC Augsburg,3:1 (1:0),3
29,Bundesliga 2011/2012,09/12/2011,A,Hertha BSC,2:1 (2:1),3
30,Bundesliga 2011/2012,17/12/2011,H,Werder Bremen,5:0 (2:0),3
31,Bundesliga 2011/2012,21/01/2012,H,VfB Stuttgart,3:1 (1:0),3
32,Bundesliga 2011/2012,28/01/2012,A,1. FC Köln,4:1 (0:1),3
33,Bundesliga 2011/2012,04/02/2012,H,1. FSV Mainz 05,1:1 (0:1),1
34,Bundesliga 2011/2012,11/02/2012,A,Bor. Mönchengladbach,0:3 (0:3),0
35,Bundesliga 2011/2012,19/02/2012,H,VfL Wolfsburg,4:0 (2:0),3
36,Bundesliga 2011/2012,26/02/2012,A,Bayern München,0:2 (0:1),0
37,Bundesliga 2011/2012,03/03/2012,A,SC Freiburg,1:2 (0:1),0
38,Bundesliga 2011/2012,11/03/2012,H,Hamburger SV,3:1 (3:1),3
39,Bundesliga 2011/2012,18/03/2012,A,1. FC Kaiserslautern,4:1 (2:1),3
40,Bundesliga 2011/2012,24/03/2012,H,Bayer Leverkusen,2:0 (1:0),3
41,Bundesliga 2011/2012,01/04/2012,A,1899 Hoffenheim,1:1 (0:1),1
42,Bundesliga 2011/2012,08/04/2012,H,Hannover 96,3:0 (1:0),3
43,Bundesliga 2011/2012,11/04/2012,A,1. FC Nürnberg,1:4 (0:3),0
44,Bundesliga 2011/2012,14/04/2012,H,Borussia Dortmund,1:2 (1:1),0
45,Bundesliga 2011/2012,22/04/2012,A,FC Augsburg,1:1 (1:1),1
46,Bundesliga 2011/2012,28/04/2012,H,Hertha BSC,4:0 (1:0),3
47,Bundesliga 2011/2012,05/05/2012,A,Werder Bremen,3:2 (1:1),3
48,DFB-Pokal 2011/2012,31/07/2011,A,FC Teningen,11:1 (6:1),0
49,DFB-Pokal 2011/2012,26/10/2011,A,Karlsruher SC,2:0 (0:0),3
50,DFB-Pokal 2011/2012,21/12/2011,A,Bor. Mönchengladbach,1:3 (0:1),0
51,Supercup 2011,23/07/2011,N,Borussia Dortmund,"4:3 (0:0, 0:0, 0:0) pso",3
