,match_type,date,home,away,score,points
0,Bundesliga 2014/2015,23/08/2014,A,1. FC Köln,0:0 (0:0),1
1,Bundesliga 2014/2015,30/08/2014,H,SC Paderborn 07,0:3 (0:1),0
2,Bundesliga 2014/2015,14/09/2014,A,Hannover 96,0:2 (0:2),0
3,Bundesliga 2014/2015,20/09/2014,H,Bayern München,0:0 (0:0),1
4,Bundesliga 2014/2015,24/09/2014,A,Bor. Mönchengladbach,0:1 (0:1),0
5,Bundesliga 2014/2015,28/09/2014,H,Eintracht Frankfurt,1:2 (0:1),0
6,Bundesliga 2014/2015,04/10/2014,A,Borussia Dortmund,1:0 (1:0),3
7,Bundesliga 2014/2015,19/10/2014,H,1899 Hoffenheim,1:1 (1:1),1
8,Bundesliga 2014/2015,25/10/2014,A,Hertha BSC,0:3 (0:0),0
9,Bundesliga 2014/2015,01/11/2014,H,Bayer Leverkusen,1:0 (1:0),3
10,Bundesliga 2014/2015,09/11/2014,A,VfL Wolfsburg,0:2 (0:1),0
11,Bundesliga 2014/2015,23/11/2014,H,Werder Bremen,2:0 (0:0),3
12,Bundesliga 2014/2015,29/11/2014,A,FC Augsburg,1:3 (1:0),0
13,Bundesliga 2014/2015,07/12/2014,H,1. FSV Mainz 05,2:1 (1:0),3
14,Bundesliga 2014/2015,13/12/2014,A,SC Freiburg,0:0 (0:0),1
15,Bundesliga 2014/2015,16/12/2014,H,VfB Stuttgart,0:1 (0:1),0
16,Bundesliga 2014/2015,20/12/2014,A,FC Schalke 04,0:0 (0:0),1
17,Bundesliga 2014/2015,31/01/2015,H,1. FC Köln,0:2 (0:0),0
18,Bundesliga 2014/2015,04/02/2015,A,SC Paderborn 07,3:0 (1:0),3
19,Bundesliga 2014/2015,07/02/2015,H,Hannover 96,2:1 (1:0),3
20,Bundesliga 2014/2015,14/02/2015,A,Bayern München,0:8 (0:3),0
21,Bundesliga 2014/2015,22/02/2015,H,Bor. Mönchengladbach,1:1 (0:0),1
22,Bundesliga 2014/2015,28/02/2015,A,Eintracht Frankfurt,1:2 (1:1),0
23,Bundesliga 2014/2015,07/03/2015,H,Borussia Dortmund,0:0 (0:0),1
24,Bundesliga 2014/2015,14/03/2015,A,1899 Hoffenheim,0:3 (0:1),0
25,Bundesliga 2014/2015,20/03/2015,H,Hertha BSC,0:1 (0:0),0
26,Bundesliga 2014/2015,04/04/2015,A,Bayer Leverkusen,0:4 (0:2),0
27,Bundesliga 2014/2015,11/04/2015,H,VfL Wolfsburg,0:2 (0:1),0
28,Bundesliga 2014/2015,19/04/2015,A,Werder Bremen,0:1 (0:0),0
29,Bundesliga 2014/2015,25/04/2015,H,FC Augsburg,3:2 (2:1),3
30,Bundesliga 2014/2015,03/05/2015,A,1. FSV Mainz 05,2:1 (1:0),3
31,Bundesliga 2014/2015,08/05/2015,H,SC Freiburg,1:1 (0:1),1
32,Bundesliga 2014/2015,16/05/2015,A,VfB Stuttgart,1:2 (1:2),0
33,Bundesliga 2014/2015,23/05/2015,H,FC Schalke 04,2:0 (0:0),3
34,DFB-Pokal 2014/2015,18/08/2014,A,Energie Cottbus,"4:1 (0:1, 1:1, 2:2) pso",3
35,DFB-Pokal 2014/2015,29/10/2014,H,Bayern München,1:3 (0:2),0
36,Relegation Bundesliga 2014/2015,28/05/2015,H,Karlsruher SC,1:1 (0:1),1
37,Relegation Bundesliga 2014/2015,01/06/2015,A,Karlsruher SC,"2:1 (0:0, 1:1) aet",3
