,match_type,date,home,away,score,points
0,Europa League 1987/1988,15/09/1987,A,Beşiktaş,0:0 (0:0),1
1,Europa League 1987/1988,30/09/1987,H,Beşiktaş,3:1 (2:1),3
2,Europa League 1987/1988,21/10/1987,H,TPS Turku,0:1 (0:1),0
3,Europa League 1987/1988,03/11/1987,A,TPS Turku,2:0 (0:0),3
4,Europa League 1987/1988,24/11/1987,H,Espanyol Barcelona,1:1 (1:0),1
5,Europa League 1987/1988,08/12/1987,A,Espanyol Barcelona,0:1 (0:1),0
6,Serie A 1987/1988,12/09/1987,H,Pescara Calcio,0:2 (0:1),0
7,Serie A 1987/1988,19/09/1987,A,Calcio Como,2:1 (0:0),3
8,Serie A 1987/1988,26/09/1987,H,Empoli FC,2:0 (0:0),3
9,Serie A 1987/1988,04/10/1987,A,Torino FC,1:1 (0:0),1
10,Serie A 1987/1988,11/10/1987,H,Hellas Verona,1:1 (0:0),1
11,Serie A 1987/1988,25/10/1987,H,Juventus,2:1 (1:0),3
12,Serie A 1987/1988,31/10/1987,A,Pisa SC,1:2 (0:1),0
13,Serie A 1987/1988,07/11/1987,H,Ascoli Calcio,2:2 (2:2),1
14,Serie A 1987/1988,21/11/1987,A,AS Roma,2:3 (1:2),0
15,Serie A 1987/1988,28/11/1987,H,SSC Napoli,1:1 (0:1),1
16,Serie A 1987/1988,12/12/1987,A,ACF Fiorentina,2:1 (1:1),3
17,Serie A 1987/1988,19/12/1987,H,AC Milan,0:1 (0:1),0
18,Serie A 1987/1988,02/01/1988,A,Sampdoria,1:1 (1:0),1
19,Serie A 1987/1988,09/01/1988,H,AC Cesena,2:0 (2:0),3
20,Serie A 1987/1988,16/01/1988,A,US Avellino,3:1 (2:1),3
21,Serie A 1987/1988,23/01/1988,A,Pescara Calcio,1:1 (1:1),1
22,Serie A 1987/1988,30/01/1988,H,Calcio Como,1:0 (0:0),3
23,Serie A 1987/1988,06/02/1988,A,Empoli FC,1:1 (1:0),1
24,Serie A 1987/1988,13/02/1988,H,Torino FC,0:1 (0:1),0
25,Serie A 1987/1988,27/02/1988,A,Hellas Verona,1:1 (0:0),1
26,Serie A 1987/1988,05/03/1988,A,Juventus,0:1 (0:0),0
27,Serie A 1987/1988,12/03/1988,H,Pisa SC,2:1 (1:0),3
28,Serie A 1987/1988,19/03/1988,A,Ascoli Calcio,1:2 (1:2),0
29,Serie A 1987/1988,26/03/1988,H,AS Roma,4:2 (3:2),3
30,Serie A 1987/1988,09/04/1988,A,SSC Napoli,0:1 (0:1),0
31,Serie A 1987/1988,16/04/1988,H,ACF Fiorentina,3:0 (0:0),3
32,Serie A 1987/1988,23/04/1988,A,AC Milan,0:2 (0:1),0
33,Serie A 1987/1988,30/04/1988,H,Sampdoria,3:1 (1:0),3
34,Serie A 1987/1988,07/05/1988,A,AC Cesena,2:2 (1:0),1
35,Serie A 1987/1988,14/05/1988,H,US Avellino,1:1 (1:1),1
36,Coppa Italia 1987/1988,22/08/1987,A,Taranto FC,5:7 pso,0
37,Coppa Italia 1987/1988,25/08/1987,H,Calcio Catania,4:1,3
38,Coppa Italia 1987/1988,29/08/1987,A,Brescia Calcio,4:6 pso,0
39,Coppa Italia 1987/1988,01/09/1987,A,AC Reggiana,9:8 pso,3
40,Coppa Italia 1987/1988,05/09/1987,H,Ascoli Calcio,5:4 pso,3
41,Coppa Italia 1987/1988,05/01/1988,A,Bologna FC,3:1,3
42,Coppa Italia 1987/1988,19/01/1988,H,Bologna FC,3:0,3
43,Coppa Italia 1987/1988,09/02/1988,H,Empoli FC,2:1,3
44,Coppa Italia 1987/1988,01/03/1988,A,Empoli FC,1:0,3
45,Coppa Italia 1987/1988,05/04/1988,H,Sampdoria,0:0,1
46,Coppa Italia 1987/1988,19/04/1988,A,Sampdoria,0:1,0
