,match_type,date,home,away,score,points
0,Intercontinental Cup 1985,07/12/1985,N,Argentinos Juniors,"6:4 (0:0, 2:2, 2:2) pso",3
1,Champions League 1985/1986,18/09/1985,A,Jeunesse Esch,5:0 (3:0),3
2,Champions League 1985/1986,02/10/1985,H,Jeunesse Esch,4:1 (1:0),3
3,Champions League 1985/1986,23/10/1985,A,Hellas Verona,0:0 (0:0),1
4,Champions League 1985/1986,07/11/1985,H,Hellas Verona,2:0 (1:0),3
5,Champions League 1985/1986,05/03/1986,A,FC Barcelona,0:1 (0:0),0
6,Champions League 1985/1986,19/03/1986,H,FC Barcelona,1:1 (1:1),1
7,Serie A 1985/1986,07/09/1985,H,US Avellino,1:0 (0:0),3
8,Serie A 1985/1986,14/09/1985,A,Calcio Como,1:0 (0:0),3
9,Serie A 1985/1986,21/09/1985,H,Pisa SC,3:1 (1:0),3
10,Serie A 1985/1986,28/09/1985,A,Hellas Verona,1:0 (1:0),3
11,Serie A 1985/1986,06/10/1985,H,Atalanta,2:0 (1:0),3
12,Serie A 1985/1986,13/10/1985,A,Torino FC,2:1 (2:1),3
13,Serie A 1985/1986,20/10/1985,H,AS Bari,4:0 (1:0),3
14,Serie A 1985/1986,27/10/1985,A,Udinese Calcio,2:1 (1:0),3
15,Serie A 1985/1986,02/11/1985,A,SSC Napoli,0:1 (0:0),0
16,Serie A 1985/1986,09/11/1985,H,AS Roma,3:1 (1:1),3
17,Serie A 1985/1986,23/11/1985,A,Inter,1:1 (0:1),1
18,Serie A 1985/1986,30/11/1985,H,ACF Fiorentina,1:0 (1:0),3
19,Serie A 1985/1986,07/12/1985,H,Sampdoria,1:0 (1:0),3
20,Serie A 1985/1986,14/12/1985,A,AC Milan,0:0 (0:0),1
21,Serie A 1985/1986,21/12/1985,H,US Lecce,4:0 (2:0),3
22,Serie A 1985/1986,04/01/1986,A,US Avellino,0:0 (0:0),1
23,Serie A 1985/1986,11/01/1986,H,Calcio Como,0:0 (0:0),1
24,Serie A 1985/1986,18/01/1986,A,Pisa SC,1:1 (0:1),1
25,Serie A 1985/1986,25/01/1986,H,Hellas Verona,3:0 (0:0),3
26,Serie A 1985/1986,08/02/1986,A,Atalanta,0:0 (0:0),1
27,Serie A 1985/1986,15/02/1986,H,Torino FC,1:1 (1:0),1
28,Serie A 1985/1986,22/02/1986,A,AS Bari,3:0 (1:0),3
29,Serie A 1985/1986,01/03/1986,H,Udinese Calcio,2:1 (1:0),3
30,Serie A 1985/1986,08/03/1986,H,SSC Napoli,1:1 (0:1),1
31,Serie A 1985/1986,15/03/1986,A,AS Roma,0:3 (0:2),0
32,Serie A 1985/1986,22/03/1986,H,Inter,2:0 (1:0),3
33,Serie A 1985/1986,05/04/1986,A,ACF Fiorentina,0:2 (0:0),0
34,Serie A 1985/1986,12/04/1986,A,Sampdoria,0:0 (0:0),1
35,Serie A 1985/1986,19/04/1986,H,AC Milan,1:0 (0:0),3
36,Serie A 1985/1986,26/04/1986,A,US Lecce,3:2 (0:0),3
