,match_type,date,home,away,score,points
0,Serie A 1984/1985,15/09/1984,H,ACF Fiorentina,0:1 (0:0),0
1,Serie A 1984/1985,22/09/1984,A,Udinese Calcio,0:5 (0:2),0
2,Serie A 1984/1985,29/09/1984,H,Inter,1:1 (1:1),1
3,Serie A 1984/1985,07/10/1984,A,Ascoli Calcio,0:0 (0:0),1
4,Serie A 1984/1985,14/10/1984,H,SSC Napoli,1:1 (1:0),1
5,Serie A 1984/1985,21/10/1984,A,Torino FC,0:1 (0:0),0
6,Serie A 1984/1985,28/10/1984,H,US Cremonese,2:1 (0:0),3
7,Serie A 1984/1985,10/11/1984,A,AS Roma,0:0 (0:0),1
8,Serie A 1984/1985,17/11/1984,A,Atalanta,0:1 (0:0),0
9,Serie A 1984/1985,24/11/1984,H,Calcio Como,3:2 (2:1),3
10,Serie A 1984/1985,01/12/1984,A,Sampdoria,2:2 (0:2),1
11,Serie A 1984/1985,15/12/1984,H,Hellas Verona,0:1 (0:0),0
12,Serie A 1984/1985,22/12/1984,A,US Avellino,0:1 (0:0),0
13,Serie A 1984/1985,05/01/1985,H,AC Milan,0:1 (0:1),0
14,Serie A 1984/1985,12/01/1985,A,Juventus,0:1 (0:0),0
15,Serie A 1984/1985,19/01/1985,A,ACF Fiorentina,0:3 (0:1),0
16,Serie A 1984/1985,26/01/1985,H,Udinese Calcio,1:4 (0:2),0
17,Serie A 1984/1985,09/02/1985,A,Inter,0:1 (0:0),0
18,Serie A 1984/1985,16/02/1985,H,Ascoli Calcio,0:0 (0:0),1
19,Serie A 1984/1985,23/02/1985,A,SSC Napoli,0:4 (0:0),0
20,Serie A 1984/1985,02/03/1985,H,Torino FC,0:0 (0:0),1
21,Serie A 1984/1985,16/03/1985,A,US Cremonese,1:1 (1:0),1
22,Serie A 1984/1985,23/03/1985,H,AS Roma,1:1 (0:0),1
23,Serie A 1984/1985,30/03/1985,H,Atalanta,1:1 (1:1),1
24,Serie A 1984/1985,13/04/1985,A,Calcio Como,0:1 (0:0),0
25,Serie A 1984/1985,20/04/1985,H,Sampdoria,0:3 (0:2),0
26,Serie A 1984/1985,27/04/1985,A,Hellas Verona,0:1 (0:0),0
27,Serie A 1984/1985,04/05/1985,H,US Avellino,0:1 (0:0),0
28,Serie A 1984/1985,11/05/1985,A,AC Milan,0:2 (0:2),0
29,Serie A 1984/1985,18/05/1985,H,Juventus,3:3 (1:2),1
