,match_type,date,home,away,score,points
0,Premier League 1994/1995,19/08/1994,A,Crystal Palace,6:1 (3:0),3
1,Premier League 1994/1995,27/08/1994,H,Arsenal FC,3:0 (3:0),3
2,Premier League 1994/1995,30/08/1994,A,Southampton FC,2:0 (1:0),3
3,Premier League 1994/1995,09/09/1994,H,West Ham United,0:0 (0:0),1
4,Premier League 1994/1995,16/09/1994,A,Manchester United,0:2 (0:0),0
5,Premier League 1994/1995,23/09/1994,A,Newcastle United,1:1 (0:0),1
6,Premier League 1994/1995,01/10/1994,H,Sheffield Wednesday,4:1 (0:1),3
7,Premier League 1994/1995,08/10/1994,H,Aston Villa,3:2 (2:1),3
8,Premier League 1994/1995,15/10/1994,A,Blackburn Rovers,2:3 (1:0),0
9,Premier League 1994/1995,22/10/1994,H,Wimbledon FC,3:0 (2:0),3
10,Premier League 1994/1995,28/10/1994,A,Ipswich Town,3:1 (1:0),3
11,Premier League 1994/1995,30/10/1994,A,Queens Park Rangers,1:2 (0:1),0
12,Premier League 1994/1995,04/11/1994,H,Nottingham Forest,1:0 (1:0),3
13,Premier League 1994/1995,08/11/1994,H,Chelsea FC,3:1 (3:1),3
14,Premier League 1994/1995,20/11/1994,A,Everton FC,0:2 (0:0),0
15,Premier League 1994/1995,25/11/1994,H,Tottenham Hotspur,1:1 (1:0),1
16,Premier League 1994/1995,02/12/1994,A,Coventry City,1:1 (1:0),1
17,Premier League 1994/1995,10/12/1994,H,Crystal Palace,0:0 (0:0),1
18,Premier League 1994/1995,17/12/1994,A,Chelsea FC,0:0 (0:0),1
19,Premier League 1994/1995,25/12/1994,A,Leicester City,2:1 (0:0),3
20,Premier League 1994/1995,27/12/1994,H,Manchester City,2:0 (0:0),3
21,Premier League 1994/1995,30/12/1994,A,Leeds United,2:0 (1:0),3
22,Premier League 1994/1995,01/01/1995,H,Norwich City,4:0 (2:0),3
23,Premier League 1994/1995,13/01/1995,H,Ipswich Town,0:1 (0:1),0
24,Premier League 1994/1995,23/01/1995,H,Everton FC,0:0 (0:0),1
25,Premier League 1994/1995,03/02/1995,A,Nottingham Forest,1:1 (0:1),1
26,Premier League 1994/1995,10/02/1995,H,Queens Park Rangers,1:1 (0:1),1
27,Premier League 1994/1995,24/02/1995,A,Sheffield Wednesday,2:1 (1:1),3
28,Premier League 1994/1995,03/03/1995,H,Newcastle United,2:0 (0:0),3
29,Premier League 1994/1995,13/03/1995,H,Coventry City,2:3 (0:2),0
30,Premier League 1994/1995,18/03/1995,H,Manchester United,2:0 (1:0),3
31,Premier League 1994/1995,21/03/1995,A,Tottenham Hotspur,0:0 (0:0),1
32,Premier League 1994/1995,04/04/1995,H,Southampton FC,3:1 (1:1),3
33,Premier League 1994/1995,08/04/1995,H,Leeds United,0:1 (0:1),0
34,Premier League 1994/1995,11/04/1995,A,Arsenal FC,1:0 (0:0),3
35,Premier League 1994/1995,13/04/1995,A,Manchester City,1:2 (1:1),0
36,Premier League 1994/1995,16/04/1995,H,Leicester City,2:0 (0:0),3
37,Premier League 1994/1995,28/04/1995,A,Norwich City,2:1 (1:1),3
38,Premier League 1994/1995,01/05/1995,A,Wimbledon FC,0:0 (0:0),1
39,Premier League 1994/1995,05/05/1995,A,Aston Villa,0:2 (0:2),0
40,Premier League 1994/1995,09/05/1995,A,West Ham United,0:3 (0:1),0
41,Premier League 1994/1995,13/05/1995,H,Blackburn Rovers,2:1 (0:1),3
42,FA Cup 1994/1995,06/01/1995,A,Birmingham City,0:0,1
43,FA Cup 1994/1995,17/01/1995,H,Birmingham City,2:0 pso,3
44,FA Cup 1994/1995,27/01/1995,A,Burnley FC,0:0,1
45,FA Cup 1994/1995,06/02/1995,H,Burnley FC,1:0,3
46,FA Cup 1994/1995,18/02/1995,H,Wimbledon FC,1:1,1
47,FA Cup 1994/1995,27/02/1995,A,Wimbledon FC,2:0,3
48,FA Cup 1994/1995,10/03/1995,H,Tottenham Hotspur,1:2,0
49,League Cup 1994/1995,24/10/1994,H,Stoke City,2:1,3
50,League Cup 1994/1995,29/11/1994,A,Blackburn Rovers,3:1,3
51,League Cup 1994/1995,10/01/1995,H,Arsenal FC,1:0,3
52,League Cup 1994/1995,14/02/1995,H,Crystal Palace,1:0 (0:0),3
53,League Cup 1994/1995,07/03/1995,A,Crystal Palace,1:0 (1:0),3
54,League Cup 1994/1995,01/04/1995,N,Bolton Wanderers,2:1 (1:0),3
