,start_date,end_date,team,role
0,07/2016,06/2020,Manchester United,Manager
1,07/2013,12/2015,Chelsea FC,Manager
2,07/2010,06/2013,Real Madrid,Manager
3,07/2008,06/2010,Inter,Manager
4,07/2004,09/2007,Chelsea FC,Manager
5,01/2002,06/2004,FC Porto,Manager
6,01/2001,01/2002,União Leiria,Manager
7,09/2000,12/2000,SL Benfica,Manager
8,07/1996,06/2000,FC Barcelona,Ass. Manager
9,07/1993,06/1996,Sporting CP,Ass. Manager
10,07/1991,06/1993,AD Ovarense,Ass. Manager
11,07/1990,06/1991,Estrela Amadora,Ass. Manager
