,match_type,date,home,away,score,points,Vic,GF,GA,GD,ExpGf,ExpGa,ExpGd,ExpPPM,ExpRate
0,Champions League 2002/2003,2002-01-10,H,Olympiakos Piräus,4:0 (2:0),3.0,1.0,4.0,0.0,4.0,4.0,0.0,4.0,3.0,1.0
1,Premier League 2002/2003,2002-01-12,A,Liverpool FC,2:1 (0:0),3.0,1.0,2.0,1.0,1.0,3.0,0.5,2.5,3.0,1.0
2,Premier League 2002/2003,2002-02-11,H,Southampton FC,2:1 (1:1),3.0,1.0,2.0,1.0,1.0,2.66666666667,0.666666666667,2.0,3.0,1.0
3,League Cup 2002/2003,2002-02-12,A,Burnley FC,2:0 (1:0),3.0,1.0,2.0,0.0,2.0,2.5,0.5,2.0,3.0,1.0
4,Premier League 2002/2003,2002-03-09,H,Middlesbrough FC,1:0 (1:0),3.0,1.0,1.0,0.0,1.0,2.2,0.4,1.8,3.0,1.0
5,League Cup 2002/2003,2002-04-11,H,Leicester City,2:0 (0:0),3.0,1.0,2.0,0.0,2.0,2.16666666667,0.333333333333,1.83333333333,3.0,1.0
6,Premier League 2002/2003,2002-07-10,H,Everton FC,3:0 (0:0),3.0,1.0,3.0,0.0,3.0,2.28571428571,0.285714285714,2.0,3.0,1.0
7,Premier League 2002/2003,2002-07-12,H,Arsenal FC,2:0 (1:0),3.0,1.0,2.0,0.0,2.0,2.25,0.25,2.0,3.0,1.0
8,Champions League Qual. 2002/2003,2002-08-14,A,Zalaegerszegi TE,0:1 (0:0),0.0,0.0,0.0,1.0,-1.0,2.0,0.333333333333,1.66666666667,2.66666666667,0.888888888889
9,Premier League 2002/2003,2002-08-17,H,West Bromwich Albion,1:0 (0:0),3.0,1.0,1.0,0.0,1.0,1.9,0.3,1.6,2.7,0.9
10,Premier League 2002/2003,2002-08-23,A,Chelsea FC,2:2 (1:2),1.0,0.0,2.0,2.0,0.0,1.90909090909,0.454545454545,1.45454545455,2.54545454545,0.818181818182
11,Champions League Qual. 2002/2003,2002-08-27,H,Zalaegerszegi TE,5:0 (3:0),3.0,1.0,5.0,0.0,5.0,2.16666666667,0.416666666667,1.75,2.58333333333,0.833333333333
12,Premier League 2002/2003,2002-08-31,A,Sunderland AFC,1:1 (1:0),1.0,0.0,1.0,1.0,0.0,2.07692307692,0.461538461538,1.61538461538,2.46153846154,0.769230769231
13,Premier League 2002/2003,2002-09-11,A,Manchester City,1:3 (1:2),0.0,0.0,1.0,3.0,-2.0,2.0,0.642857142857,1.35714285714,2.28571428571,0.714285714286
14,Premier League 2002/2003,2002-09-14,A,Leeds United,0:1 (0:0),0.0,0.0,0.0,1.0,-1.0,1.86666666667,0.666666666667,1.2,2.13333333333,0.666666666667
15,Champions League 2002/2003,2002-09-18,H,Maccabi Haifa,5:2 (2:1),3.0,1.0,5.0,2.0,3.0,2.0625,0.75,1.3125,2.1875,0.6875
16,Premier League 2002/2003,2002-09-21,H,Tottenham Hotspur,1:0 (0:0),3.0,1.0,1.0,0.0,1.0,2.0,0.705882352941,1.29411764706,2.23529411765,0.705882352941
17,Champions League 2002/2003,2002-09-24,A,Bayer Leverkusen,2:1 (2:0),3.0,1.0,2.0,1.0,1.0,2.0,0.722222222222,1.27777777778,2.27777777778,0.722222222222
18,Premier League 2002/2003,2002-09-28,A,Charlton Athletic,3:1 (0:1),3.0,1.0,3.0,1.0,2.0,2.05263157895,0.736842105263,1.31578947368,2.31578947368,0.736842105263
19,Premier League 2002/2003,2002-10-19,A,Fulham FC,1:1 (0:1),1.0,0.0,1.0,1.0,0.0,2.0,0.75,1.25,2.25,0.7
20,Champions League 2002/2003,2002-10-23,A,Olympiakos Piräus,3:2 (1:0),3.0,1.0,3.0,2.0,1.0,2.04761904762,0.809523809524,1.2380952381,2.28571428571,0.714285714286
21,Premier League 2002/2003,2002-10-26,H,Aston Villa,1:1 (0:1),1.0,0.0,1.0,1.0,0.0,2.0,0.818181818182,1.18181818182,2.22727272727,0.681818181818
22,Champions League 2002/2003,2002-10-29,A,Maccabi Haifa,0:3 (0:1),0.0,0.0,0.0,3.0,-3.0,1.91304347826,0.913043478261,1.0,2.13043478261,0.652173913043
23,Premier League 2002/2003,2002-11-09,H,Bolton Wanderers,0:1 (0:0),0.0,0.0,0.0,1.0,-1.0,1.83333333333,0.916666666667,0.916666666667,2.04166666667,0.625
24,Champions League 2002/2003,2002-11-12,H,Deportivo La Coruña,2:0 (1:0),3.0,1.0,2.0,0.0,2.0,1.84,0.88,0.96,2.08,0.64
25,Champions League 2002/2003,2002-11-13,H,Bayer Leverkusen,2:0 (1:0),3.0,1.0,2.0,0.0,2.0,1.84615384615,0.846153846154,1.0,2.11538461538,0.653846153846
26,Premier League 2002/2003,2002-11-17,A,West Ham United,1:1 (1:0),1.0,0.0,1.0,1.0,0.0,1.81481481481,0.851851851852,0.962962962963,2.07407407407,0.62962962963
27,Premier League 2002/2003,2002-11-23,H,Newcastle United,5:3 (3:1),3.0,1.0,5.0,3.0,2.0,1.92857142857,0.928571428571,1.0,2.10714285714,0.642857142857
28,Champions League 2002/2003,2002-11-26,A,FC Basel,3:1 (0:1),3.0,1.0,3.0,1.0,2.0,1.96551724138,0.931034482759,1.03448275862,2.13793103448,0.655172413793
29,Premier League 2002/2003,2002-12-14,H,West Ham United,3:0 (2:0),3.0,1.0,3.0,0.0,3.0,2.0,0.9,1.1,2.16666666667,0.666666666667
30,League Cup 2002/2003,2002-12-16,H,Chelsea FC,1:0 (0:0),3.0,1.0,1.0,0.0,1.0,1.96774193548,0.870967741935,1.09677419355,2.1935483871,0.677419354839
31,Premier League 2002/2003,2002-12-22,A,Blackburn Rovers,0:1 (0:1),0.0,0.0,0.0,1.0,-1.0,1.90625,0.875,1.03125,2.125,0.65625
32,Premier League 2002/2003,2002-12-26,A,Middlesbrough FC,1:3 (0:1),0.0,0.0,1.0,3.0,-2.0,1.87878787879,0.939393939394,0.939393939394,2.06060606061,0.636363636364
33,Premier League 2002/2003,2002-12-28,H,Birmingham City,2:0 (1:0),3.0,1.0,2.0,0.0,2.0,1.88235294118,0.911764705882,0.970588235294,2.08823529412,0.647058823529
34,Premier League 2002/2003,2003-01-01,H,Sunderland AFC,2:1 (0:1),3.0,1.0,2.0,1.0,1.0,1.88571428571,0.914285714286,0.971428571429,2.11428571429,0.657142857143
35,Premier League 2002/2003,2003-01-02,A,Southampton FC,2:0 (2:0),3.0,1.0,2.0,0.0,2.0,1.88888888889,0.888888888889,1.0,2.13888888889,0.666666666667
36,League Cup 2002/2003,2003-01-03,N,Liverpool FC,0:2 (0:1),0.0,0.0,0.0,2.0,-2.0,1.83783783784,0.918918918919,0.918918918919,2.08108108108,0.648648648649
37,Champions League 2003/2004,2003-01-10,A,VfB Stuttgart,1:2 (0:0),0.0,0.0,1.0,2.0,-1.0,1.81578947368,0.947368421053,0.868421052632,2.02631578947,0.631578947368
38,Premier League 2003/2004,2003-01-11,H,Portsmouth FC,3:0 (1:0),3.0,1.0,3.0,0.0,3.0,1.84615384615,0.923076923077,0.923076923077,2.05128205128,0.641025641026
39,Premier League 2002/2003,2003-01-18,H,Chelsea FC,2:1 (1:1),3.0,1.0,2.0,1.0,1.0,1.85,0.925,0.925,2.075,0.65
40,League Cup 2002/2003,2003-01-21,A,Blackburn Rovers,3:1 (2:1),3.0,1.0,3.0,1.0,2.0,1.87804878049,0.926829268293,0.951219512195,2.09756097561,0.658536585366
41,FA Cup 2002/2003,2003-01-25,H,West Ham United,6:0 (2:0),3.0,1.0,6.0,0.0,6.0,1.97619047619,0.904761904762,1.07142857143,2.11904761905,0.666666666667
42,FA Cup 2002/2003,2003-02-14,H,Arsenal FC,0:2 (0:1),0.0,0.0,0.0,2.0,-2.0,1.93023255814,0.93023255814,1.0,2.06976744186,0.651162790698
43,Champions League 2002/2003,2003-02-19,H,Juventus,2:1 (1:0),3.0,1.0,2.0,1.0,1.0,1.93181818182,0.931818181818,1.0,2.09090909091,0.659090909091
44,Premier League 2002/2003,2003-02-22,A,Bolton Wanderers,1:1 (0:0),1.0,0.0,1.0,1.0,0.0,1.91111111111,0.933333333333,0.977777777778,2.06666666667,0.644444444444
45,Champions League 2002/2003,2003-02-25,A,Juventus,3:0 (2:0),3.0,1.0,3.0,0.0,3.0,1.9347826087,0.913043478261,1.02173913043,2.08695652174,0.652173913043
46,FA Cup 2002/2003,2003-03-01,H,Portsmouth FC,4:1 (2:1),3.0,1.0,4.0,1.0,3.0,1.97872340426,0.914893617021,1.06382978723,2.10638297872,0.659574468085
47,Premier League 2002/2003,2003-03-05,H,Charlton Athletic,4:1 (3:1),3.0,1.0,4.0,1.0,3.0,2.02083333333,0.916666666667,1.10416666667,2.125,0.666666666667
48,League Cup 2003/2004,2003-03-12,A,West Bromwich Albion,0:2 (0:1),0.0,0.0,0.0,2.0,-2.0,1.97959183673,0.938775510204,1.04081632653,2.08163265306,0.65306122449
49,Premier League 2002/2003,2003-03-15,A,Aston Villa,1:0 (1:0),3.0,1.0,1.0,0.0,1.0,1.96,0.92,1.04,2.1,0.66
50,Champions League 2002/2003,2003-03-18,A,Deportivo La Coruña,0:2 (0:1),0.0,0.0,0.0,2.0,-2.0,1.92156862745,0.941176470588,0.980392156863,2.05882352941,0.647058823529
51,Premier League 2002/2003,2003-03-22,H,Fulham FC,3:0 (1:0),3.0,1.0,3.0,0.0,3.0,1.94230769231,0.923076923077,1.01923076923,2.07692307692,0.653846153846
52,Premier League 2002/2003,2003-04-02,A,Birmingham City,1:0 (0:0),3.0,1.0,1.0,0.0,1.0,1.92452830189,0.905660377358,1.01886792453,2.09433962264,0.660377358491
53,Premier League 2003/2004,2003-04-10,H,Birmingham City,3:0 (1:0),3.0,1.0,3.0,0.0,3.0,1.94444444444,0.888888888889,1.05555555556,2.11111111111,0.666666666667
54,Champions League 2003/2004,2003-04-11,H,Rangers FC,3:0 (2:0),3.0,1.0,3.0,0.0,3.0,1.96363636364,0.872727272727,1.09090909091,2.12727272727,0.672727272727
55,Premier League 2002/2003,2003-04-16,A,Arsenal FC,2:2 (1:0),1.0,0.0,2.0,2.0,0.0,1.96428571429,0.892857142857,1.07142857143,2.10714285714,0.660714285714
56,Premier League 2002/2003,2003-04-19,H,Blackburn Rovers,3:1 (2:1),3.0,1.0,3.0,1.0,2.0,1.98245614035,0.894736842105,1.08771929825,2.12280701754,0.666666666667
57,Champions League 2002/2003,2003-04-23,H,Real Madrid,4:3 (1:1),3.0,1.0,4.0,3.0,1.0,2.01724137931,0.931034482759,1.08620689655,2.13793103448,0.672413793103
58,Premier League 2002/2003,2003-04-27,A,Tottenham Hotspur,2:0 (0:0),3.0,1.0,2.0,0.0,2.0,2.01694915254,0.915254237288,1.10169491525,2.15254237288,0.677966101695
59,Premier League 2002/2003,2003-05-03,H,Leeds United,2:1 (1:0),3.0,1.0,2.0,1.0,1.0,2.01666666667,0.916666666667,1.1,2.16666666667,0.683333333333
60,Premier League 2002/2003,2003-05-04,H,Liverpool FC,4:0 (1:0),3.0,1.0,4.0,0.0,4.0,2.04918032787,0.901639344262,1.14754098361,2.18032786885,0.688524590164
61,League Cup 2002/2003,2003-06-01,H,Blackburn Rovers,1:1 (0:0),1.0,0.0,1.0,1.0,0.0,2.03225806452,0.903225806452,1.12903225806,2.16129032258,0.677419354839
62,Premier League 2003/2004,2003-06-12,H,Aston Villa,4:0 (2:0),3.0,1.0,4.0,0.0,4.0,2.06349206349,0.888888888889,1.1746031746,2.1746031746,0.68253968254
63,Champions League 2002/2003,2003-08-04,A,Real Madrid,1:3 (0:2),0.0,0.0,1.0,3.0,-2.0,2.046875,0.921875,1.125,2.140625,0.671875
64,Premier League 2003/2004,2003-08-16,H,Bolton Wanderers,4:0 (1:0),3.0,1.0,4.0,0.0,4.0,2.07692307692,0.907692307692,1.16923076923,2.15384615385,0.676923076923
65,Premier League 2003/2004,2003-08-23,A,Newcastle United,2:1 (0:1),3.0,1.0,2.0,1.0,1.0,2.07575757576,0.909090909091,1.16666666667,2.16666666667,0.681818181818
66,Premier League 2003/2004,2003-08-27,H,Wolverhampton Wanderers,1:0 (1:0),3.0,1.0,1.0,0.0,1.0,2.05970149254,0.89552238806,1.16417910448,2.17910447761,0.686567164179
67,Premier League 2003/2004,2003-08-31,A,Southampton FC,0:1 (0:0),0.0,0.0,0.0,1.0,-1.0,2.02941176471,0.897058823529,1.13235294118,2.14705882353,0.676470588235
68,Premier League 2002/2003,2003-09-02,H,Manchester City,1:1 (1:0),1.0,0.0,1.0,1.0,0.0,2.01449275362,0.898550724638,1.11594202899,2.13043478261,0.666666666667
69,Premier League 2003/2004,2003-09-11,A,Liverpool FC,2:1 (0:0),3.0,1.0,2.0,1.0,1.0,2.01428571429,0.9,1.11428571429,2.14285714286,0.671428571429
70,Champions League 2003/2004,2003-09-12,H,VfB Stuttgart,2:0 (1:0),3.0,1.0,2.0,0.0,2.0,2.01408450704,0.887323943662,1.12676056338,2.15492957746,0.676056338028
71,Premier League 2003/2004,2003-09-13,A,Charlton Athletic,2:0 (0:0),3.0,1.0,2.0,0.0,2.0,2.01388888889,0.875,1.13888888889,2.16666666667,0.680555555556
