,match_type,date,home,away,score,points
0,Premier League 1992/1993,16/08/1992,H,Queens Park Rangers,1:1 (1:0),1
1,Premier League 1992/1993,18/08/1992,A,Middlesbrough FC,0:2 (0:2),0
2,Premier League 1992/1993,21/08/1992,A,Blackburn Rovers,0:1 (0:0),0
3,Premier League 1992/1993,25/08/1992,H,Norwich City,3:1 (1:0),3
4,Premier League 1992/1993,28/08/1992,H,Oldham Athletic,3:3 (3:3),1
5,Premier League 1992/1993,31/08/1992,A,Wimbledon FC,1:0 (0:0),3
6,Premier League 1992/1993,04/09/1992,A,Sheffield Wednesday,3:0 (1:0),3
7,Premier League 1992/1993,11/09/1992,H,Middlesbrough FC,0:1 (0:1),0
8,Premier League 1992/1993,19/09/1992,H,Chelsea FC,0:1 (0:1),0
9,Premier League 1992/1993,28/09/1992,A,Arsenal FC,0:1 (0:1),0
10,Premier League 1992/1993,03/10/1992,H,Nottingham Forest,2:2 (1:0),1
11,Premier League 1992/1993,17/10/1992,A,Crystal Palace,0:0 (0:0),1
12,Premier League 1992/1993,24/10/1992,H,Southampton FC,1:0 (0:0),3
13,Premier League 1992/1993,30/10/1992,A,Everton FC,3:1 (2:0),3
14,Premier League 1992/1993,06/11/1992,H,Leeds United,4:0 (2:0),3
15,Premier League 1992/1993,20/11/1992,A,Coventry City,3:2 (0:1),3
16,Premier League 1992/1993,27/11/1992,H,Tottenham Hotspur,0:1 (0:0),0
17,Premier League 1992/1993,28/11/1992,A,Manchester United,1:2 (0:1),0
18,Premier League 1992/1993,11/12/1992,A,Ipswich Town,1:3 (1:0),0
19,Premier League 1992/1993,18/12/1992,H,Aston Villa,1:1 (0:1),1
20,Premier League 1992/1993,25/12/1992,H,Sheffield United,2:0 (1:0),3
21,Premier League 1992/1993,27/12/1992,A,Liverpool FC,1:1 (1:0),1
22,Premier League 1992/1993,08/01/1993,A,Chelsea FC,4:2 (2:0),3
23,Premier League 1992/1993,09/01/1993,H,Arsenal FC,0:1 (0:0),0
24,Premier League 1992/1993,25/01/1993,A,Oldham Athletic,1:0 (0:0),3
25,Premier League 1992/1993,29/01/1993,H,Blackburn Rovers,3:2 (1:2),3
26,Premier League 1992/1993,05/02/1993,A,Queens Park Rangers,1:1 (0:0),1
27,Premier League 1992/1993,19/02/1993,A,Norwich City,1:2 (0:2),0
28,Premier League 1992/1993,22/02/1993,H,Sheffield Wednesday,1:2 (0:0),0
29,Premier League 1992/1993,26/02/1993,A,Nottingham Forest,2:0 (1:0),3
30,Premier League 1992/1993,09/03/1993,H,Coventry City,1:0 (1:0),3
31,Premier League 1992/1993,12/03/1993,A,Leeds United,0:1 (0:1),0
32,Premier League 1992/1993,19/03/1993,H,Manchester United,1:1 (0:0),1
33,Premier League 1992/1993,23/03/1993,A,Tottenham Hotspur,1:3 (0:2),0
34,Premier League 1992/1993,02/04/1993,H,Ipswich Town,3:1 (0:1),3
35,Premier League 1992/1993,08/04/1993,A,Sheffield United,1:1 (1:0),1
36,Premier League 1992/1993,11/04/1993,H,Liverpool FC,1:1 (1:0),1
37,Premier League 1992/1993,17/04/1993,A,Aston Villa,1:3 (1:0),0
38,Premier League 1992/1993,20/04/1993,H,Wimbledon FC,1:1 (0:0),1
39,Premier League 1992/1993,30/04/1993,A,Southampton FC,1:0 (1:0),3
40,Premier League 1992/1993,04/05/1993,H,Crystal Palace,0:0 (0:0),1
41,Premier League 1992/1993,07/05/1993,H,Everton FC,2:5 (1:3),0
42,FA Cup 1992/1993,01/01/1993,H,Reading FC,1:1,1
43,FA Cup 1992/1993,12/01/1993,A,Reading FC,4:0,3
44,FA Cup 1992/1993,22/01/1993,A,Queens Park Rangers,2:1,3
45,FA Cup 1992/1993,12/02/1993,H,Barnsley FC,2:0,3
46,FA Cup 1992/1993,06/03/1993,H,Tottenham Hotspur,2:4,0
47,League Cup 1992/1993,27/10/1992,H,Tottenham Hotspur,0:1,0
