,match_type,date,home,away,score,points
0,Friendlies Clubs 2017,16/07/2017,A,Los Angeles Galaxy,5:2 (3:0),3
1,Friendlies Clubs 2017,18/07/2017,A,Real Salt Lake,2:1 (2:1),3
2,Friendlies Clubs 2017,21/07/2017,N,Manchester City,2:0 (2:0),3
3,Friendlies Clubs 2017,23/07/2017,N,Real Madrid,"2:1 (1:0, 1:1) pso",3
4,Friendlies Clubs 2017,27/07/2017,N,FC Barcelona,0:1 (0:1),0
5,Friendlies Clubs 2017,30/07/2017,A,Vålerenga IF,3:0 (1:0),3
6,Friendlies Clubs 2017,02/08/2017,H,Sampdoria,2:1 (1:0),3
7,Champions League 2017/2018,12/09/2017,H,FC Basel,3:0 (1:0),3
8,Champions League 2017/2018,27/09/2017,A,CSKA Moskva,4:1 (3:0),3
9,Champions League 2017/2018,18/10/2017,A,SL Benfica,1:0 (0:0),3
10,Champions League 2017/2018,31/10/2017,H,SL Benfica,2:0 (1:0),3
11,Champions League 2017/2018,22/11/2017,A,FC Basel,0:1 (0:0),0
12,Champions League 2017/2018,05/12/2017,H,CSKA Moskva,2:1 (0:1),3
13,Champions League 2017/2018,21/02/2018,A,Sevilla FC,0:0 (0:0),1
14,Champions League 2017/2018,13/03/2018,H,Sevilla FC,1:2 (0:0),0
15,UEFA-Supercup 2017,08/08/2017,N,Real Madrid,1:2 (0:1),0
16,Premier League 2017/2018,13/08/2017,H,West Ham United,4:0 (1:0),3
17,Premier League 2017/2018,19/08/2017,A,Swansea City,4:0 (1:0),3
18,Premier League 2017/2018,26/08/2017,H,Leicester City,2:0 (0:0),3
19,Premier League 2017/2018,09/09/2017,A,Stoke City,2:2 (1:1),1
20,Premier League 2017/2018,17/09/2017,H,Everton FC,4:0 (1:0),3
21,Premier League 2017/2018,23/09/2017,A,Southampton FC,1:0 (1:0),3
22,Premier League 2017/2018,30/09/2017,H,Crystal Palace,4:0 (2:0),3
23,Premier League 2017/2018,14/10/2017,A,Liverpool FC,0:0 (0:0),1
24,Premier League 2017/2018,21/10/2017,A,Huddersfield Town,1:2 (0:2),0
25,Premier League 2017/2018,28/10/2017,H,Tottenham Hotspur,1:0 (0:0),3
26,Premier League 2017/2018,05/11/2017,A,Chelsea FC,0:1 (0:0),0
27,Premier League 2017/2018,18/11/2017,H,Newcastle United,4:1 (2:1),3
28,Premier League 2017/2018,25/11/2017,H,Brighton & Hove Albion,1:0 (0:0),3
29,Premier League 2017/2018,28/11/2017,A,Watford FC,4:2 (3:0),3
30,Premier League 2017/2018,02/12/2017,A,Arsenal FC,3:1 (2:0),3
31,Premier League 2017/2018,10/12/2017,H,Manchester City,1:2 (1:1),0
32,Premier League 2017/2018,13/12/2017,H,AFC Bournemouth,1:0 (1:0),3
33,Premier League 2017/2018,17/12/2017,A,West Bromwich Albion,2:1 (2:0),3
34,Premier League 2017/2018,23/12/2017,A,Leicester City,2:2 (1:1),1
35,Premier League 2017/2018,26/12/2017,H,Burnley FC,2:2 (0:2),1
36,Premier League 2017/2018,30/12/2017,H,Southampton FC,0:0 (0:0),1
37,Premier League 2017/2018,01/01/2018,A,Everton FC,2:0 (0:0),3
38,Premier League 2017/2018,15/01/2018,H,Stoke City,3:0 (2:0),3
39,Premier League 2017/2018,20/01/2018,A,Burnley FC,1:0 (0:0),3
40,Premier League 2017/2018,31/01/2018,A,Tottenham Hotspur,0:2 (0:2),0
41,Premier League 2017/2018,03/02/2018,H,Huddersfield Town,2:0 (0:0),3
42,Premier League 2017/2018,11/02/2018,A,Newcastle United,0:1 (0:0),0
43,Premier League 2017/2018,25/02/2018,H,Chelsea FC,2:1 (1:1),3
44,Premier League 2017/2018,05/03/2018,A,Crystal Palace,3:2 (0:1),3
45,Premier League 2017/2018,10/03/2018,H,Liverpool FC,2:1 (2:0),3
46,Premier League 2017/2018,31/03/2018,H,Swansea City,2:0 (2:0),3
47,Premier League 2017/2018,07/04/2018,A,Manchester City,3:2 (0:2),3
48,Premier League 2017/2018,15/04/2018,H,West Bromwich Albion,0:1 (0:0),0
49,Premier League 2017/2018,18/04/2018,A,AFC Bournemouth,2:0 (1:0),3
50,Premier League 2017/2018,29/04/2018,H,Arsenal FC,2:1 (1:0),3
51,Premier League 2017/2018,04/05/2018,A,Brighton & Hove Albion,0:1 (0:0),0
52,Premier League 2017/2018,10/05/2018,A,West Ham United,0:0 (0:0),1
53,Premier League 2017/2018,13/05/2018,H,Watford FC,1:0 (1:0),3
54,FA Cup 2017/2018,05/01/2018,H,Derby County,2:0 (0:0),3
55,FA Cup 2017/2018,26/01/2018,A,Yeovil Town,4:0 (1:0),3
56,FA Cup 2017/2018,17/02/2018,A,Huddersfield Town,2:0 (1:0),3
57,FA Cup 2017/2018,17/03/2018,H,Brighton & Hove Albion,2:0 (1:0),3
58,FA Cup 2017/2018,21/04/2018,H,Tottenham Hotspur,2:1 (1:1),3
59,League Cup 2017/2018,20/09/2017,H,Burton Albion,4:1 (3:0),3
60,League Cup 2017/2018,24/10/2017,A,Swansea City,2:0 (1:0),3
61,League Cup 2017/2018,20/12/2017,A,Bristol City,1:2 (0:0),0
