,match_type,date,home,away,score,points
0,Champions League 2004/2005,15/09/2004,H,Manchester United,2:2 (2:0),1
1,Champions League 2004/2005,28/09/2004,A,Sparta Praha,2:1 (1:1),3
2,Champions League 2004/2005,19/10/2004,A,Fenerbahçe,3:1 (0:0),3
3,Champions League 2004/2005,03/11/2004,H,Fenerbahçe,4:2 (1:1),3
4,Champions League 2004/2005,23/11/2004,A,Manchester United,1:2 (1:1),0
5,Champions League 2004/2005,08/12/2004,H,Sparta Praha,5:0 (2:0),3
6,Champions League 2004/2005,23/02/2005,A,Werder Bremen,3:0 (1:0),3
7,Champions League 2004/2005,08/03/2005,H,Werder Bremen,7:2 (3:1),3
8,Champions League 2004/2005,05/04/2005,H,PSV Eindhoven,1:1 (1:0),1
9,Champions League 2004/2005,13/04/2005,A,PSV Eindhoven,"2:4 (1:0, 1:1, 1:1) pso",0
10,Ligue 1 2004/2005,06/08/2004,A,OGC Nice,1:0 (0:0),3
11,Ligue 1 2004/2005,14/08/2004,H,FC Sochaux,1:1 (0:1),1
12,Ligue 1 2004/2005,22/08/2004,A,FC Metz,1:1 (0:1),1
13,Ligue 1 2004/2005,28/08/2004,H,Lille OSC,1:0 (1:0),3
14,Ligue 1 2004/2005,11/09/2004,A,Stade Rennes,2:1 (0:0),3
15,Ligue 1 2004/2005,18/09/2004,H,SC Bastia,0:0 (0:0),1
16,Ligue 1 2004/2005,21/09/2004,A,Toulouse FC,2:0 (0:0),3
17,Ligue 1 2004/2005,25/09/2004,H,AS Monaco,0:0 (0:0),1
18,Ligue 1 2004/2005,03/10/2004,A,AS Saint-Étienne,3:2 (1:0),3
19,Ligue 1 2004/2005,15/10/2004,H,SM Caen,4:0 (3:0),3
20,Ligue 1 2004/2005,23/10/2004,A,FC Istres,0:0 (0:0),1
21,Ligue 1 2004/2005,30/10/2004,H,RC Strasbourg,1:0 (0:0),3
22,Ligue 1 2004/2005,06/11/2004,A,RC Lens,1:0 (1:0),3
23,Ligue 1 2004/2005,13/11/2004,H,FC Nantes,2:0 (0:0),3
24,Ligue 1 2004/2005,19/11/2004,A,Paris Saint-Germain,0:0 (0:0),1
25,Ligue 1 2004/2005,27/11/2004,H,AJ Auxerre,2:1 (2:0),3
26,Ligue 1 2004/2005,04/12/2004,A,AC Ajaccio,1:1 (0:0),1
27,Ligue 1 2004/2005,11/12/2004,A,Girondins Bordeaux,0:0 (0:0),1
28,Ligue 1 2004/2005,17/12/2004,H,Olympique Marseille,1:1 (1:1),1
29,Ligue 1 2004/2005,12/01/2005,A,FC Sochaux,2:0 (2:0),3
30,Ligue 1 2004/2005,15/01/2005,H,FC Metz,2:0 (0:0),3
31,Ligue 1 2004/2005,23/01/2005,A,Lille OSC,1:2 (0:1),0
32,Ligue 1 2004/2005,26/01/2005,H,Stade Rennes,2:1 (2:0),3
33,Ligue 1 2004/2005,01/02/2005,A,SC Bastia,1:1 (1:0),1
34,Ligue 1 2004/2005,05/02/2005,H,Toulouse FC,4:0 (2:0),3
35,Ligue 1 2004/2005,18/02/2005,A,AS Monaco,1:1 (0:0),1
36,Ligue 1 2004/2005,26/02/2005,H,AS Saint-Étienne,3:2 (1:0),3
37,Ligue 1 2004/2005,04/03/2005,A,SM Caen,0:1 (0:0),0
38,Ligue 1 2004/2005,12/03/2005,H,FC Istres,2:1 (1:1),3
39,Ligue 1 2004/2005,19/03/2005,A,RC Strasbourg,1:0 (0:0),3
40,Ligue 1 2004/2005,02/04/2005,H,RC Lens,1:0 (0:0),3
41,Ligue 1 2004/2005,09/04/2005,A,FC Nantes,2:2 (1:1),1
42,Ligue 1 2004/2005,17/04/2005,H,Paris Saint-Germain,0:1 (0:1),0
43,Ligue 1 2004/2005,24/04/2005,A,AJ Auxerre,3:0 (2:0),3
44,Ligue 1 2004/2005,08/05/2005,H,AC Ajaccio,2:1 (1:0),3
45,Ligue 1 2004/2005,15/05/2005,H,Girondins Bordeaux,5:1 (3:1),3
46,Ligue 1 2004/2005,21/05/2005,A,Olympique Marseille,1:0 (0:0),3
47,Ligue 1 2004/2005,28/05/2005,H,OGC Nice,0:0 (0:0),1
48,Coupe de France 2004/2005,07/01/2005,A,ES Viry-Chatillon,2:0 (1:0),3
49,Coupe de France 2004/2005,12/02/2005,A,Toulouse FC,2:1 (0:0),3
50,Coupe de France 2004/2005,28/02/2005,A,Clermont Foot,"3:4 (0:0, 1:1, 1:1) pso",0
51,Coupe de la Ligue 2004/2005,10/11/2004,A,Lille OSC,"2:3 (0:0, 1:1) aet",0
