,match_type,date,home,away,score,points
0,Champions League 1997/1998,16/09/1997,H,IFK Göteborg,3:0 (1:0),3
1,Champions League 1997/1998,30/09/1997,A,Beşiktaş,1:3 (0:2),0
2,Champions League 1997/1998,21/10/1997,A,Bayern München,1:5 (0:2),0
3,Champions League 1997/1998,04/11/1997,H,Bayern München,3:1 (1:1),3
4,Champions League 1997/1998,25/11/1997,A,IFK Göteborg,1:0 (0:0),3
5,Champions League 1997/1998,09/12/1997,H,Beşiktaş,2:1 (1:1),3
6,Champions League Qual. 1997/1998,13/08/1997,A,Steaua Bucureşti,0:3,0
7,Champions League Qual. 1997/1998,27/08/1997,H,Steaua Bucureşti,5:0,3
8,Ligue 1 1997/1998,01/08/1997,H,LB Châteauroux,2:0 (0:0),3
9,Ligue 1 1997/1998,07/08/1997,A,AJ Auxerre,3:2 (0:2),3
10,Ligue 1 1997/1998,15/08/1997,H,AS Cannes,3:1 (1:1),3
11,Ligue 1 1997/1998,21/08/1997,A,FC Metz,1:2 (0:0),0
12,Ligue 1 1997/1998,29/08/1997,H,Stade Rennes,4:1 (1:0),3
13,Ligue 1 1997/1998,04/09/1997,A,RC Strasbourg,3:0 (1:0),3
14,Ligue 1 1997/1998,11/09/1997,H,SC Bastia,2:0 (1:0),3
15,Ligue 1 1997/1998,19/09/1997,A,Le Havre AC,1:1 (1:1),1
16,Ligue 1 1997/1998,25/09/1997,H,Montpellier HSC,1:1 (1:0),1
17,Ligue 1 1997/1998,04/10/1997,A,FC Nantes,0:0 (0:0),1
18,Ligue 1 1997/1998,07/10/1997,H,EA Guingamp,4:2 (1:2),3
19,Ligue 1 1997/1998,16/10/1997,A,Toulouse FC,2:0 (1:0),3
20,Ligue 1 1997/1998,24/10/1997,H,RC Lens,2:0 (1:0),3
21,Ligue 1 1997/1998,30/10/1997,A,Olympique Lyon,0:1 (0:0),0
22,Ligue 1 1997/1998,08/11/1997,H,Olympique Marseille,1:2 (1:1),0
23,Ligue 1 1997/1998,14/11/1997,A,Girondins Bordeaux,0:0 (0:0),1
24,Ligue 1 1997/1998,19/11/1997,A,AS Monaco,0:3 (0:3),0
25,Ligue 1 1997/1998,29/11/1997,H,AJ Auxerre,1:0 (0:0),3
26,Ligue 1 1997/1998,04/12/1997,A,AS Cannes,1:0 (0:0),3
27,Ligue 1 1997/1998,13/12/1997,H,FC Metz,1:1 (0:0),1
28,Ligue 1 1997/1998,18/12/1997,A,Stade Rennes,2:1 (1:0),3
29,Ligue 1 1997/1998,10/01/1998,H,RC Strasbourg,2:1 (0:0),3
30,Ligue 1 1997/1998,20/01/1998,A,SC Bastia,0:2 (0:1),0
31,Ligue 1 1997/1998,23/01/1998,H,Le Havre AC,0:2 (0:1),0
32,Ligue 1 1997/1998,03/02/1998,A,Montpellier HSC,1:2 (1:0),0
33,Ligue 1 1997/1998,12/02/1998,H,FC Nantes,0:1 (0:0),0
34,Ligue 1 1997/1998,20/02/1998,A,EA Guingamp,0:0 (0:0),1
35,Ligue 1 1997/1998,06/03/1998,H,Toulouse FC,1:1 (0:0),1
36,Ligue 1 1997/1998,14/03/1998,A,RC Lens,0:3 (0:2),0
37,Ligue 1 1997/1998,27/03/1998,H,Olympique Lyon,3:0 (2:0),3
38,Ligue 1 1997/1998,07/04/1998,A,Olympique Marseille,0:0 (0:0),1
39,Ligue 1 1997/1998,17/04/1998,H,Girondins Bordeaux,0:1 (0:1),0
40,Ligue 1 1997/1998,24/04/1998,H,AS Monaco,1:2 (1:1),0
41,Ligue 1 1997/1998,08/05/1998,A,LB Châteauroux,1:2 (1:1),0
