,match_type,date,home,away,score,points
0,Serie A 2012/2013,25/08/2012,A,Juventus,0:2 (0:0),0
1,Serie A 2012/2013,02/09/2012,H,Chievo Verona,2:0 (1:0),3
2,Serie A 2012/2013,16/09/2012,A,SSC Napoli,1:3 (1:2),0
3,Serie A 2012/2013,22/09/2012,H,ACF Fiorentina,1:1 (0:1),1
4,Serie A 2012/2013,26/09/2012,A,Genoa CFC,1:1 (1:0),1
5,Serie A 2012/2013,29/09/2012,H,AC Milan,1:1 (0:0),1
6,Serie A 2012/2013,07/10/2012,A,Calcio Catania,0:2 (0:1),0
7,Serie A 2012/2013,21/10/2012,H,Sampdoria,2:1 (1:0),3
8,Serie A 2012/2013,28/10/2012,A,Torino FC,3:1 (0:0),3
9,Serie A 2012/2013,31/10/2012,H,AS Roma,3:2 (2:1),3
10,Serie A 2012/2013,04/11/2012,A,Pescara Calcio,0:2 (0:0),0
11,Serie A 2012/2013,11/11/2012,H,AC Siena,0:0 (0:0),1
12,Serie A 2012/2013,18/11/2012,A,Udinese Calcio,2:2 (0:1),1
13,Serie A 2012/2013,26/11/2012,H,Inter,1:0 (0:0),3
14,Serie A 2012/2013,02/12/2012,A,Lazio Roma,1:2 (0:2),0
15,Serie A 2012/2013,08/12/2012,A,Atalanta,1:2 (1:2),0
16,Serie A 2012/2013,16/12/2012,H,Cagliari Calcio,4:1 (1:1),3
17,Serie A 2012/2013,22/12/2012,A,Bologna FC,2:1 (0:0),3
18,Serie A 2012/2013,06/01/2013,H,US Palermo,2:1 (0:0),3
19,Serie A 2012/2013,13/01/2013,H,Juventus,1:1 (0:0),1
20,Serie A 2012/2013,20/01/2013,A,Chievo Verona,1:1 (1:0),1
21,Serie A 2012/2013,27/01/2013,H,SSC Napoli,1:2 (0:1),0
22,Serie A 2012/2013,03/02/2013,A,ACF Fiorentina,0:2 (0:1),0
23,Serie A 2012/2013,10/02/2013,H,Genoa CFC,0:0 (0:0),1
24,Serie A 2012/2013,15/02/2013,A,AC Milan,1:2 (0:1),0
25,Serie A 2012/2013,24/02/2013,H,Calcio Catania,1:2 (0:2),0
26,Serie A 2012/2013,03/03/2013,A,Sampdoria,0:1 (0:0),0
27,Serie A 2012/2013,10/03/2013,H,Torino FC,4:1 (0:0),3
28,Serie A 2012/2013,17/03/2013,A,AS Roma,0:2 (0:1),0
29,Serie A 2012/2013,30/03/2013,H,Pescara Calcio,3:0 (1:0),3
30,Serie A 2012/2013,07/04/2013,A,AC Siena,0:0 (0:0),1
31,Serie A 2012/2013,14/04/2013,H,Udinese Calcio,0:3 (0:2),0
32,Serie A 2012/2013,21/04/2013,A,Inter,0:1 (0:0),0
33,Serie A 2012/2013,28/04/2013,H,Lazio Roma,0:0 (0:0),1
34,Serie A 2012/2013,05/05/2013,H,Atalanta,2:0 (1:0),3
35,Serie A 2012/2013,08/05/2013,A,Cagliari Calcio,1:0 (0:0),3
36,Serie A 2012/2013,12/05/2013,H,Bologna FC,0:2 (0:1),0
37,Serie A 2012/2013,19/05/2013,A,US Palermo,3:1 (3:0),3
38,Coppa Italia 2012/2013,12/12/2012,H,Calcio Catania,"3:4 (1:1, 1:1, 1:1) pso",0
