,match_type,date,home,away,score,points
0,Cup Winners Cup 1993/1994,14/09/1993,H,FC Lugano,3:0 (1:0),3
1,Cup Winners Cup 1993/1994,29/09/1993,A,FC Lugano,3:1 (1:0),3
2,Cup Winners Cup 1993/1994,20/10/1993,A,FC Tirol Innsbruck,1:1 (1:0),1
3,Cup Winners Cup 1993/1994,02/11/1993,H,FC Tirol Innsbruck,3:0 (1:0),3
4,Cup Winners Cup 1993/1994,02/03/1994,H,Paris Saint-Germain,0:1 (0:1),0
5,Cup Winners Cup 1993/1994,14/03/1994,A,Paris Saint-Germain,1:1 (1:0),1
6,Primera División 1993/1994,03/09/1993,A,CA Osasuna,4:1 (2:0),3
7,Primera División 1993/1994,11/09/1993,H,Real Valladolid,1:3 (0:1),0
8,Primera División 1993/1994,17/09/1993,A,Deportivo La Coruña,0:4 (0:1),0
9,Primera División 1993/1994,25/09/1993,H,Real Oviedo,0:1 (0:0),0
10,Primera División 1993/1994,02/10/1993,A,Atlético Madrid,0:0 (0:0),1
11,Primera División 1993/1994,06/10/1993,H,Racing Santander,2:1 (0:1),3
12,Primera División 1993/1994,16/10/1993,A,CD Tenerife,0:0 (0:0),1
13,Primera División 1993/1994,24/10/1993,H,UE Lleida,5:0 (1:0),3
14,Primera División 1993/1994,30/10/1993,A,Rayo Vallecano,2:0 (1:0),3
15,Primera División 1993/1994,06/11/1993,H,CD Logroñés,2:1 (2:1),3
16,Primera División 1993/1994,10/11/1993,A,Valencia CF,3:0 (1:0),3
17,Primera División 1993/1994,20/11/1993,H,Celta Vigo,2:1 (1:0),3
18,Primera División 1993/1994,27/11/1993,A,Sporting Gijón,1:2 (0:0),0
19,Primera División 1993/1994,04/12/1993,H,Athletic Bilbao,2:1 (0:0),3
20,Primera División 1993/1994,11/12/1993,H,Sevilla FC,0:0 (0:0),1
21,Primera División 1993/1994,18/12/1993,A,Real Sociedad,0:2 (0:1),0
22,Primera División 1993/1994,01/01/1994,H,Albacete,2:0 (0:0),3
23,Primera División 1993/1994,07/01/1994,A,FC Barcelona,0:5 (0:1),0
24,Primera División 1993/1994,15/01/1994,H,Real Zaragoza,3:2 (1:1),3
25,Primera División 1993/1994,22/01/1994,H,CA Osasuna,0:0 (0:0),1
26,Primera División 1993/1994,29/01/1994,A,Real Valladolid,0:0 (0:0),1
27,Primera División 1993/1994,04/02/1994,H,Deportivo La Coruña,2:0 (0:0),3
28,Primera División 1993/1994,12/02/1994,A,Real Oviedo,1:0 (1:0),3
29,Primera División 1993/1994,18/02/1994,H,Atlético Madrid,1:0 (0:0),3
30,Primera División 1993/1994,22/02/1994,A,Racing Santander,3:1 (2:1),3
31,Primera División 1993/1994,26/02/1994,H,CD Tenerife,1:1 (0:0),1
32,Primera División 1993/1994,05/03/1994,A,UE Lleida,1:2 (1:2),0
33,Primera División 1993/1994,11/03/1994,H,Rayo Vallecano,5:2 (2:1),3
34,Primera División 1993/1994,19/03/1994,A,CD Logroñés,4:3 (2:0),3
35,Primera División 1993/1994,25/03/1994,H,Valencia CF,3:2 (1:1),3
36,Primera División 1993/1994,01/04/1994,A,Celta Vigo,2:3 (0:0),0
37,Primera División 1993/1994,05/04/1994,H,Sporting Gijón,2:2 (1:1),1
38,Primera División 1993/1994,08/04/1994,A,Athletic Bilbao,1:2 (0:2),0
39,Primera División 1993/1994,16/04/1994,A,Sevilla FC,1:0 (0:0),3
40,Primera División 1993/1994,23/04/1994,H,Real Sociedad,0:2 (0:0),0
41,Primera División 1993/1994,30/04/1994,A,Albacete,4:1 (1:1),3
42,Primera División 1993/1994,06/05/1994,H,FC Barcelona,0:1 (0:0),0
43,Primera División 1993/1994,14/05/1994,A,Real Zaragoza,1:4 (1:0),0
44,Copa del Rey 1993/1994,04/01/1994,H,Atlético Madrid,2:2,1
45,Copa del Rey 1993/1994,13/01/1994,A,Atlético Madrid,3:2,3
46,Copa del Rey 1993/1994,25/01/1994,A,CD Tenerife,1:2,0
47,Copa del Rey 1993/1994,01/02/1994,H,CD Tenerife,0:3,0
48,Supercopa 1993,01/12/1993,H,FC Barcelona,3:1 (1:1),3
49,Supercopa 1993,15/12/1993,A,FC Barcelona,1:1 (1:0),1
