,match_type,date,home,away,score,points
0,Champions League Qual. 2010/2011,18/08/2010,A,Sporting Braga,0:1 (0:0),0
1,Champions League Qual. 2010/2011,24/08/2010,H,Sporting Braga,3:4 (0:1),0
2,Europa League 2010/2011,16/09/2010,H,Paris Saint-Germain,0:1 (0:0),0
3,Europa League 2010/2011,30/09/2010,A,Borussia Dortmund,1:0 (1:0),3
4,Europa League 2010/2011,21/10/2010,A,Karpaty Lviv,1:0 (1:0),3
5,Europa League 2010/2011,04/11/2010,H,Karpaty Lviv,4:0 (3:0),3
6,Europa League 2010/2011,02/12/2010,A,Paris Saint-Germain,2:4 (2:3),0
7,Europa League 2010/2011,15/12/2010,H,Borussia Dortmund,2:2 (2:1),1
8,Europa League 2010/2011,17/02/2011,H,FC Porto,1:2 (0:0),0
9,Europa League 2010/2011,23/02/2011,A,FC Porto,1:0 (0:0),3
10,Primera División 2010/2011,28/08/2010,A,Levante UD,4:1 (2:1),3
11,Primera División 2010/2011,12/09/2010,H,Deportivo La Coruña,0:0 (0:0),1
12,Primera División 2010/2011,19/09/2010,A,Málaga CF,2:1 (2:1),3
13,Primera División 2010/2011,23/09/2010,H,Racing Santander,1:1 (1:0),1
14,Primera División 2010/2011,26/09/2010,A,Hércules CF,0:2 (0:2),0
15,Primera División 2010/2011,03/10/2010,H,Atlético Madrid,3:1 (2:0),3
16,Primera División 2010/2011,17/10/2010,A,Sporting Gijón,0:2 (0:1),0
17,Primera División 2010/2011,24/10/2010,H,Athletic Bilbao,4:3 (2:0),3
18,Primera División 2010/2011,30/10/2010,A,FC Barcelona,0:5 (0:2),0
19,Primera División 2010/2011,08/11/2010,H,Valencia CF,2:0 (0:0),3
20,Primera División 2010/2011,14/11/2010,A,Real Zaragoza,2:1 (1:0),3
21,Primera División 2010/2011,21/11/2010,H,RCD Mallorca,1:2 (0:1),0
22,Primera División 2010/2011,27/11/2010,H,Getafe CF,1:3 (1:0),0
23,Primera División 2010/2011,05/12/2010,A,Villarreal CF,0:1 (0:1),0
24,Primera División 2010/2011,11/12/2010,H,UD Almería,1:3 (0:0),0
25,Primera División 2010/2011,19/12/2010,A,Real Madrid,0:1 (0:0),0
26,Primera División 2010/2011,02/01/2011,H,CA Osasuna,1:0 (1:0),3
27,Primera División 2010/2011,08/01/2011,A,Real Sociedad,3:2 (1:2),3
28,Primera División 2010/2011,15/01/2011,H,Espanyol Barcelona,1:2 (0:1),0
29,Primera División 2010/2011,22/01/2011,H,Levante UD,4:1 (3:0),3
30,Primera División 2010/2011,29/01/2011,A,Deportivo La Coruña,3:3 (0:1),1
31,Primera División 2010/2011,06/02/2011,H,Málaga CF,0:0 (0:0),1
32,Primera División 2010/2011,12/02/2011,A,Racing Santander,2:3 (1:2),0
33,Primera División 2010/2011,20/02/2011,H,Hércules CF,1:0 (1:0),3
34,Primera División 2010/2011,26/02/2011,A,Atlético Madrid,2:2 (1:0),1
35,Primera División 2010/2011,01/03/2011,H,Sporting Gijón,3:0 (2:0),3
36,Primera División 2010/2011,06/03/2011,A,Athletic Bilbao,0:2 (0:0),0
37,Primera División 2010/2011,13/03/2011,H,FC Barcelona,1:1 (0:1),1
38,Primera División 2010/2011,20/03/2011,A,Valencia CF,1:0 (0:0),3
39,Primera División 2010/2011,03/04/2011,H,Real Zaragoza,3:1 (1:0),3
40,Primera División 2010/2011,09/04/2011,A,RCD Mallorca,2:2 (1:2),1
41,Primera División 2010/2011,16/04/2011,A,Getafe CF,0:1 (0:0),0
42,Primera División 2010/2011,24/04/2011,H,Villarreal CF,3:2 (2:0),3
43,Primera División 2010/2011,01/05/2011,A,UD Almería,1:0 (0:0),3
44,Primera División 2010/2011,07/05/2011,H,Real Madrid,2:6 (0:3),0
45,Primera División 2010/2011,11/05/2011,A,CA Osasuna,2:3 (2:0),0
46,Primera División 2010/2011,15/05/2011,H,Real Sociedad,3:1 (0:0),3
47,Primera División 2010/2011,21/05/2011,A,Espanyol Barcelona,3:2 (2:0),3
48,Copa del Rey 2010/2011,27/10/2010,A,Real Unión,4:0 (1:0),3
49,Copa del Rey 2010/2011,10/11/2010,H,Real Unión,6:1 (3:1),3
50,Copa del Rey 2010/2011,22/12/2010,H,Málaga CF,5:3 (2:3),3
51,Copa del Rey 2010/2011,05/01/2011,A,Málaga CF,3:0 (0:0),3
52,Copa del Rey 2010/2011,12/01/2011,A,Villarreal CF,3:3 (1:2),1
53,Copa del Rey 2010/2011,18/01/2011,H,Villarreal CF,3:0 (1:0),3
54,Copa del Rey 2010/2011,26/01/2011,H,Real Madrid,0:1 (0:1),0
55,Copa del Rey 2010/2011,02/02/2011,A,Real Madrid,0:2 (0:0),0
56,Supercopa 2010,14/08/2010,H,FC Barcelona,3:1 (0:1),3
57,Supercopa 2010,21/08/2010,A,FC Barcelona,0:4 (0:3),0
