,match_type,date,home,away,score,points
0,Champions League 2006/2007,13/09/2006,A,FC København,0:0 (0:0),1
1,Champions League 2006/2007,26/09/2006,H,Manchester United,0:1 (0:0),0
2,Champions League 2006/2007,17/10/2006,A,Celtic FC,0:3 (0:0),0
3,Champions League 2006/2007,01/11/2006,H,Celtic FC,3:0 (2:0),3
4,Champions League 2006/2007,21/11/2006,H,FC København,3:1 (3:0),3
5,Champions League 2006/2007,06/12/2006,A,Manchester United,1:3 (1:1),0
6,Champions League Qual. 2006/2007,08/08/2006,A,Austria Wien,1:1 (1:1),1
7,Champions League Qual. 2006/2007,22/08/2006,H,Austria Wien,3:0 (2:0),3
8,Europa League 2006/2007,14/02/2007,H,Dinamo Bucureşti,1:0 (0:0),3
9,Europa League 2006/2007,22/02/2007,A,Dinamo Bucureşti,2:1 (0:1),3
10,Europa League 2006/2007,08/03/2007,A,Paris Saint-Germain,1:2 (1:2),0
11,Europa League 2006/2007,15/03/2007,H,Paris Saint-Germain,3:1 (2:1),3
12,Europa League 2006/2007,05/04/2007,A,Espanyol Barcelona,2:3 (0:2),0
13,Europa League 2006/2007,12/04/2007,H,Espanyol Barcelona,0:0 (0:0),1
14,Primeira Liga 2006/2007,09/09/2006,A,Boavista,0:3 (0:1),0
15,Primeira Liga 2006/2007,17/09/2006,H,CD Nacional,1:0 (1:0),3
16,Primeira Liga 2006/2007,22/09/2006,A,Paços de Ferreira,1:1 (1:0),1
17,Primeira Liga 2006/2007,01/10/2006,H,CD Aves,4:1 (1:1),3
18,Primeira Liga 2006/2007,14/10/2006,A,União Leiria,4:0 (2:0),3
19,Primeira Liga 2006/2007,22/10/2006,H,Estrela Amadora,3:1 (1:1),3
20,Primeira Liga 2006/2007,28/10/2006,A,FC Porto,2:3 (0:2),0
21,Primeira Liga 2006/2007,05/11/2006,H,SC Beira-Mar,3:0 (0:0),3
22,Primeira Liga 2006/2007,18/11/2006,A,Sporting Braga,1:3 (1:2),0
23,Primeira Liga 2006/2007,25/11/2006,H,CS Marítimo,2:1 (1:1),3
24,Primeira Liga 2006/2007,01/12/2006,A,Sporting CP,2:0 (2:0),3
25,Primeira Liga 2006/2007,10/12/2006,A,Naval 1° de Maio,0:0 (0:0),1
26,Primeira Liga 2006/2007,16/12/2006,H,Vitória Setúbal,3:0 (1:0),3
27,Primeira Liga 2006/2007,21/12/2006,H,Os Belenenses,4:0 (2:0),3
28,Primeira Liga 2006/2007,15/01/2007,A,Académica de Coimbra,2:0 (1:0),3
29,Primeira Liga 2006/2007,27/01/2007,A,Os Belenenses,2:1 (2:0),3
30,Primeira Liga 2006/2007,02/02/2007,H,Boavista,0:0 (0:0),1
31,Primeira Liga 2006/2007,18/02/2007,A,CD Nacional,2:0 (0:0),3
32,Primeira Liga 2006/2007,26/02/2007,H,Paços de Ferreira,3:1 (2:1),3
33,Primeira Liga 2006/2007,03/03/2007,A,CD Aves,1:0 (0:0),3
34,Primeira Liga 2006/2007,12/03/2007,H,União Leiria,2:0 (1:0),3
35,Primeira Liga 2006/2007,19/03/2007,A,Estrela Amadora,1:0 (0:0),3
36,Primeira Liga 2006/2007,01/04/2007,H,FC Porto,1:1 (0:1),1
37,Primeira Liga 2006/2007,09/04/2007,A,SC Beira-Mar,2:2 (0:1),1
38,Primeira Liga 2006/2007,16/04/2007,H,Sporting Braga,0:0 (0:0),1
39,Primeira Liga 2006/2007,21/04/2007,A,CS Marítimo,3:0 (0:0),3
40,Primeira Liga 2006/2007,29/04/2007,H,Sporting CP,1:1 (1:1),1
41,Primeira Liga 2006/2007,05/05/2007,H,Naval 1° de Maio,2:1 (1:0),3
42,Primeira Liga 2006/2007,13/05/2007,A,Vitória Setúbal,1:0 (0:0),3
43,Primeira Liga 2006/2007,20/05/2007,H,Académica de Coimbra,2:0 (1:0),3
44,Taça 2006/2007,06/01/2007,H,Oliveira Bairro,5:0,3
45,Taça 2006/2007,21/01/2007,H,União Leiria,2:1,3
46,Taça 2006/2007,10/02/2007,A,Varzim SC,1:2,0
