,match_type,date,home,away,score,points
0,Champions League Qual. 2002/2003,14/08/2002,H,Inter,0:0 (0:0),1
1,Champions League Qual. 2002/2003,27/08/2002,A,Inter,0:2 (0:2),0
2,Europa League 2002/2003,19/09/2002,H,Partizan,1:3 (1:2),0
3,Europa League 2002/2003,03/10/2002,A,Partizan,"3:3 (1:0, 3:1) aet",1
4,Primeira Liga 2002/2003,23/08/2002,A,Académica de Coimbra,2:0,3
5,Primeira Liga 2002/2003,01/09/2002,H,CD Santa Clara,2:1,3
6,Primeira Liga 2002/2003,14/09/2002,A,Paços de Ferreira,0:4,0
7,Primeira Liga 2002/2003,23/09/2002,H,Varzim SC,0:0,1
8,Primeira Liga 2002/2003,29/09/2002,A,Sporting Braga,2:4,0
9,Primeira Liga 2002/2003,07/10/2002,H,Moreirense FC,3:0,3
10,Primeira Liga 2002/2003,20/10/2002,H,Os Belenenses,2:0,3
11,Primeira Liga 2002/2003,26/10/2002,A,Boavista,2:1,3
12,Primeira Liga 2002/2003,02/11/2002,H,Gil Vicente,0:3,0
13,Primeira Liga 2002/2003,08/11/2002,A,Vitória Guimarães,3:1,3
14,Primeira Liga 2002/2003,15/11/2002,H,CS Marítimo,2:0,3
15,Primeira Liga 2002/2003,30/11/2002,A,SC Beira-Mar,3:1,3
16,Primeira Liga 2002/2003,07/12/2002,H,SL Benfica,0:2 (0:2),0
17,Primeira Liga 2002/2003,14/12/2002,A,União Leiria,2:3 (1:1),0
18,Primeira Liga 2002/2003,22/12/2002,H,CD Nacional,2:0,3
19,Primeira Liga 2002/2003,04/01/2003,A,Vitória Setúbal,2:1,3
20,Primeira Liga 2002/2003,11/01/2003,H,FC Porto,0:1,0
21,Primeira Liga 2002/2003,25/01/2003,A,CD Santa Clara,1:0,3
22,Primeira Liga 2002/2003,02/02/2003,H,Paços de Ferreira,4:0,3
23,Primeira Liga 2002/2003,05/02/2003,H,Académica de Coimbra,1:0,3
24,Primeira Liga 2002/2003,08/02/2003,A,Varzim SC,1:1,1
25,Primeira Liga 2002/2003,16/02/2003,H,Sporting Braga,2:0,3
26,Primeira Liga 2002/2003,24/02/2003,A,Moreirense FC,2:1,3
27,Primeira Liga 2002/2003,01/03/2003,A,Os Belenenses,1:1,1
28,Primeira Liga 2002/2003,16/03/2003,H,Boavista,1:1,1
29,Primeira Liga 2002/2003,21/03/2003,A,Gil Vicente,0:1,0
30,Primeira Liga 2002/2003,06/04/2003,H,Vitória Guimarães,1:1,1
31,Primeira Liga 2002/2003,19/04/2003,A,CS Marítimo,3:0,3
32,Primeira Liga 2002/2003,25/04/2003,H,SC Beira-Mar,1:1 (0:0),1
33,Primeira Liga 2002/2003,03/05/2003,A,SL Benfica,2:1,3
34,Primeira Liga 2002/2003,12/05/2003,H,União Leiria,1:1,1
35,Primeira Liga 2002/2003,17/05/2003,A,CD Nacional,1:1,1
36,Primeira Liga 2002/2003,24/05/2003,H,Vitória Setúbal,3:4,0
37,Primeira Liga 2002/2003,01/06/2003,A,FC Porto,0:2 (0:1),0
38,Taça 2002/2003,23/11/2002,H,CD Estarreja,4:1,3
39,Taça 2002/2003,17/12/2002,H,FC Oliveira do Hospital,8:1,3
40,Taça 2002/2003,28/01/2003,A,Estrela Amadora,1:0,3
41,Taça 2002/2003,07/03/2003,H,Naval 1° de Maio,0:1,0
