,match_type,date,home,away,score,points
0,Europa League 1994/1995,12/09/1994,H,Skonto FC,2:0 (1:0),3
1,Europa League 1994/1995,27/09/1994,A,Skonto FC,1:0 (1:0),3
2,Europa League 1994/1995,18/10/1994,A,Boavista,1:1 (0:1),1
3,Europa League 1994/1995,01/11/1994,H,Boavista,2:1 (2:0),3
4,Europa League 1994/1995,21/11/1994,A,Eintracht Frankfurt,0:1 (0:0),0
5,Europa League 1994/1995,05/12/1994,H,Eintracht Frankfurt,0:1 (0:0),0
6,Serie A 1994/1995,03/09/1994,H,AC Reggiana,1:0 (0:0),3
7,Serie A 1994/1995,10/09/1994,A,US Cremonese,0:2 (0:1),0
8,Serie A 1994/1995,17/09/1994,H,Juventus,0:2 (0:1),0
9,Serie A 1994/1995,24/09/1994,A,Genoa CFC,3:3 (2:2),1
10,Serie A 1994/1995,02/10/1994,H,Calcio Padova,3:3 (0:0),1
11,Serie A 1994/1995,15/10/1994,A,Lazio Roma,1:5 (1:5),0
12,Serie A 1994/1995,23/10/1994,H,AS Bari,3:0 (1:0),3
13,Serie A 1994/1995,29/10/1994,A,Sampdoria,0:0 (0:0),1
14,Serie A 1994/1995,05/11/1994,A,AS Roma,1:1 (1:0),1
15,Serie A 1994/1995,19/11/1994,H,ACF Fiorentina,2:5 (0:1),0
16,Serie A 1994/1995,26/11/1994,A,US Foggia,1:1 (0:1),1
17,Serie A 1994/1995,03/12/1994,H,Torino FC,1:1 (0:1),1
18,Serie A 1994/1995,10/12/1994,A,Inter,2:0 (1:0),3
19,Serie A 1994/1995,18/12/1994,H,Brescia Calcio,1:1 (0:1),1
20,Serie A 1994/1995,07/01/1995,A,AC Milan,1:1 (0:0),1
21,Serie A 1994/1995,14/01/1995,H,Cagliari Calcio,1:1 (1:1),1
22,Serie A 1994/1995,21/01/1995,A,Parma AC,0:2 (0:1),0
23,Serie A 1994/1995,28/01/1995,A,AC Reggiana,2:1 (1:0),3
24,Serie A 1994/1995,11/02/1995,H,US Cremonese,1:0 (0:0),3
25,Serie A 1994/1995,18/02/1995,A,Juventus,0:1 (0:0),0
26,Serie A 1994/1995,25/02/1995,H,Genoa CFC,1:0 (1:0),3
27,Serie A 1994/1995,04/03/1995,A,Calcio Padova,0:2 (0:0),0
28,Serie A 1994/1995,11/03/1995,H,Lazio Roma,3:2 (0:2),3
29,Serie A 1994/1995,18/03/1995,A,AS Bari,1:1 (1:1),1
30,Serie A 1994/1995,01/04/1995,H,Sampdoria,2:0 (2:0),3
31,Serie A 1994/1995,08/04/1995,H,AS Roma,0:0 (0:0),1
32,Serie A 1994/1995,13/04/1995,A,ACF Fiorentina,0:4 (0:1),0
33,Serie A 1994/1995,22/04/1995,H,US Foggia,2:1 (1:1),3
34,Serie A 1994/1995,29/04/1995,A,Torino FC,1:1 (1:0),1
35,Serie A 1994/1995,06/05/1995,H,Inter,1:3 (1:1),0
36,Serie A 1994/1995,13/05/1995,A,Brescia Calcio,2:1 (1:0),3
37,Serie A 1994/1995,20/05/1995,H,AC Milan,1:0 (1:0),3
38,Serie A 1994/1995,27/05/1995,A,Cagliari Calcio,1:0 (1:0),3
39,Serie A 1994/1995,03/06/1995,H,Parma AC,1:0 (1:0),3
40,Coppa Italia 1994/1995,31/08/1994,H,AS Fidelis Andria,3:2,3
41,Coppa Italia 1994/1995,20/09/1994,A,AS Fidelis Andria,1:1,1
42,Coppa Italia 1994/1995,11/10/1994,H,US Cremonese,3:0,3
43,Coppa Italia 1994/1995,25/10/1994,A,US Cremonese,1:0,3
44,Coppa Italia 1994/1995,28/11/1994,A,Lazio Roma,0:1,0
45,Coppa Italia 1994/1995,13/12/1994,H,Lazio Roma,1:2,0
