,match_type,date,home,away,score,points
0,UI-Cup 1995/1996,24/06/1995,H,FC Luzern,0:2,0
1,UI-Cup 1995/1996,30/06/1995,A,Rudar Velenje,2:1,3
2,UI-Cup 1995/1996,15/07/1995,H,Östers IF,1:2,0
3,UI-Cup 1995/1996,22/07/1995,A,1. FC Köln,0:8,0
4,Premier League 1994/1995,19/08/1994,A,Sheffield Wednesday,4:3 (2:0),3
5,Premier League 1994/1995,23/08/1994,H,Everton FC,2:1 (2:0),3
6,Premier League 1994/1995,26/08/1994,H,Manchester United,0:1 (0:0),0
7,Premier League 1994/1995,29/08/1994,A,Ipswich Town,3:1 (3:0),3
8,Premier League 1994/1995,11/09/1994,H,Southampton FC,1:2 (1:0),0
9,Premier League 1994/1995,16/09/1994,A,Leicester City,1:3 (0:1),0
10,Premier League 1994/1995,23/09/1994,H,Nottingham Forest,1:4 (1:1),0
11,Premier League 1994/1995,01/10/1994,A,Wimbledon FC,2:1 (1:1),3
12,Premier League 1994/1995,08/10/1994,H,Queens Park Rangers,1:1 (0:1),1
13,Premier League 1994/1995,15/10/1994,A,Leeds United,1:1 (1:0),1
14,Premier League 1994/1995,22/10/1994,A,Manchester City,2:5 (1:3),0
15,Premier League 1994/1995,28/10/1994,H,West Ham United,3:1 (1:1),3
16,Premier League 1994/1995,04/11/1994,A,Blackburn Rovers,0:2 (0:1),0
17,Premier League 1994/1995,18/11/1994,H,Aston Villa,3:4 (1:3),0
18,Premier League 1994/1995,22/11/1994,H,Chelsea FC,0:0 (0:0),1
19,Premier League 1994/1995,25/11/1994,A,Liverpool FC,1:1 (0:1),1
20,Premier League 1994/1995,02/12/1994,H,Newcastle United,4:2 (2:2),3
21,Premier League 1994/1995,09/12/1994,H,Sheffield Wednesday,3:1 (0:1),3
22,Premier League 1994/1995,16/12/1994,A,Everton FC,0:0 (0:0),1
23,Premier League 1994/1995,25/12/1994,A,Norwich City,2:0 (1:0),3
24,Premier League 1994/1995,26/12/1994,H,Crystal Palace,0:0 (0:0),1
25,Premier League 1994/1995,30/12/1994,A,Coventry City,4:0 (1:0),3
26,Premier League 1994/1995,01/01/1995,H,Arsenal FC,1:0 (1:0),3
27,Premier League 1994/1995,13/01/1995,A,West Ham United,2:1 (0:1),3
28,Premier League 1994/1995,24/01/1995,A,Aston Villa,0:1 (0:1),0
29,Premier League 1994/1995,04/02/1995,H,Blackburn Rovers,3:1 (2:0),3
30,Premier League 1994/1995,10/02/1995,A,Chelsea FC,1:1 (1:0),1
31,Premier League 1994/1995,24/02/1995,H,Wimbledon FC,1:2 (0:1),0
32,Premier League 1994/1995,03/03/1995,A,Nottingham Forest,2:2 (0:0),1
33,Premier League 1994/1995,07/03/1995,H,Ipswich Town,3:0 (2:0),3
34,Premier League 1994/1995,14/03/1995,A,Manchester United,0:0 (0:0),1
35,Premier League 1994/1995,17/03/1995,H,Leicester City,1:0 (0:0),3
36,Premier League 1994/1995,21/03/1995,H,Liverpool FC,0:0 (0:0),1
37,Premier League 1994/1995,01/04/1995,A,Southampton FC,3:4 (2:2),0
38,Premier League 1994/1995,10/04/1995,H,Manchester City,2:1 (0:0),3
39,Premier League 1994/1995,13/04/1995,A,Crystal Palace,1:1 (0:1),1
40,Premier League 1994/1995,16/04/1995,H,Norwich City,1:0 (1:0),3
41,Premier League 1994/1995,28/04/1995,A,Arsenal FC,1:1 (0:0),1
42,Premier League 1994/1995,02/05/1995,A,Newcastle United,3:3 (3:2),1
43,Premier League 1994/1995,05/05/1995,A,Queens Park Rangers,1:2 (1:0),0
44,Premier League 1994/1995,08/05/1995,H,Coventry City,1:3 (0:1),0
45,Premier League 1994/1995,13/05/1995,H,Leeds United,1:1 (1:0),1
46,FA Cup 1994/1995,06/01/1995,H,Altrincham FC,3:0,3
47,FA Cup 1994/1995,28/01/1995,A,Sunderland AFC,4:1,3
48,FA Cup 1994/1995,17/02/1995,H,Southampton FC,1:1,1
49,FA Cup 1994/1995,28/02/1995,A,Southampton FC,6:2,3
50,FA Cup 1994/1995,10/03/1995,A,Liverpool FC,2:1,3
51,FA Cup 1994/1995,08/04/1995,H,Everton FC,1:4 (0:1),0
52,League Cup 1994/1995,25/10/1994,A,Notts County,0:3,0
