,match_type,date,home,away,score,points
0,Friendlies Clubs 2017,23/07/2017,H,Kayserispor,2:2 (0:0),1
1,Friendlies Clubs 2017,26/07/2017,A,Huddersfield Town,2:1 (1:1),3
2,Friendlies Clubs 2017,30/07/2017,N,Hannover 96,1:1 (0:0),1
3,Friendlies Clubs 2017,05/08/2017,H,AZ Alkmaar,1:2 (0:2),0
4,Friendlies Clubs 2017,09/08/2017,A,Celta Vigo,"3:2 (0:1, 1:1) pso",3
5,Friendlies Clubs 2017,11/11/2017,H,ND Gorica,4:1 (3:1),3
6,Friendlies Clubs 2018,23/03/2018,A,NK Domžale,0:1 (0:1),0
7,Serie A 2017/2018,20/08/2017,H,Chievo Verona,1:2 (1:1),0
8,Serie A 2017/2018,27/08/2017,A,SPAL 2013 Ferrara,2:3 (0:1),0
9,Serie A 2017/2018,10/09/2017,H,Genoa CFC,1:0 (1:0),3
10,Serie A 2017/2018,17/09/2017,A,AC Milan,1:2 (1:2),0
11,Serie A 2017/2018,20/09/2017,H,Torino FC,2:3 (0:2),0
12,Serie A 2017/2018,23/09/2017,A,AS Roma,1:3 (0:3),0
13,Serie A 2017/2018,30/09/2017,H,Sampdoria,4:0 (1:0),3
14,Serie A 2017/2018,15/10/2017,A,ACF Fiorentina,1:2 (0:1),0
15,Serie A 2017/2018,22/10/2017,H,Juventus,2:6 (1:2),0
16,Serie A 2017/2018,25/10/2017,A,Sassuolo Calcio,1:0 (1:0),3
17,Serie A 2017/2018,29/10/2017,H,Atalanta,2:1 (1:1),3
18,Serie A 2017/2018,19/11/2017,H,Cagliari Calcio,0:1 (0:0),0
19,Serie A 2017/2018,26/11/2017,H,SSC Napoli,0:1 (0:1),0
20,Serie A 2017/2018,04/12/2017,A,FC Crotone,3:0 (1:0),3
21,Serie A 2017/2018,10/12/2017,H,Benevento Calcio,2:0 (2:0),3
22,Serie A 2017/2018,16/12/2017,A,Inter,3:1 (1:1),3
23,Serie A 2017/2018,23/12/2017,H,Hellas Verona,4:0 (2:0),3
24,Serie A 2017/2018,30/12/2017,A,Bologna FC,2:1 (1:1),3
25,Serie A 2017/2018,05/01/2018,A,Chievo Verona,1:1 (1:1),1
26,Serie A 2017/2018,21/01/2018,H,SPAL 2013 Ferrara,1:1 (1:0),1
27,Serie A 2017/2018,24/01/2018,A,Lazio Roma,0:3 (0:1),0
28,Serie A 2017/2018,28/01/2018,A,Genoa CFC,1:0 (0:0),3
29,Serie A 2017/2018,04/02/2018,H,AC Milan,1:1 (0:1),1
30,Serie A 2017/2018,11/02/2018,A,Torino FC,0:2 (0:1),0
31,Serie A 2017/2018,17/02/2018,H,AS Roma,0:2 (0:0),0
32,Serie A 2017/2018,25/02/2018,A,Sampdoria,1:2 (0:1),0
33,Serie A 2017/2018,11/03/2018,A,Juventus,0:2 (0:1),0
34,Serie A 2017/2018,17/03/2018,H,Sassuolo Calcio,1:2 (1:1),0
35,Serie A 2017/2018,31/03/2018,A,Atalanta,0:2 (0:0),0
36,Serie A 2017/2018,03/04/2018,H,ACF Fiorentina,0:2 (0:1),0
37,Serie A 2017/2018,08/04/2018,H,Lazio Roma,1:2 (1:2),0
38,Serie A 2017/2018,14/04/2018,A,Cagliari Calcio,1:2 (1:1),0
39,Serie A 2017/2018,18/04/2018,A,SSC Napoli,2:4 (1:1),0
40,Serie A 2017/2018,22/04/2018,H,FC Crotone,1:2 (1:1),0
41,Serie A 2017/2018,29/04/2018,A,Benevento Calcio,3:3 (1:1),1
42,Serie A 2017/2018,06/05/2018,H,Inter,0:4 (0:3),0
43,Coppa Italia 2017/2018,12/08/2017,H,Frosinone Calcio,3:2 (1:1),3
44,Coppa Italia 2017/2018,30/11/2017,H,AC Perugia Calcio,8:3 (3:1),3
45,Coppa Italia 2017/2018,19/12/2017,A,SSC Napoli,0:1 (0:0),0
