,match_type,date,home,away,score,points
0,Primeira Liga 2002/2003,24/08/2002,H,Vitória Guimarães,1:2,0
1,Primeira Liga 2002/2003,01/09/2002,A,CS Marítimo,0:2,0
2,Primeira Liga 2002/2003,14/09/2002,H,SC Beira-Mar,1:0,3
3,Primeira Liga 2002/2003,21/09/2002,A,SL Benfica,1:3,0
4,Primeira Liga 2002/2003,29/09/2002,A,Moreirense FC,1:2,0
5,Primeira Liga 2002/2003,05/10/2002,H,CD Nacional,1:0,3
6,Primeira Liga 2002/2003,20/10/2002,A,Vitória Setúbal,0:0,1
7,Primeira Liga 2002/2003,26/10/2002,H,FC Porto,2:2,1
8,Primeira Liga 2002/2003,03/11/2002,A,Académica de Coimbra,2:3,0
9,Primeira Liga 2002/2003,10/11/2002,H,CD Santa Clara,3:1,3
10,Primeira Liga 2002/2003,17/11/2002,A,Paços de Ferreira,0:1,0
11,Primeira Liga 2002/2003,01/12/2002,H,Varzim SC,3:1,3
12,Primeira Liga 2002/2003,08/12/2002,A,Sporting Braga,1:1 (1:1),1
13,Primeira Liga 2002/2003,14/12/2002,H,Sporting CP,3:2 (1:1),3
14,Primeira Liga 2002/2003,21/12/2002,A,Os Belenenses,3:1,3
15,Primeira Liga 2002/2003,04/01/2003,H,Boavista,1:0,3
16,Primeira Liga 2002/2003,11/01/2003,A,Gil Vicente,1:3,0
17,Primeira Liga 2002/2003,17/01/2003,A,Vitória Guimarães,2:1,3
18,Primeira Liga 2002/2003,25/01/2003,H,CS Marítimo,3:0,3
19,Primeira Liga 2002/2003,02/02/2003,A,SC Beira-Mar,2:2,1
20,Primeira Liga 2002/2003,08/02/2003,H,SL Benfica,0:3,0
21,Primeira Liga 2002/2003,16/02/2003,H,Moreirense FC,2:2,1
22,Primeira Liga 2002/2003,24/02/2003,A,CD Nacional,2:2,1
23,Primeira Liga 2002/2003,01/03/2003,H,Vitória Setúbal,1:1,1
24,Primeira Liga 2002/2003,16/03/2003,A,FC Porto,0:2,0
25,Primeira Liga 2002/2003,23/03/2003,H,Académica de Coimbra,0:0,1
26,Primeira Liga 2002/2003,06/04/2003,A,CD Santa Clara,3:1,3
27,Primeira Liga 2002/2003,18/04/2003,H,Paços de Ferreira,0:1,0
28,Primeira Liga 2002/2003,27/04/2003,A,Varzim SC,2:0 (1:0),3
29,Primeira Liga 2002/2003,04/05/2003,H,Sporting Braga,1:1,1
30,Primeira Liga 2002/2003,12/05/2003,A,Sporting CP,1:1,1
31,Primeira Liga 2002/2003,18/05/2003,H,Os Belenenses,1:4,0
32,Primeira Liga 2002/2003,26/05/2003,A,Boavista,1:0,3
33,Primeira Liga 2002/2003,01/06/2003,H,Gil Vicente,4:2 (3:0),3
34,Taça 2002/2003,23/11/2002,H,Oriental,3:1,3
35,Taça 2002/2003,17/12/2002,H,Louletano,4:1,3
36,Taça 2002/2003,21/01/2003,H,SC Freamunde,5:2,3
37,Taça 2002/2003,07/03/2003,H,Académica de Coimbra,3:1,3
38,Taça 2002/2003,14/04/2003,H,Paços de Ferreira,1:0,3
39,Taça 2002/2003,15/06/2003,N,FC Porto,0:1 (0:0),0
