,match_type,date,home,away,score,points
0,Champions League 2010/2011,14/09/2010,A,Bursaspor,4:0 (2:0),3
1,Champions League 2010/2011,29/09/2010,H,Manchester United,0:1 (0:0),0
2,Champions League 2010/2011,20/10/2010,A,Rangers FC,1:1 (0:1),1
3,Champions League 2010/2011,02/11/2010,H,Rangers FC,3:0 (1:0),3
4,Champions League 2010/2011,24/11/2010,H,Bursaspor,6:1 (4:0),3
5,Champions League 2010/2011,07/12/2010,A,Manchester United,1:1 (1:0),1
6,Champions League 2010/2011,15/02/2011,H,FC Schalke 04,1:1 (1:0),1
7,Champions League 2010/2011,09/03/2011,A,FC Schalke 04,1:3 (1:1),0
8,Primera División 2010/2011,28/08/2010,A,Málaga CF,3:1 (1:1),3
9,Primera División 2010/2011,11/09/2010,H,Racing Santander,1:0 (1:0),3
10,Primera División 2010/2011,19/09/2010,A,Hércules CF,2:1 (2:1),3
11,Primera División 2010/2011,22/09/2010,H,Atlético Madrid,1:1 (0:1),1
12,Primera División 2010/2011,25/09/2010,A,Sporting Gijón,2:0 (2:0),3
13,Primera División 2010/2011,02/10/2010,H,Athletic Bilbao,2:1 (1:0),3
14,Primera División 2010/2011,16/10/2010,A,FC Barcelona,1:2 (1:0),0
15,Primera División 2010/2011,23/10/2010,H,RCD Mallorca,1:2 (1:2),0
16,Primera División 2010/2011,30/10/2010,H,Real Zaragoza,1:1 (1:1),1
17,Primera División 2010/2011,08/11/2010,A,Sevilla FC,0:2 (0:0),0
18,Primera División 2010/2011,14/11/2010,H,Getafe CF,2:0 (1:0),3
19,Primera División 2010/2011,20/11/2010,A,Villarreal CF,1:1 (1:0),1
20,Primera División 2010/2011,28/11/2010,H,UD Almería,2:1 (1:0),3
21,Primera División 2010/2011,04/12/2010,A,Real Madrid,0:2 (0:0),0
22,Primera División 2010/2011,13/12/2010,H,CA Osasuna,3:3 (3:1),1
23,Primera División 2010/2011,18/12/2010,A,Real Sociedad,2:1 (1:1),3
24,Primera División 2010/2011,02/01/2011,H,Espanyol Barcelona,2:1 (1:1),3
25,Primera División 2010/2011,09/01/2011,A,Levante UD,1:0 (0:0),3
26,Primera División 2010/2011,16/01/2011,H,Deportivo La Coruña,2:0 (0:0),3
27,Primera División 2010/2011,22/01/2011,H,Málaga CF,4:3 (1:2),3
28,Primera División 2010/2011,31/01/2011,A,Racing Santander,1:1 (0:1),1
29,Primera División 2010/2011,06/02/2011,H,Hércules CF,2:0 (1:0),3
30,Primera División 2010/2011,12/02/2011,A,Atlético Madrid,2:1 (1:1),3
31,Primera División 2010/2011,19/02/2011,H,Sporting Gijón,0:0 (0:0),1
32,Primera División 2010/2011,27/02/2011,A,Athletic Bilbao,2:1 (0:1),3
33,Primera División 2010/2011,02/03/2011,H,FC Barcelona,0:1 (0:0),0
34,Primera División 2010/2011,05/03/2011,A,RCD Mallorca,2:1 (1:1),3
35,Primera División 2010/2011,12/03/2011,A,Real Zaragoza,0:4 (0:2),0
36,Primera División 2010/2011,20/03/2011,H,Sevilla FC,0:1 (0:0),0
37,Primera División 2010/2011,02/04/2011,A,Getafe CF,4:2 (0:1),3
38,Primera División 2010/2011,10/04/2011,H,Villarreal CF,5:0 (1:0),3
39,Primera División 2010/2011,16/04/2011,A,UD Almería,3:0 (0:0),3
40,Primera División 2010/2011,23/04/2011,H,Real Madrid,3:6 (0:4),0
41,Primera División 2010/2011,01/05/2011,A,CA Osasuna,0:1 (0:0),0
42,Primera División 2010/2011,07/05/2011,H,Real Sociedad,3:0 (3:0),3
43,Primera División 2010/2011,11/05/2011,A,Espanyol Barcelona,2:2 (2:1),1
44,Primera División 2010/2011,15/05/2011,H,Levante UD,0:0 (0:0),1
45,Primera División 2010/2011,21/05/2011,A,Deportivo La Coruña,2:0 (1:0),3
46,Copa del Rey 2010/2011,27/10/2010,A,UD Logroñés,3:0 (0:0),3
47,Copa del Rey 2010/2011,11/11/2010,H,UD Logroñés,4:1 (3:1),3
48,Copa del Rey 2010/2011,21/12/2010,H,Villarreal CF,0:0 (0:0),1
49,Copa del Rey 2010/2011,06/01/2011,A,Villarreal CF,2:4 (2:0),0
