,match_type,date,home,away,score,points
0,Europa League 2010/2011,16/09/2010,H,BSC Young Boys,3:0 (1:0),3
1,Europa League 2010/2011,30/09/2010,A,Odense BK,2:1 (0:0),3
2,Europa League 2010/2011,21/10/2010,H,Getafe CF,1:0 (1:0),3
3,Europa League 2010/2011,04/11/2010,A,Getafe CF,3:0 (1:0),3
4,Europa League 2010/2011,01/12/2010,A,BSC Young Boys,2:4 (0:1),0
5,Europa League 2010/2011,16/12/2010,H,Odense BK,5:1 (1:0),3
6,Europa League 2010/2011,17/02/2011,A,SL Benfica,1:2 (1:0),0
7,Europa League 2010/2011,24/02/2011,H,SL Benfica,0:2 (0:1),0
8,Europa League Qual. 2010/2011,29/07/2010,A,Molde FK,3:2 (1:0),3
9,Europa League Qual. 2010/2011,05/08/2010,H,Molde FK,2:2 (0:1),1
10,Europa League Qual. 2010/2011,19/08/2010,A,Slovan Bratislava,1:0 (0:0),3
11,Europa League Qual. 2010/2011,26/08/2010,H,Slovan Bratislava,2:2 (0:1),1
12,Bundesliga 2010/2011,22/08/2010,A,1. FSV Mainz 05,0:2 (0:1),0
13,Bundesliga 2010/2011,29/08/2010,H,Borussia Dortmund,1:3 (0:3),0
14,Bundesliga 2010/2011,11/09/2010,A,SC Freiburg,1:2 (1:0),0
15,Bundesliga 2010/2011,18/09/2010,H,Bor. Mönchengladbach,7:0 (2:0),3
16,Bundesliga 2010/2011,22/09/2010,A,1. FC Nürnberg,1:2 (0:1),0
17,Bundesliga 2010/2011,25/09/2010,H,Bayer Leverkusen,1:4 (0:2),0
18,Bundesliga 2010/2011,03/10/2010,H,Eintracht Frankfurt,1:2 (0:1),0
19,Bundesliga 2010/2011,16/10/2010,A,FC Schalke 04,2:2 (1:1),1
20,Bundesliga 2010/2011,24/10/2010,H,FC St. Pauli,2:0 (1:0),3
21,Bundesliga 2010/2011,30/10/2010,A,VfL Wolfsburg,0:2 (0:1),0
22,Bundesliga 2010/2011,07/11/2010,H,Werder Bremen,6:0 (3:0),3
23,Bundesliga 2010/2011,13/11/2010,A,1. FC Kaiserslautern,3:3 (2:0),1
24,Bundesliga 2010/2011,21/11/2010,H,1. FC Köln,0:1 (0:0),0
25,Bundesliga 2010/2011,27/11/2010,A,Hamburger SV,2:4 (1:3),0
26,Bundesliga 2010/2011,04/12/2010,H,1899 Hoffenheim,1:1 (1:1),1
27,Bundesliga 2010/2011,10/12/2010,A,Hannover 96,1:2 (0:1),0
28,Bundesliga 2010/2011,19/12/2010,H,Bayern München,3:5 (0:3),0
29,Bundesliga 2010/2011,15/01/2011,H,1. FSV Mainz 05,1:0 (0:0),3
30,Bundesliga 2010/2011,22/01/2011,A,Borussia Dortmund,1:1 (0:1),1
31,Bundesliga 2010/2011,30/01/2011,H,SC Freiburg,0:1 (0:1),0
32,Bundesliga 2010/2011,05/02/2011,A,Bor. Mönchengladbach,3:2 (0:2),3
33,Bundesliga 2010/2011,12/02/2011,H,1. FC Nürnberg,1:4 (1:2),0
34,Bundesliga 2010/2011,20/02/2011,A,Bayer Leverkusen,2:4 (1:2),0
35,Bundesliga 2010/2011,27/02/2011,A,Eintracht Frankfurt,2:0 (0:0),3
36,Bundesliga 2010/2011,05/03/2011,H,FC Schalke 04,1:0 (1:0),3
37,Bundesliga 2010/2011,13/03/2011,A,FC St. Pauli,2:1 (1:1),3
38,Bundesliga 2010/2011,20/03/2011,H,VfL Wolfsburg,1:1 (0:1),1
39,Bundesliga 2010/2011,02/04/2011,A,Werder Bremen,1:1 (1:1),1
40,Bundesliga 2010/2011,09/04/2011,H,1. FC Kaiserslautern,2:4 (2:1),0
41,Bundesliga 2010/2011,16/04/2011,A,1. FC Köln,3:1 (0:0),3
42,Bundesliga 2010/2011,23/04/2011,H,Hamburger SV,3:0 (1:0),3
43,Bundesliga 2010/2011,30/04/2011,A,1899 Hoffenheim,2:1 (0:1),3
44,Bundesliga 2010/2011,07/05/2011,H,Hannover 96,2:1 (0:0),3
45,Bundesliga 2010/2011,14/05/2011,A,Bayern München,1:2 (1:1),0
46,DFB-Pokal 2010/2011,14/08/2010,A,SV Babelsberg 03,2:1 (2:1),3
47,DFB-Pokal 2010/2011,27/10/2010,A,Chemnitzer FC,"3:1 (0:0, 1:1) aet",3
48,DFB-Pokal 2010/2011,22/12/2010,H,Bayern München,3:6 (2:2),0
