,match_type,date,home,away,score,points
0,Friendlies Clubs 2017,11/07/2017,A,FC Rapperswil-Jona,2:0,3
1,Friendlies Clubs 2017,14/07/2017,A,FC Winterthur,1:2 (0:0),0
2,Friendlies Clubs 2017,17/07/2017,A,Hansa Rostock,1:0 (1:0),3
3,Friendlies Clubs 2017,22/07/2017,A,Dynamo Dresden,4:3 (4:2),3
4,Friendlies Clubs 2017,29/07/2017,A,Fulham FC,3:0 (1:0),3
5,Friendlies Clubs 2017,02/08/2017,N,Newcastle United,1:3 (0:2),0
6,Friendlies Clubs 2017,06/08/2017,H,ACF Fiorentina,0:2 (0:1),0
7,Friendlies Clubs 2017,08/08/2017,A,Hessen Kassel,2:0 (0:0),3
8,Friendlies Clubs 2017,31/08/2017,H,Erzgebirge Aue,3:0 (0:0),3
9,Friendlies Clubs 2017,04/10/2017,H,FC Utrecht,2:0 (0:0),3
10,Friendlies Clubs 2017,09/11/2017,H,FC Twente,2:1 (0:0),3
11,Friendlies Clubs 2018,05/01/2018,N,FC St. Pauli,3:1 (2:1),3
12,Friendlies Clubs 2018,06/01/2018,N,Dynamo Dresden,2:1 (2:0),3
13,Friendlies Clubs 2018,22/03/2018,A,1. FC Union Berlin,3:0 (0:0),3
14,Bundesliga 2017/2018,19/08/2017,H,Borussia Dortmund,0:3 (0:2),0
15,Bundesliga 2017/2018,26/08/2017,A,Eintracht Frankfurt,1:0 (1:0),3
16,Bundesliga 2017/2018,09/09/2017,H,Hannover 96,1:1 (0:0),1
17,Bundesliga 2017/2018,16/09/2017,A,VfB Stuttgart,0:1 (0:1),0
18,Bundesliga 2017/2018,19/09/2017,H,Werder Bremen,1:1 (1:0),1
19,Bundesliga 2017/2018,22/09/2017,A,Bayern München,2:2 (0:2),1
20,Bundesliga 2017/2018,30/09/2017,H,1. FSV Mainz 05,1:1 (0:0),1
21,Bundesliga 2017/2018,15/10/2017,A,Bayer Leverkusen,2:2 (1:1),1
22,Bundesliga 2017/2018,22/10/2017,H,1899 Hoffenheim,1:1 (0:0),1
23,Bundesliga 2017/2018,28/10/2017,A,FC Schalke 04,1:1 (0:1),1
24,Bundesliga 2017/2018,05/11/2017,H,Hertha BSC,3:3 (2:1),1
25,Bundesliga 2017/2018,18/11/2017,H,SC Freiburg,3:1 (2:0),3
26,Bundesliga 2017/2018,25/11/2017,A,FC Augsburg,1:2 (1:0),0
27,Bundesliga 2017/2018,03/12/2017,H,Bor. Mönchengladbach,3:0 (2:0),3
28,Bundesliga 2017/2018,09/12/2017,A,Hamburger SV,0:0 (0:0),1
29,Bundesliga 2017/2018,12/12/2017,H,RB Leipzig,1:1 (1:0),1
30,Bundesliga 2017/2018,16/12/2017,A,1. FC Köln,0:1 (0:0),0
31,Bundesliga 2017/2018,14/01/2018,A,Borussia Dortmund,0:0 (0:0),1
32,Bundesliga 2017/2018,20/01/2018,H,Eintracht Frankfurt,1:3 (0:2),0
33,Bundesliga 2017/2018,28/01/2018,A,Hannover 96,1:0 (0:0),3
34,Bundesliga 2017/2018,03/02/2018,H,VfB Stuttgart,1:1 (1:0),1
35,Bundesliga 2017/2018,11/02/2018,A,Werder Bremen,1:3 (0:2),0
36,Bundesliga 2017/2018,17/02/2018,H,Bayern München,1:2 (1:0),0
37,Bundesliga 2017/2018,23/02/2018,A,1. FSV Mainz 05,1:1 (1:1),1
38,Bundesliga 2017/2018,03/03/2018,H,Bayer Leverkusen,1:2 (0:1),0
39,Bundesliga 2017/2018,10/03/2018,A,1899 Hoffenheim,0:3 (0:1),0
40,Bundesliga 2017/2018,17/03/2018,H,FC Schalke 04,0:1 (0:0),0
41,Bundesliga 2017/2018,31/03/2018,A,Hertha BSC,0:0 (0:0),1
42,Bundesliga 2017/2018,07/04/2018,A,SC Freiburg,2:0 (1:0),3
43,Bundesliga 2017/2018,13/04/2018,H,FC Augsburg,0:0 (0:0),1
44,Bundesliga 2017/2018,20/04/2018,A,Bor. Mönchengladbach,0:3 (0:3),0
45,Bundesliga 2017/2018,28/04/2018,H,Hamburger SV,1:3 (0:2),0
46,Bundesliga 2017/2018,05/05/2018,A,RB Leipzig,1:4 (0:2),0
47,Bundesliga 2017/2018,12/05/2018,H,1. FC Köln,4:1 (1:1),3
48,DFB-Pokal 2017/2018,13/08/2017,A,Eintracht Norderstedt,1:0 (0:0),3
49,DFB-Pokal 2017/2018,25/10/2017,H,Hannover 96,1:0 (0:0),3
50,DFB-Pokal 2017/2018,19/12/2017,A,1. FC Nürnberg,"2:0 (0:0, 0:0) aet",3
51,DFB-Pokal 2017/2018,07/02/2018,A,FC Schalke 04,0:1 (0:1),0
52,Relegation Bundesliga 2017/2018,17/05/2018,H,Holstein Kiel,-:-,1
53,Relegation Bundesliga 2017/2018,21/05/2018,A,Holstein Kiel,-:-,1
