,match_type,date,home,away,score,points
0,Champions League 2005/2006,14/09/2005,H,Manchester United,0:0 (0:0),1
1,Champions League 2005/2006,27/09/2005,A,Lille OSC,0:0 (0:0),1
2,Champions League 2005/2006,18/10/2005,H,SL Benfica,1:1 (0:0),1
3,Champions League 2005/2006,02/11/2005,A,SL Benfica,1:0 (0:0),3
4,Champions League 2005/2006,22/11/2005,A,Manchester United,0:0 (0:0),1
5,Champions League 2005/2006,07/12/2005,H,Lille OSC,1:0 (0:0),3
6,Champions League 2005/2006,22/02/2006,A,Rangers FC,2:2 (2:1),1
7,Champions League 2005/2006,07/03/2006,H,Rangers FC,1:1 (0:1),1
8,Champions League 2005/2006,29/03/2006,A,Inter,1:2 (1:1),0
9,Champions League 2005/2006,04/04/2006,H,Inter,1:0 (0:0),3
10,Champions League 2005/2006,19/04/2006,A,Arsenal FC,0:1 (0:1),0
11,Champions League 2005/2006,25/04/2006,H,Arsenal FC,0:0 (0:0),1
12,Champions League Qual. 2005/2006,09/08/2005,A,Everton FC,2:1 (2:1),3
13,Champions League Qual. 2005/2006,24/08/2005,H,Everton FC,2:1 (1:0),3
14,Primera División 2005/2006,28/08/2005,A,CA Osasuna,1:2 (0:1),0
15,Primera División 2005/2006,11/09/2005,H,Sevilla FC,1:1 (0:1),1
16,Primera División 2005/2006,18/09/2005,A,Cádiz CF,1:1 (1:1),1
17,Primera División 2005/2006,21/09/2005,H,Celta Vigo,1:2 (0:1),0
18,Primera División 2005/2006,24/09/2005,A,Espanyol Barcelona,2:1 (1:0),3
19,Primera División 2005/2006,02/10/2005,H,Athletic Bilbao,3:1 (1:1),3
20,Primera División 2005/2006,15/10/2005,A,CD Alavés,1:1 (1:1),1
21,Primera División 2005/2006,23/10/2005,H,RCD Mallorca,3:0 (3:0),3
22,Primera División 2005/2006,26/10/2005,A,Real Betis,3:2 (1:1),3
23,Primera División 2005/2006,30/10/2005,A,Atlético Madrid,1:1 (0:1),1
24,Primera División 2005/2006,05/11/2005,H,Valencia CF,1:0 (1:0),3
25,Primera División 2005/2006,19/11/2005,H,Real Zaragoza,0:0 (0:0),1
26,Primera División 2005/2006,27/11/2005,A,Deportivo La Coruña,2:0 (0:0),3
27,Primera División 2005/2006,04/12/2005,H,FC Barcelona,0:2 (0:1),0
28,Primera División 2005/2006,10/12/2005,A,Real Sociedad,3:1 (1:1),3
29,Primera División 2005/2006,18/12/2005,H,Getafe CF,2:1 (1:1),3
30,Primera División 2005/2006,21/12/2005,A,Málaga CF,0:0 (0:0),1
31,Primera División 2005/2006,08/01/2006,H,Real Madrid,0:0 (0:0),1
32,Primera División 2005/2006,15/01/2006,A,Racing Santander,0:1 (0:1),0
33,Primera División 2005/2006,22/01/2006,H,CA Osasuna,2:1 (0:1),3
34,Primera División 2005/2006,29/01/2006,A,Sevilla FC,0:2 (0:1),0
35,Primera División 2005/2006,05/02/2006,H,Cádiz CF,1:1 (0:1),1
36,Primera División 2005/2006,12/02/2006,A,Celta Vigo,0:1 (0:1),0
37,Primera División 2005/2006,18/02/2006,H,Espanyol Barcelona,4:0 (3:0),3
38,Primera División 2005/2006,26/02/2006,A,Athletic Bilbao,1:1 (1:1),1
39,Primera División 2005/2006,04/03/2006,H,CD Alavés,3:2 (1:2),3
40,Primera División 2005/2006,12/03/2006,A,RCD Mallorca,1:1 (1:1),1
41,Primera División 2005/2006,18/03/2006,H,Atlético Madrid,1:1 (1:0),1
42,Primera División 2005/2006,22/03/2006,A,Valencia CF,1:1 (0:1),1
43,Primera División 2005/2006,25/03/2006,H,Real Betis,1:2 (0:2),0
44,Primera División 2005/2006,01/04/2006,A,Real Zaragoza,1:0 (1:0),3
45,Primera División 2005/2006,09/04/2006,H,Deportivo La Coruña,1:1 (0:0),1
46,Primera División 2005/2006,14/04/2006,A,FC Barcelona,0:1 (0:1),0
47,Primera División 2005/2006,22/04/2006,H,Real Sociedad,0:2 (0:2),0
48,Primera División 2005/2006,30/04/2006,A,Getafe CF,1:1 (1:1),1
49,Primera División 2005/2006,03/05/2006,H,Málaga CF,2:1 (2:1),3
50,Primera División 2005/2006,07/05/2006,A,Real Madrid,3:3 (2:1),1
51,Primera División 2005/2006,13/05/2006,H,Racing Santander,2:0 (1:0),3
52,Copa del Rey 2005/2006,04/01/2006,H,Valencia CF,0:2 (0:0),0
53,Copa del Rey 2005/2006,11/01/2006,A,Valencia CF,0:1 (0:0),0
