,match_type,date,home,away,score,points
0,Europa League 1995/1996,11/09/1995,A,Glenavon FC,2:0 (0:0),3
1,Europa League 1995/1996,26/09/1995,H,Glenavon FC,5:0 (4:0),3
2,Europa League 1995/1996,17/10/1995,H,Dinamo Minsk,5:0 (0:0),3
3,Europa League 1995/1996,30/10/1995,A,Dinamo Minsk,1:2 (1:0),0
4,Europa League 1995/1996,20/11/1995,A,PSV Eindhoven,1:2 (0:1),0
5,Europa League 1995/1996,04/12/1995,H,PSV Eindhoven,0:0 (0:0),1
6,UI-Cup 1996/1997,21/06/1996,A,Apollon Limassol,2:0,3
7,UI-Cup 1996/1997,06/07/1996,H,Djurgårdens IF,3:2,3
8,UI-Cup 1996/1997,12/07/1996,A,B68 Toftir,2:0,3
9,UI-Cup 1996/1997,19/07/1996,H,Linzer ASK,1:3 (0:0),0
10,Bundesliga 1995/1996,11/08/1995,H,Fortuna Düsseldorf,1:1 (1:1),1
11,Bundesliga 1995/1996,18/08/1995,A,Hamburger SV,3:3 (1:2),1
12,Bundesliga 1995/1996,29/08/1995,H,Karlsruher SC,1:0 (0:0),3
13,Bundesliga 1995/1996,02/09/1995,A,KFC Uerdingen 05,0:3 (0:1),0
14,Bundesliga 1995/1996,08/09/1995,H,TSV 1860 München,2:0 (0:0),3
15,Bundesliga 1995/1996,16/09/1995,A,SC Freiburg,1:0 (0:0),3
16,Bundesliga 1995/1996,23/09/1995,H,1. FC Kaiserslautern,1:1 (1:0),1
17,Bundesliga 1995/1996,30/09/1995,A,Bayer Leverkusen,2:2 (1:1),1
18,Bundesliga 1995/1996,14/10/1995,H,Borussia Dortmund,2:2 (1:1),1
19,Bundesliga 1995/1996,22/10/1995,A,Bor. Mönchengladbach,0:1 (0:0),0
20,Bundesliga 1995/1996,28/10/1995,H,FC St. Pauli,1:1 (1:0),1
21,Bundesliga 1995/1996,04/11/1995,A,VfB Stuttgart,1:1 (0:0),1
22,Bundesliga 1995/1996,11/11/1995,H,Eintracht Frankfurt,1:1 (1:0),1
23,Bundesliga 1995/1996,18/11/1995,A,Bayern München,0:2 (0:1),0
24,Bundesliga 1995/1996,25/11/1995,H,Hansa Rostock,0:2 (0:1),0
25,Bundesliga 1995/1996,01/12/1995,H,1. FC Köln,0:1 (0:0),0
26,Bundesliga 1995/1996,09/12/1995,A,FC Schalke 04,1:2 (0:0),0
27,Bundesliga 1995/1996,24/02/1996,A,Karlsruher SC,1:1 (1:1),1
28,Bundesliga 1995/1996,01/03/1996,H,KFC Uerdingen 05,1:0 (1:0),3
29,Bundesliga 1995/1996,05/03/1996,H,Hamburger SV,2:1 (2:1),3
30,Bundesliga 1995/1996,09/03/1996,A,TSV 1860 München,1:1 (0:1),1
31,Bundesliga 1995/1996,12/03/1996,A,Fortuna Düsseldorf,1:1 (0:0),1
32,Bundesliga 1995/1996,15/03/1996,H,SC Freiburg,0:2 (0:0),0
33,Bundesliga 1995/1996,23/03/1996,A,1. FC Kaiserslautern,0:0 (0:0),1
34,Bundesliga 1995/1996,30/03/1996,H,Bayer Leverkusen,2:1 (1:0),3
35,Bundesliga 1995/1996,06/04/1996,A,Borussia Dortmund,1:1 (1:1),1
36,Bundesliga 1995/1996,10/04/1996,H,Bor. Mönchengladbach,2:0 (1:0),3
37,Bundesliga 1995/1996,13/04/1996,A,FC St. Pauli,2:1 (1:0),3
38,Bundesliga 1995/1996,20/04/1996,H,VfB Stuttgart,2:2 (1:0),1
39,Bundesliga 1995/1996,27/04/1996,A,Eintracht Frankfurt,0:1 (0:0),0
40,Bundesliga 1995/1996,04/05/1996,A,Hansa Rostock,1:2 (0:0),0
41,Bundesliga 1995/1996,07/05/1996,H,Bayern München,3:2 (1:2),3
42,Bundesliga 1995/1996,11/05/1996,A,1. FC Köln,2:1 (0:1),3
43,Bundesliga 1995/1996,18/05/1996,H,FC Schalke 04,1:2 (1:0),0
44,DFB-Pokal 1995/1996,26/08/1995,A,Bayern München II,1:0 (0:0),3
45,DFB-Pokal 1995/1996,20/09/1995,A,1. FSV Mainz 05,3:2 (2:1),3
46,DFB-Pokal 1995/1996,03/10/1995,A,1. FC Nürnberg,2:3 (2:0),0
