,date,home,away,score,points
0,Friday 8th July,Tranmere Rovers,Liverpool,0:1,3
1,Wednesday 13th July,Fleetwood Town,Liverpool,0:5,3
2,Sunday 17th July ,Wigan Athletic,Liverpool,0:2,3
3,Wednesday 02th July,Huddersfield Town,Liverpool,0:2,3
4,Thursday 28th July,Chelsea,Liverpool,1:0,0
5,Sunday 31st July,Liverpool,AC Milan,2:0,3
6,Tuesday 2nd August,Liverpool,AS Roma,1:2,0
7,Saturday 6th August,Liverpool,Barcelona,4:0,3
8,Sunday 7th August,Mainz 05,Liverpool,4:0,0
9,Saturday 13th August,Arsenal,Liverpool,3:4,3
10,Saturday 20th August,Burnley,Liverpool,2:0,0
11,Tuesday 23rd August,Burton Albion,Liverpool,0:5,3
12,Saturday 27th August,Tottenham Hotspur,Liverpool,1:1,1
13,Saturday 10th September,Liverpool,Leicester City,4:1,3
14,Friday 16th September,Chelsea,Liverpool,1:2,3
15,Tuesday 20th September,Derby County,Liverpool,0:3,3
16,Saturday 24th September,Liverpool,Hull City,5:1,3
17,Saturday 1st October,Swansea City,Liverpool,1:2,3
18,Monday 17th October,Liverpool,Manchester United,0:0,1
19,Saturday 22nd October,Liverpool,West Bromwich Albion,2:1,3
20,Tuesday 25th October,Liverpool,Tottenham Hotspur,2:1,3
21,Saturday 29th October,Crystal Palace,Liverpool,2:4,3
22,Sunday 6th November,Liverpool,Watford,6:1,3
23,Saturday 19th November,Southampton,Liverpool,0:0,1
24,Saturday 26th November,Liverpool,Sunderland,2:0,3
25,Tuesday 29th November,Liverpool,Leeds United,2:0,3
26,Sunday 4th December,Bournemouth,Liverpool,4:3,0
27,Saturday 11th December,Liverpool,West Ham United,2:2,1
28,Wednesday 14th December ,Middlesborough,Liverpool,0:3,3
29,Monday 19th December,Everton,Liverpool,0:1,3
30,Tuesday 27th December,Liverpool,Stoke City,4:1,3
31,Saturday 31st December ,Liverpool,Manchester City,1:0,3
32,Monday 2nd January,Sunderland ,Liverpool,2:2,1
33,Sunday 8th January,Liverpool,Plymouth Argyle,0:0,1
34,Wednesday 11th January,Southampton,Liverpool,1:0,0
35,Sunday 15th January,Manchester United,Liverpool,1:1,1
36,Wednesday 18th January,Plymouth Argyle,Liverpool,0:1,3
37,Saturday 21st January,Liverpool,Swansea City,2:3,0
38,Wednesday 25th January,Liverpool,Southampton,0:1,0
39,Saturday 28th January,Liverpool,Wolverhampton W,1:2,0
40,Tuesday 31st January,Liverpool,Chelsea,1:1,1
41,Saturday 4th February,Hull City,Liverpool,2:0,0
42,Saturday 11th February,Liverpool,Tottenham Hotspur,2:0,3
43,Monday 27th February,Leicester City,Liverpool,3:1,0
44,Saturday 4th March,Liverpool,Arsenal,3:1,3
45,Saturday 18th March,Liverpool,Burnley,2:1,3
46,Saturday 18th March,Manchester City,Liverpool,1:1,1
47,Saturday 1st April,Liverpool,Everton,3:1,3
48,Saturday 8th April,Stoke City,Liverpool,1:2,3
49,Sunday 23rd April,Liverpool,Crystal Palace,1:2,0
