,date,home,away,score,points
0,Saturday 13th August,Arsenal,Liverpool,3:4,3
1,Saturday 20th August,Burnley,Liverpool,2:0,0
2,Saturday 27th August,Tottenham Hotspur,Liverpool,1:1,1
3,Saturday 10th September,Liverpool,Leicester City,4:1,3
4,Friday 16th September,Chelsea,Liverpool,1:2,3
5,Saturday 24th September,Liverpool,Hull City,5:1,3
6,Saturday 1st October,Swansea City,Liverpool,1:2,3
7,Monday 17th October,Liverpool,Manchester United,0:0,1
8,Saturday 22nd October,Liverpool,West Bromwich Albion,2:1,3
9,Saturday 29th October,Crystal Palace,Liverpool,2:4,3
10,Sunday 6th November,Liverpool,Watford,6:1,3
11,Saturday 19th November,Southampton,Liverpool,0:0,1
12,Saturday 26th November,Liverpool,Sunderland,2:0,3
13,Sunday 4th December,Bournemouth,Liverpool,4:3,0
14,Saturday 11th December,Liverpool,West Ham United,2:2,1
15,Wednesday 14th December ,Middlesborough,Liverpool,0:3,3
16,Monday 19th December,Everton,Liverpool,0:1,3
17,Tuesday 26th December,Liverpool,Stoke City,4:1,3
18,Saturday 31st December ,Liverpool,Manchester City,1:0,3
19,Monday 2nd January,Sunderland ,Liverpool,2:2,1
20,Sunday 15th January,Manchester United,Liverpool,1:1,1
21,Saturday 21st January,Liverpool,Swansea City,2:3,0
22,Tuesday 31st January,Liverpool,Chelsea,1:1,1
23,Saturday 4th February,Hull City,Liverpool,2:0,0
24,Saturday 11th February,Liverpool,Tottenham Hotspur,2:0,3
25,Monday 27th February,Leicester City,Liverpool,3:1,0
26,Saturday 4th March,Liverpool,Arsenal,3:1,3
27,Saturday 11th March,Liverpool,Burnley,2:1,3
28,Saturday 18th March,Manchester City,Liverpool,1:1,1
29,Saturday 1st April,Liverpool,Everton,3:1,3
30,Saturday 8th April,Stoke City,Liverpool,1:2,3
31,Sunday 24th April,Liverpool,Crystal Palace,1:2,0
