,DATE,GDP
0,1947-01-01,1934.5
1,1947-04-01,1932.3
2,1947-07-01,1930.3
3,1947-10-01,1960.7
4,1948-01-01,1989.5
5,1948-04-01,2021.9
6,1948-07-01,2033.2
7,1948-10-01,2035.3
8,1949-01-01,2007.5
9,1949-04-01,2000.8
10,1949-07-01,2022.8
11,1949-10-01,2004.7
12,1950-01-01,2084.6
13,1950-04-01,2147.6
14,1950-07-01,2230.4
15,1950-10-01,2273.4
16,1951-01-01,2304.5
17,1951-04-01,2344.5
18,1951-07-01,2392.8
19,1951-10-01,2398.1
20,1952-01-01,2423.5
21,1952-04-01,2428.5
22,1952-07-01,2446.1
23,1952-10-01,2526.4
24,1953-01-01,2573.4
25,1953-04-01,2593.5
26,1953-07-01,2578.9
27,1953-10-01,2539.8
28,1954-01-01,2528.0
29,1954-04-01,2530.7
30,1954-07-01,2559.4
31,1954-10-01,2609.3
32,1955-01-01,2683.8
33,1955-04-01,2727.5
34,1955-07-01,2764.1
35,1955-10-01,2780.8
36,1956-01-01,2770.0
37,1956-04-01,2792.9
38,1956-07-01,2790.6
39,1956-10-01,2836.2
40,1957-01-01,2854.5
41,1957-04-01,2848.2
42,1957-07-01,2875.9
43,1957-10-01,2846.4
44,1958-01-01,2772.7
45,1958-04-01,2790.9
46,1958-07-01,2855.5
47,1958-10-01,2922.3
48,1959-01-01,2976.6
49,1959-04-01,3049.0
50,1959-07-01,3043.1
51,1959-10-01,3055.1
52,1960-01-01,3123.2
53,1960-04-01,3111.3
54,1960-07-01,3119.1
55,1960-10-01,3081.3
56,1961-01-01,3102.3
57,1961-04-01,3159.9
58,1961-07-01,3212.6
59,1961-10-01,3277.7
60,1962-01-01,3336.8
61,1962-04-01,3372.7
62,1962-07-01,3404.8
63,1962-10-01,3418.0
64,1963-01-01,3456.1
65,1963-04-01,3501.1
66,1963-07-01,3569.5
67,1963-10-01,3595.0
68,1964-01-01,3672.7
69,1964-04-01,3716.4
70,1964-07-01,3766.9
71,1964-10-01,3780.2
72,1965-01-01,3873.5
73,1965-04-01,3926.4
74,1965-07-01,4006.2
75,1965-10-01,4100.6
76,1966-01-01,4201.9
77,1966-04-01,4219.1
78,1966-07-01,4249.2
79,1966-10-01,4285.6
80,1967-01-01,4324.9
81,1967-04-01,4328.7
82,1967-07-01,4366.1
83,1967-10-01,4401.2
84,1968-01-01,4490.6
85,1968-04-01,4566.4
86,1968-07-01,4599.3
87,1968-10-01,4619.8
88,1969-01-01,4691.6
89,1969-04-01,4706.7
90,1969-07-01,4736.1
91,1969-10-01,4715.5
92,1970-01-01,4707.1
93,1970-04-01,4715.4
94,1970-07-01,4757.2
95,1970-10-01,4708.3
96,1971-01-01,4834.3
97,1971-04-01,4861.9
98,1971-07-01,4900.0
99,1971-10-01,4914.3
100,1972-01-01,5002.4
101,1972-04-01,5118.3
102,1972-07-01,5165.4
103,1972-10-01,5251.2
104,1973-01-01,5380.5
105,1973-04-01,5441.5
106,1973-07-01,5411.9
107,1973-10-01,5462.4
108,1974-01-01,5417.0
109,1974-04-01,5431.3
110,1974-07-01,5378.7
111,1974-10-01,5357.2
112,1975-01-01,5292.4
113,1975-04-01,5333.2
114,1975-07-01,5421.4
115,1975-10-01,5494.4
116,1976-01-01,5618.5
117,1976-04-01,5661.0
118,1976-07-01,5689.8
119,1976-10-01,5732.5
120,1977-01-01,5799.2
121,1977-04-01,5913.0
122,1977-07-01,6017.6
123,1977-10-01,6018.2
124,1978-01-01,6039.2
125,1978-04-01,6274.0
126,1978-07-01,6335.3
127,1978-10-01,6420.3
128,1979-01-01,6433.0
129,1979-04-01,6440.8
130,1979-07-01,6487.1
131,1979-10-01,6503.9
132,1980-01-01,6524.9
133,1980-04-01,6392.6
134,1980-07-01,6382.9
135,1980-10-01,6501.2
136,1981-01-01,6635.7
137,1981-04-01,6587.3
138,1981-07-01,6662.9
139,1981-10-01,6585.1
140,1982-01-01,6475.0
141,1982-04-01,6510.2
142,1982-07-01,6486.8
143,1982-10-01,6493.1
144,1983-01-01,6578.2
145,1983-04-01,6728.3
146,1983-07-01,6860.0
147,1983-10-01,7001.5
148,1984-01-01,7140.6
149,1984-04-01,7266.0
150,1984-07-01,7337.5
151,1984-10-01,7396.0
152,1985-01-01,7469.5
153,1985-04-01,7537.9
154,1985-07-01,7655.2
155,1985-10-01,7712.6
156,1986-01-01,7784.1
157,1986-04-01,7819.8
158,1986-07-01,7898.6
159,1986-10-01,7939.5
160,1987-01-01,7995.0
161,1987-04-01,8084.7
162,1987-07-01,8158.0
163,1987-10-01,8292.7
164,1988-01-01,8339.3
165,1988-04-01,8449.5
166,1988-07-01,8498.3
167,1988-10-01,8610.9
168,1989-01-01,8697.7
169,1989-04-01,8766.1
170,1989-07-01,8831.5
171,1989-10-01,8850.2
172,1990-01-01,8947.1
173,1990-04-01,8981.7
174,1990-07-01,8983.9
175,1990-10-01,8907.4
176,1991-01-01,8865.6
177,1991-04-01,8934.4
178,1991-07-01,8977.3
179,1991-10-01,9016.4
180,1992-01-01,9123.0
181,1992-04-01,9223.5
182,1992-07-01,9313.2
183,1992-10-01,9406.5
184,1993-01-01,9424.1
185,1993-04-01,9480.1
186,1993-07-01,9526.3
187,1993-10-01,9653.5
188,1994-01-01,9748.2
189,1994-04-01,9881.4
190,1994-07-01,9939.7
191,1994-10-01,10052.5
192,1995-01-01,10086.9
193,1995-04-01,10122.1
194,1995-07-01,10208.8
195,1995-10-01,10281.2
196,1996-01-01,10348.7
197,1996-04-01,10529.4
198,1996-07-01,10626.8
199,1996-10-01,10739.1
200,1997-01-01,10820.9
201,1997-04-01,10984.2
202,1997-07-01,11124.0
203,1997-10-01,11210.3
204,1998-01-01,11321.2
205,1998-04-01,11431.0
206,1998-07-01,11580.6
207,1998-10-01,11770.7
208,1999-01-01,11864.7
209,1999-04-01,11962.5
