DATE,M2
1981-11-01,1735.2
1981-12-01,1752.4
1982-01-01,1763.6
1982-02-01,1773.6
1982-03-01,1785.8
1982-04-01,1804.7
1982-05-01,1813.0
1982-06-01,1825.0
1982-07-01,1830.2
1982-08-01,1845.5
1982-09-01,1859.1
1982-10-01,1868.0
1982-11-01,1884.3
1982-12-01,1902.9
1983-01-01,1953.4
1983-02-01,1995.8
1983-03-01,2013.5
1983-04-01,2025.2
1983-05-01,2040.5
1983-06-01,2052.2
1983-07-01,2064.8
1983-08-01,2071.8
1983-09-01,2079.4
1983-10-01,2095.6
1983-11-01,2105.0
1983-12-01,2118.6
1984-01-01,2135.9
1984-02-01,2145.9
1984-03-01,2171.6
1984-04-01,2193.2
1984-05-01,2205.3
1984-06-01,2217.5
1984-07-01,2227.4
1984-08-01,2231.7
1984-09-01,2242.1
1984-10-01,2257.8
1984-11-01,2279.0
1984-12-01,2303.3
1985-01-01,2333.3
1985-02-01,2347.9
1985-03-01,2360.9
1985-04-01,2372.1
1985-05-01,2384.1
1985-06-01,2406.0
1985-07-01,2427.5
1985-08-01,2438.5
1985-09-01,2449.1
1985-10-01,2464.3
1985-11-01,2473.3
1985-12-01,2489.7
1986-01-01,2503.4
1986-02-01,2511.7
1986-03-01,2534.8
1986-04-01,2560.1
1986-05-01,2583.1
1986-06-01,2608.2
1986-07-01,2631.9
1986-08-01,2648.8
1986-09-01,2669.0
1986-10-01,2687.6
1986-11-01,2699.8
1986-12-01,2724.2
1987-01-01,2747.5
1987-02-01,2742.0
1987-03-01,2750.4
1987-04-01,2765.3
1987-05-01,2766.5
1987-06-01,2772.0
1987-07-01,2777.7
1987-08-01,2783.2
1987-09-01,2791.9
1987-10-01,2810.4
1987-11-01,2817.3
1987-12-01,2824.8
1988-01-01,2841.9
1988-02-01,2868.7
1988-03-01,2892.7
1988-04-01,2911.7
1988-05-01,2923.0
1988-06-01,2941.7
1988-07-01,2952.1
1988-08-01,2959.7
1988-09-01,2962.4
1988-10-01,2968.5
1988-11-01,2984.8
1988-12-01,2989.8
1989-01-01,2994.4
1989-02-01,2988.3
1989-03-01,3000.0
1989-04-01,3004.9
1989-05-01,3007.4
1989-06-01,3023.4
1989-07-01,3050.6
1989-08-01,3071.6
1989-09-01,3085.5
1989-10-01,3111.8
1989-11-01,3133.3
1989-12-01,3150.4
1990-01-01,3166.1
1990-02-01,3180.7
1990-03-01,3190.5
1990-04-01,3202.0
1990-05-01,3201.6
1990-06-01,3212.5
1990-07-01,3225.3
1990-08-01,3241.7
1990-09-01,3253.6
1990-10-01,3260.8
1990-11-01,3264.0
1990-12-01,3271.1
1991-01-01,3287.2
1991-02-01,3303.7
1991-03-01,3319.3
1991-04-01,3332.7
1991-05-01,3343.4
1991-06-01,3349.3
1991-07-01,3356.9
1991-08-01,3355.3
1991-09-01,3354.7
1991-10-01,3360.2
1991-11-01,3364.3
1991-12-01,3372.0
1992-01-01,3378.7
1992-02-01,3398.4
1992-03-01,3403.3
1992-04-01,3399.4
1992-05-01,3398.5
1992-06-01,3393.8
1992-07-01,3393.5
1992-08-01,3397.5
1992-09-01,3409.4
1992-10-01,3421.1
1992-11-01,3426.4
1992-12-01,3424.6
1993-01-01,3417.5
1993-02-01,3413.0
1993-03-01,3410.6
1993-04-01,3408.1
1993-05-01,3435.3
1993-06-01,3442.1
1993-07-01,3440.5
1993-08-01,3444.5
1993-09-01,3451.2
1993-10-01,3453.7
1993-11-01,3468.1
1993-12-01,3474.7
1994-01-01,3472.9
1994-02-01,3474.5
1994-03-01,3479.1
1994-04-01,3478.4
1994-05-01,3489.3
1994-06-01,3478.1
1994-07-01,3484.3
1994-08-01,3485.0
1994-09-01,3484.7
1994-10-01,3481.7
1994-11-01,3484.8
1994-12-01,3485.2
1995-01-01,3487.7
1995-02-01,3486.9
1995-03-01,3488.6
1995-04-01,3491.5
1995-05-01,3517.6
1995-06-01,3544.6
1995-07-01,3562.4
1995-08-01,3584.9
1995-09-01,3597.3
1995-10-01,3608.4
1995-11-01,3616.2
1995-12-01,3623.9
1996-01-01,3642.4
1996-02-01,3655.8
1996-03-01,3681.7
1996-04-01,3693.6
1996-05-01,3704.8
1996-06-01,3715.7
1996-07-01,3731.4
1996-08-01,3740.4
1996-09-01,3747.2
1996-10-01,3762.4
1996-11-01,3780.7
1996-12-01,3803.5
1997-01-01,3819.4
1997-02-01,3830.4
1997-03-01,3845.4
1997-04-01,3862.5
1997-05-01,3871.9
1997-06-01,3889.7
1997-07-01,3907.4
1997-08-01,3937.3
1997-09-01,3958.0
1997-10-01,3975.8
1997-11-01,3995.6
1997-12-01,4015.8
1998-01-01,4039.5
1998-02-01,4066.9
1998-03-01,4097.3
1998-04-01,4123.9
1998-05-01,4143.8
1998-06-01,4167.1
1998-07-01,4187.4
1998-08-01,4210.7
1998-09-01,4249.7
1998-10-01,4285.4
1998-11-01,4327.0
1998-12-01,4356.5
1999-01-01,4381.5
1999-02-01,4406.0
1999-03-01,4413.6
1999-04-01,4442.1
1999-05-01,4465.0
1999-06-01,4488.2
1999-07-01,4512.9
1999-08-01,4531.6
1999-09-01,4547.4
1999-10-01,4567.6
1999-11-01,4590.5
1999-12-01,4615.9
2000-01-01,4651.7
2000-02-01,4660.3
2000-03-01,4686.9
2000-04-01,4743.2
2000-05-01,4736.0
2000-06-01,4751.2
2000-07-01,4768.6
2000-08-01,4796.1
2000-09-01,4830.3
2000-10-01,4849.6
2000-11-01,4858.1
2000-12-01,4895.0
2001-01-01,4951.3
2001-02-01,4989.2
2001-03-01,5043.2
2001-04-01,5109.5
2001-05-01,5107.6
2001-06-01,5147.5
2001-07-01,5178.1
2001-08-01,5211.5
2001-09-01,5314.8
2001-10-01,5311.3
2001-11-01,5351.3
2001-12-01,5404.7
2002-01-01,5426.7
2002-02-01,5455.7
2002-03-01,5469.1
2002-04-01,5470.8
2002-05-01,5495.2
2002-06-01,5512.2
2002-07-01,5556.5
2002-08-01,5602.0
2002-09-01,5627.3
2002-10-01,5669.7
2002-11-01,5718.3
2002-12-01,5743.5
2003-01-01,5774.7
2003-02-01,5809.4
2003-03-01,5831.3
2003-04-01,5866.5
2003-05-01,5929.5
2003-06-01,5964.5
2003-07-01,6010.1
2003-08-01,6071.8
2003-09-01,6049.8
2003-10-01,6035.9
2003-11-01,6036.8
2003-12-01,6038.7
2004-01-01,6041.1
2004-02-01,6078.0
2004-03-01,6115.8
2004-04-01,6152.7
2004-05-01,6234.0
2004-06-01,6239.4
2004-07-01,6249.9
2004-08-01,6276.2
2004-09-01,6311.9
2004-10-01,6334.8
2004-11-01,6367.0
2004-12-01,6388.9
2005-01-01,6390.4
2005-02-01,6401.3
2005-03-01,6410.0
2005-04-01,6421.9
2005-05-01,6439.2
2005-06-01,6471.5
2005-07-01,6497.2
2005-08-01,6535.5
2005-09-01,6568.4
2005-10-01,6603.2
2005-11-01,6621.5
2005-12-01,6645.5
2006-01-01,6687.5
2006-02-01,6714.9
2006-03-01,6730.9
2006-04-01,6761.7
2006-05-01,6774.0
2006-06-01,6807.5
2006-07-01,6850.4
2006-08-01,6881.4
2006-09-01,6906.2
2006-10-01,6954.1
2006-11-01,6991.5
2006-12-01,7029.3
2007-01-01,7073.2
2007-02-01,7091.0
2007-03-01,7116.8
2007-04-01,7193.8
2007-05-01,7211.3
2007-06-01,7239.4
2007-07-01,7272.8
2007-08-01,7345.7
2007-09-01,7367.9
2007-10-01,7380.4
2007-11-01,7404.2
2007-12-01,7436.2
2008-01-01,7466.1
2008-02-01,7550.3
2008-03-01,7621.7
2008-04-01,7669.8
2008-05-01,7676.3
2008-06-01,7695.2
2008-07-01,7739.7
2008-08-01,7755.9
2008-09-01,7808.5
2008-10-01,7928.6
2008-11-01,7960.7
2008-12-01,8136.9
2009-01-01,8237.9
2009-02-01,8265.9
2009-03-01,8334.8
2009-04-01,8340.0
2009-05-01,8397.2
2009-06-01,8408.9
2009-07-01,8409.4
2009-08-01,8407.5
2009-09-01,8402.4
2009-10-01,8428.2
2009-11-01,8462.4
2009-12-01,8468.0
2010-01-01,8421.3
2010-02-01,8472.4
2010-03-01,8478.0
2010-04-01,8505.4
2010-05-01,8560.8
2010-06-01,8579.7
2010-07-01,8575.6
2010-08-01,8626.4
2010-09-01,8651.2
2010-10-01,8700.8
2010-11-01,8730.6
2010-12-01,8768.7
2011-01-01,8804.0
2011-02-01,8857.4
2011-03-01,8902.2
2011-04-01,8958.6
2011-05-01,9017.5
2011-06-01,9083.7
2011-07-01,9240.0
2011-08-01,9477.2
2011-09-01,9502.0
2011-10-01,9537.3
2011-11-01,9587.8
2011-12-01,9618.7
2012-01-01,9711.6
2012-02-01,9757.9
2012-03-01,9801.2
2012-04-01,9862.1
2012-05-01,9892.2
2012-06-01,9947.4
2012-07-01,10018.5
2012-08-01,10084.2
2012-09-01,10151.9
2012-10-01,10217.3
2012-11-01,10292.1
2012-12-01,10418.5
2013-01-01,10457.4
2013-02-01,10451.4
2013-03-01,10513.3
2013-04-01,10569.7
2013-05-01,10595.7
2013-06-01,10639.9
2013-07-01,10697.8
2013-08-01,10749.3
2013-09-01,10801.2
2013-10-01,10905.5
2013-11-01,10922.4
2013-12-01,10991.1
2014-01-01,11042.3
2014-02-01,11124.6
2014-03-01,11170.7
2014-04-01,11229.6
2014-05-01,11288.3
2014-06-01,11349.0
2014-07-01,11405.9
2014-08-01,11431.0
2014-09-01,11466.0
2014-10-01,11511.3
2014-11-01,11552.5
2014-12-01,11642.1
2015-01-01,11695.8
2015-02-01,11820.6
2015-03-01,11854.9
2015-04-01,11899.2
2015-05-01,11923.0
2015-06-01,11975.5
2015-07-01,12032.6
2015-08-01,12077.2
2015-09-01,12137.2
2015-10-01,12133.9
2015-11-01,12248.1
2015-12-01,12310.4
2016-01-01,12417.5
2016-02-01,12508.2
2016-03-01,12577.6
2016-04-01,12653.3
2016-05-01,12739.2
2016-06-01,12807.9
2016-07-01,12857.7
2016-08-01,12947.1
2016-09-01,13011.6
2016-10-01,13065.7
2016-11-01,13146.5
2016-12-01,13175.8
2017-01-01,13264.0
2017-02-01,13309.3
