DATE,M2_PC1
1981-11-01,8.82408
1981-12-01,9.69640
1982-01-01,10.00499
1982-02-01,9.73889
1982-03-01,9.14981
1982-04-01,8.74307
1982-05-01,8.99363
1982-06-01,9.32071
1982-07-01,8.84977
1982-08-01,8.86621
1982-09-01,8.94228
1982-10-01,8.57309
1982-11-01,8.59267
1982-12-01,8.58822
1983-01-01,10.76208
1983-02-01,12.52819
1983-03-01,12.75059
1983-04-01,12.21810
1983-05-01,12.54826
1983-06-01,12.44932
1983-07-01,12.81827
1983-08-01,12.26226
1983-09-01,11.84982
1983-10-01,12.18415
1983-11-01,11.71257
1983-12-01,11.33533
1984-01-01,9.34268
1984-02-01,7.52079
1984-03-01,7.85200
1984-04-01,8.29548
1984-05-01,8.07645
1984-06-01,8.05477
1984-07-01,7.87485
1984-08-01,7.71793
1984-09-01,7.82437
1984-10-01,7.74003
1984-11-01,8.26603
1984-12-01,8.71802
1985-01-01,9.24201
1985-02-01,9.41330
1985-03-01,8.71707
1985-04-01,8.15703
1985-05-01,8.10774
1985-06-01,8.50056
1985-07-01,8.98357
1985-08-01,9.26648
1985-09-01,9.23242
1985-10-01,9.14607
1985-11-01,8.52567
1985-12-01,8.09274
1986-01-01,7.29010
1986-02-01,6.97645
1986-03-01,7.36584
1986-04-01,7.92547
1986-05-01,8.34697
1986-06-01,8.40399
1986-07-01,8.42019
1986-08-01,8.62415
1986-09-01,8.97881
1986-10-01,9.06140
1986-11-01,9.15781
1986-12-01,9.41881
1987-01-01,9.75074
1987-02-01,9.16909
1987-03-01,8.50560
1987-04-01,8.01531
1987-05-01,7.10000
1987-06-01,6.28019
1987-07-01,5.53972
1987-08-01,5.07400
1987-09-01,4.60472
1987-10-01,4.56913
1987-11-01,4.35217
1987-12-01,3.69283
1988-01-01,3.43585
1988-02-01,4.62071
1988-03-01,5.17379
1988-04-01,5.29418
1988-05-01,5.65697
1988-06-01,6.12193
1988-07-01,6.27858
1988-08-01,6.34162
1988-09-01,6.10695
1988-10-01,5.62553
1988-11-01,5.94541
1988-12-01,5.84112
1989-01-01,5.36613
1989-02-01,4.16914
1989-03-01,3.70934
1989-04-01,3.20088
1989-05-01,2.88744
1989-06-01,2.77731
1989-07-01,3.33661
1989-08-01,3.78079
1989-09-01,4.15541
1989-10-01,4.82735
1989-11-01,4.97521
1989-12-01,5.37160
1990-01-01,5.73404
1990-02-01,6.43844
1990-03-01,6.35000
1990-04-01,6.55929
1990-05-01,6.45741
1990-06-01,6.25455
1990-07-01,5.72674
1990-08-01,5.53783
1990-09-01,5.44806
1990-10-01,4.78823
1990-11-01,4.17132
1990-12-01,3.83126
1991-01-01,3.82489
1991-02-01,3.86707
1991-03-01,4.03698
1991-04-01,4.08182
1991-05-01,4.42904
1991-06-01,4.25837
1991-07-01,4.08024
1991-08-01,3.50433
1991-09-01,3.10733
1991-10-01,3.04833
1991-11-01,3.07292
1991-12-01,3.08459
1992-01-01,2.78352
1992-02-01,2.86648
1992-03-01,2.53065
1992-04-01,2.00138
1992-05-01,1.64802
1992-06-01,1.32864
1992-07-01,1.09029
1992-08-01,1.25771
1992-09-01,1.63055
1992-10-01,1.81239
1992-11-01,1.84585
1992-12-01,1.55991
1993-01-01,1.14837
1993-02-01,0.42961
1993-03-01,0.21450
1993-04-01,0.25593
1993-05-01,1.08283
1993-06-01,1.42318
1993-07-01,1.38500
1993-08-01,1.38337
1993-09-01,1.22602
1993-10-01,0.95291
1993-11-01,1.21702
1993-12-01,1.46294
1994-01-01,1.62107
1994-02-01,1.80193
1994-03-01,2.00844
1994-04-01,2.06273
