Date,Open,High,Low,Close,Volume,Adjusted Close
1990-01-31,25.360001,25.360001,25.360001,25.360001,0.0,25.360001
1990-02-28,21.99,21.99,21.99,21.99,0.0,21.99
1990-03-31,19.73,19.73,19.73,19.73,0.0,19.73
1990-04-30,19.52,19.52,19.52,19.52,0.0,19.52
1990-05-31,17.370001,17.370001,17.370001,17.370001,0.0,17.370001
1990-06-30,15.5,15.5,15.5,15.5,0.0,15.5
1990-07-31,21.110001,21.110001,21.110001,21.110001,0.0,21.110001
1990-08-31,29.9,29.9,29.9,29.9,0.0,29.9
1990-09-30,29.110001,29.110001,29.110001,29.110001,0.0,29.110001
1990-10-31,30.040001,30.040001,30.040001,30.040001,0.0,30.040001
1990-11-30,22.16,22.16,22.16,22.16,0.0,22.16
1990-12-31,26.379999,26.379999,26.379999,26.379999,0.0,26.379999
1991-01-31,20.91,20.91,20.91,20.91,0.0,20.91
1991-02-28,21.23,21.23,21.23,21.23,0.0,21.23
1991-03-31,16.879999,16.879999,16.879999,16.879999,0.0,16.879999
1991-04-30,18.24,18.24,18.24,18.24,0.0,18.24
1991-05-31,15.93,15.93,15.93,15.93,0.0,15.93
1991-06-30,19.549999,19.549999,19.549999,19.549999,0.0,19.549999
1991-07-31,15.18,15.18,15.18,15.18,0.0,15.18
1991-08-31,14.46,14.46,14.46,14.46,0.0,14.46
1991-09-30,15.85,15.85,15.85,15.85,0.0,15.85
1991-10-31,15.48,15.48,15.48,15.48,0.0,15.48
1991-11-30,20.26,20.26,20.26,20.26,0.0,20.26
1991-12-31,19.309999,19.309999,19.309999,19.309999,0.0,19.309999
1992-01-31,14.16,17.51,14.12,17.4,0.0,17.4
1992-02-29,15.34,17.17,15.34,16.68,0.0,16.68
1992-03-31,16.450001,16.559999,15.98,16.18,0.0,16.18
1992-04-30,15.86,15.94,15.53,15.53,0.0,15.53
1992-05-31,12.77,14.28,12.77,13.86,0.0,13.86
1992-06-30,13.66,14.31,13.19,13.35,0.0,13.35
1992-07-31,12.55,13.64,12.55,13.17,0.0,13.17
1992-08-31,12.66,13.89,12.66,13.58,0.0,13.58
1992-09-30,13.96,14.89,13.96,14.28,0.0,14.28
