DATE,LFWA64TTUSM647S_CH1
1978-01-01,2434726.311
1978-02-01,2416890.750
1978-03-01,2294350.936
1978-04-01,2378580.913
1978-05-01,2208244.916
1978-06-01,2430868.583
1978-07-01,2327946.411
1978-08-01,2351008.991
1978-09-01,2404419.554
1978-10-01,2380676.095
1978-11-01,2371915.528
1978-12-01,2395949.686
1979-01-01,2524785.035
1979-02-01,2462119.228
1979-03-01,2564719.745
1979-04-01,2257465.028
1979-05-01,2233429.607
1979-06-01,2143369.827
1979-07-01,2282235.910
1979-08-01,2336669.567
1979-09-01,2290356.253
1979-10-01,2210952.638
1979-11-01,2410029.001
1979-12-01,2289725.676
1980-01-01,2393185.796
1980-02-01,2222043.041
1980-03-01,2122556.718
1980-04-01,2458931.051
1980-05-01,2656406.565
1980-06-01,2600928.084
1980-07-01,2456590.764
1980-08-01,2559514.717
1980-09-01,2456938.733
1980-10-01,2242533.074
1980-11-01,2141604.692
1980-12-01,2032378.338
1981-01-01,1833786.807
1981-02-01,1991263.538
1981-03-01,2068640.924
1981-04-01,2010674.632
1981-05-01,1893983.355
1981-06-01,1898757.920
1981-07-01,1656709.985
1981-08-01,1500941.810
1981-09-01,1480891.291
1981-10-01,1763042.251
1981-11-01,1826907.280
1981-12-01,1905537.186
1982-01-01,1638025.842
1982-02-01,1485594.065
1982-03-01,1587332.830
1982-04-01,1639382.907
1982-05-01,1569109.692
1982-06-01,1649083.708
1982-07-01,1851620.874
1982-08-01,1900717.226
1982-09-01,1989402.347
1982-10-01,1820102.680
1982-11-01,1676329.007
1982-12-01,1759123.413
1983-01-01,1392172.051
1983-02-01,1368997.451
1983-03-01,1228982.006
1983-04-01,1287931.893
1983-05-01,1360048.841
1983-06-01,1155912.607
1983-07-01,1512274.122
1983-08-01,1502166.569
1983-09-01,1486237.110
1983-10-01,1333715.916
1983-11-01,1146355.446
1983-12-01,1026087.771
1984-01-01,1620347.755
1984-02-01,1682752.420
1984-03-01,1726399.373
1984-04-01,1805833.247
1984-05-01,1737629.099
1984-06-01,1869638.705
1984-07-01,1559802.224
1984-08-01,1330089.027
1984-09-01,1260752.664
1984-10-01,1283224.156
1984-11-01,1511630.114
1984-12-01,1689243.805
1985-01-01,1529491.718
1985-02-01,1733805.148
1985-03-01,1695430.769
1985-04-01,1433040.628
1985-05-01,1135052.167
1985-06-01,1176737.806
1985-07-01,1032323.943
1985-08-01,1259560.416
1985-09-01,1363590.595
1985-10-01,1504124.036
1985-11-01,1459001.514
1985-12-01,1307892.557
1986-01-01,1665045.803
1986-02-01,1521138.531
1986-03-01,1577658.149
1986-04-01,1591145.755
1986-05-01,1976507.559
1986-06-01,1970878.298
1986-07-01,2148896.878
1986-08-01,2041991.746
1986-09-01,1973582.578
1986-10-01,1991027.904
1986-11-01,1880071.480
1986-12-01,1801686.650
1987-01-01,1475745.769
1987-02-01,1573038.183
1987-03-01,1582046.851
1987-04-01,1699383.496
1987-05-01,1618496.232
1987-06-01,1619738.449
1987-07-01,1455232.306
1987-08-01,1459761.636
