DATE,LFWA64TTUSM647S
1977-01-01,135167311.396
1977-02-01,135452375.968
1977-03-01,135683697.071
1977-04-01,135811639.638
1977-05-01,136168428.136
1977-06-01,136230922.919
1977-07-01,136459074.335
1977-08-01,136603204.717
1977-09-01,136815841.511
1977-10-01,137147600.199
1977-11-01,137265214.061
1977-12-01,137480378.073
1978-01-01,137602037.707
1978-02-01,137869266.718
1978-03-01,137978048.007
1978-04-01,138190220.551
1978-05-01,138376673.052
1978-06-01,138661791.502
1978-07-01,138787020.746
1978-08-01,138954213.708
1978-09-01,139220261.065
1978-10-01,139528276.294
1978-11-01,139637129.589
1978-12-01,139876327.759
1979-01-01,140126822.742
1979-02-01,140331385.946
1979-03-01,140542767.752
1979-04-01,140447685.579
1979-05-01,140610102.659
1979-06-01,140805161.329
1979-07-01,141069256.656
1979-08-01,141290883.275
1979-09-01,141510617.318
1979-10-01,141739228.932
1979-11-01,142047158.59
1979-12-01,142166053.435
1980-01-01,142520008.538
1980-02-01,142553428.987
1980-03-01,142665324.47
1980-04-01,142906616.63
1980-05-01,143266509.224
1980-06-01,143406089.413
1980-07-01,143525847.42
1980-08-01,143850397.992
1980-09-01,143967556.051
1980-10-01,143981762.006
1980-11-01,144188763.282
1980-12-01,144198431.773
1981-01-01,144353795.345
1981-02-01,144544692.525
1981-03-01,144733965.394
1981-04-01,144917291.262
1981-05-01,145160492.579
1981-06-01,145304847.333
1981-07-01,145182557.405
1981-08-01,145351339.802
1981-09-01,145448447.342
1981-10-01,145744804.257
1981-11-01,146015670.562
1981-12-01,146103968.959
1982-01-01,145991821.187
1982-02-01,146030286.59
1982-03-01,146321298.224
1982-04-01,146556674.169
1982-05-01,146729602.271
1982-06-01,146953931.041
1982-07-01,147034178.279
1982-08-01,147252057.028
1982-09-01,147437849.689
1982-10-01,147564906.937
1982-11-01,147691999.569
1982-12-01,147863092.372
1983-01-01,147383993.238
1983-02-01,147399284.041
1983-03-01,147550280.23
1983-04-01,147844606.062
1983-05-01,148089651.112
1983-06-01,148109843.648
1983-07-01,148546452.401
1983-08-01,148754223.597
1983-09-01,148924086.799
1983-10-01,148898622.853
1983-11-01,148838355.015
1983-12-01,148889180.143
1984-01-01,149004340.993
1984-02-01,149082036.461
1984-03-01,149276679.603
1984-04-01,149650439.309
1984-05-01,149827280.211
1984-06-01,149979482.353
1984-07-01,150106254.625
1984-08-01,150084312.624
1984-09-01,150184839.463
1984-10-01,150181847.009
1984-11-01,150349985.129
1984-12-01,150578423.948
1985-01-01,150533832.711
1985-02-01,150815841.609
1985-03-01,150972110.372
1985-04-01,151083479.937
1985-05-01,150962332.378
1985-06-01,151156220.159
1985-07-01,151138578.568
1985-08-01,151343873.04
1985-09-01,151548430.058
1985-10-01,151685971.045
1985-11-01,151808986.643
1985-12-01,151886316.505
1986-01-01,152198878.514
1986-02-01,152336980.14
1986-03-01,152549768.521
1986-04-01,152674625.692
1986-05-01,152938839.937
1986-06-01,153127098.457
1986-07-01,153287475.446
1986-08-01,153385864.786
1986-09-01,153522012.636
1986-10-01,153676998.949
1986-11-01,153689058.123
1986-12-01,153688003.155
1987-01-01,153674624.283
1987-02-01,153910018.323
1987-03-01,154131815.372
1987-04-01,154374009.188
1987-05-01,154557336.169
1987-06-01,154746836.906
1987-07-01,154742707.752
1987-08-01,154845626.422
1987-09-01,154938245.152
1987-10-01,155099897.171
1987-11-01,155259299.924
1987-12-01,155336389.511
1988-01-01,155426084.462
1988-02-01,155452328.522
1988-03-01,155570591.899
1988-04-01,155434164.747
1988-05-01,155635804.301
1988-06-01,155897280.643
1988-07-01,155988676.098
1988-08-01,156133640.599
1988-09-01,156248149.559
1988-10-01,156474095.454
1988-11-01,156581852.56
1988-12-01,156753279.682
1989-01-01,156873467.429
1989-02-01,156846581.653
1989-03-01,156729529.255
1989-04-01,156862449.377
1989-05-01,156991441.093
1989-06-01,157063832.023
1989-07-01,157238346.939
1989-08-01,157387431.19
1989-09-01,157708989.029
1989-10-01,157719920.009
1989-11-01,157921061.108
1989-12-01,158049604.948
1990-01-01,159291179.842
1990-02-01,159323264.388
1990-03-01,159407317.729
1990-04-01,159508050.934
1990-05-01,159617347.24
1990-06-01,159818953.571
1990-07-01,159909885.574
1990-08-01,160061037.015
1990-09-01,160174728.882
1990-10-01,160178975.04
1990-11-01,160360499.604
1990-12-01,160538034.054
1991-01-01,160430042.977
1991-02-01,160629637.048
1991-03-01,160794729.931
1991-04-01,160976549.19
1991-05-01,161168133.794
1991-06-01,161263416.505
1991-07-01,161222151.999
1991-08-01,161307372.921
1991-09-01,161399388.826
1991-10-01,161503259.913
1991-11-01,161715058.334
1991-12-01,161847146.782
1992-01-01,161749315.014
1992-02-01,161993437.425
1992-03-01,162185346.005
1992-04-01,162280128.693
1992-05-01,162593949.711
1992-06-01,162683514.101
1992-07-01,162784680.519
1992-08-01,163050147.027
1992-09-01,162954238.548
1992-10-01,163069703.456
1992-11-01,163255640.758
1992-12-01,163406787.353
1993-01-01,163328211.813
1993-02-01,163405513.723
1993-03-01,163508315.577
1993-04-01,163739012.714
1993-05-01,164007069.688
1993-06-01,164162199.539
1993-07-01,164260397.807
1993-08-01,164286356.358
1993-09-01,164420517.242
1993-10-01,164613603.643
1993-11-01,164750156.463
1993-12-01,164973061.549
1994-01-01,165088016.261
1994-02-01,165308342.906
1994-03-01,165439684.637
1994-04-01,165669244.774
1994-05-01,165731758.687
1994-06-01,165832174.178
1994-07-01,166041102.318
1994-08-01,166029815.162
1994-09-01,166180418.838
1994-10-01,166307905.261
1994-11-01,166262166.656
1994-12-01,166345533.137
1995-01-01,166334262.294
1995-02-01,166527269.088
1995-03-01,166695743.754
1995-04-01,166839535.046
1995-05-01,166961482.792
1995-06-01,166968769.757
1995-07-01,167223878.221
1995-08-01,167454653.898
1995-09-01,167501272.256
1995-10-01,167676205.131
1995-11-01,167882747.347
1995-12-01,167931387.941
1996-01-01,167790217.491
1996-02-01,167993850.183
1996-03-01,168195266.154
1996-04-01,168366016.289
1996-05-01,168404111.861
1996-06-01,168685143.545
1996-07-01,168787368.691
1996-08-01,169046319.994
1996-09-01,169364094.488
1996-10-01,169497661.05
1996-11-01,169851371.021
1996-12-01,169904863.829
1997-01-01,170287720.715
1997-02-01,170391520.658
1997-03-01,170655021.14
1997-04-01,170723767.163
1997-05-01,170693282.331
1997-06-01,171093162.67
1997-07-01,171293043.984
1997-08-01,171435037.66
1997-09-01,171652620.345
1997-10-01,171737429.177
1997-11-01,171794882.543
1997-12-01,172111241.957
1998-01-01,172156335.089
1998-02-01,172361847.763
1998-03-01,172480396.266
1998-04-01,172428186.841
1998-05-01,172576641.484
1998-06-01,172783493.767
1998-07-01,172991974.323
1998-08-01,173231560.508
1998-09-01,173557869.755
1998-10-01,173587410.96
1998-11-01,173697242.287
1998-12-01,173978372.212
1999-01-01,174435842.567
1999-02-01,174594120.456
1999-03-01,174689740.438
1999-04-01,174706248.613
1999-05-01,174970605.601
1999-06-01,175208213.899
1999-07-01,175381776.824
1999-08-01,175540796.818
1999-09-01,175661101.746
1999-10-01,175944166.1
1999-11-01,176004850.351
1999-12-01,176270716.407
2000-01-01,178259050.173
2000-02-01,178423696.371
2000-03-01,178540067.067
2000-04-01,178743262.448
2000-05-01,178807556.466
2000-06-01,179010958.198
2000-07-01,179204806.412
2000-08-01,179128055.045
2000-09-01,179390342.933
2000-10-01,179647587.535
2000-11-01,179806607.766
2000-12-01,180210024.828
2001-01-01,180548449.274
2001-02-01,180867262.02
2001-03-01,180937047.846
2001-04-01,180942744.012
2001-05-01,180987256.518
2001-06-01,181221020.839
2001-07-01,181349396.185
2001-08-01,181646132.835
2001-09-01,181752754.648
2001-10-01,182160347.847
2001-11-01,182531722.556
2001-12-01,182676448.741
2002-01-01,182802460.19
2002-02-01,182991736.064
2002-03-01,183334004.855
2002-04-01,183442410.962
2002-05-01,183395242.111
2002-06-01,183584623.975
2002-07-01,183663398.915
2002-08-01,184044560.454
2002-09-01,184242036.301
2002-10-01,184431394.052
2002-11-01,184778063.03
2002-12-01,184895304.473
2003-01-01,185726426.314
2003-02-01,185879693.34
2003-03-01,186273763.974
2003-04-01,186583170.125
2003-05-01,186842024.782
2003-06-01,186992513.063
2003-07-01,187189709.562
2003-08-01,187267552.021
2003-09-01,187380460.515
2003-10-01,187559314.57
2003-11-01,187797585.07
2003-12-01,187871780.785
2004-01-01,187497109.883
2004-02-01,187901704.597
2004-03-01,188093461.484
2004-04-01,188311455.668
2004-05-01,188581051.514
2004-06-01,188686441.11
2004-07-01,188728886.499
2004-08-01,188957344.506
2004-09-01,189226848.529
2004-10-01,189441052.85
2004-11-01,189667217.231
2004-12-01,189947650.425
2005-01-01,190087558.135
2005-02-01,190100135.469
2005-03-01,190292490.451
2005-04-01,190425274.865
2005-05-01,190606422.715
2005-06-01,190838212.069
2005-07-01,191031419.795
2005-08-01,191266958.408
2005-09-01,191637898.625
2005-10-01,191838062.374
2005-11-01,192015466.975
2005-12-01,192185463.447
2006-01-01,192260583.49
2006-02-01,192449617.738
2006-03-01,192461338.31
2006-04-01,192618689.559
2006-05-01,192886828.708
2006-06-01,193200454.96
2006-07-01,193630437.917
2006-08-01,193706004.006
2006-09-01,193601957.936
2006-10-01,193838898.651
2006-11-01,194076892.323
2006-12-01,194291950.535
2007-01-01,194904598.174
2007-02-01,195049898.151
2007-03-01,194971969.341
2007-04-01,194923256.03
2007-05-01,195183011.012
2007-06-01,195552764.945
2007-07-01,195758202.341
2007-08-01,195923960.063
2007-09-01,196040878.972
2007-10-01,196077172.02
2007-11-01,196174314.076
2007-12-01,196488870.466
2008-01-01,196117049.543
2008-02-01,196199586.583
2008-03-01,196298001.064
2008-04-01,196295553.699
2008-05-01,196435397.259
2008-06-01,196555315.331
2008-07-01,196605084.205
2008-08-01,196607111.327
2008-09-01,196892232.352
2008-10-01,196983561.222
2008-11-01,197170079.63
2008-12-01,197474736.31
2009-01-01,197135483.897
2009-02-01,197263203.512
2009-03-01,197599157.47
2009-04-01,197903963.865
2009-05-01,198057153.523
2009-06-01,197889415.546
2009-07-01,197991090.025
2009-08-01,198139319.392
2009-09-01,198244991.892
2009-10-01,198423323.856
2009-11-01,198485116.904
2009-12-01,198531020.273
2010-01-01,198233714.983
2010-02-01,198411116.527
2010-03-01,198785540.624
2010-04-01,199121026.356
