DATE,LFWA64TTJPM647S_PC1
1971-01-01,1.15075
1971-02-01,1.05438
1971-03-01,1.08862
1971-04-01,0.99763
1971-05-01,1.02593
1971-06-01,1.01420
1971-07-01,1.03012
1971-08-01,1.02091
1971-09-01,0.89096
1971-10-01,0.95389
1971-11-01,1.05266
1971-12-01,1.05811
1972-01-01,1.04637
1972-02-01,0.79185
1972-03-01,0.50756
1972-04-01,0.58097
1972-05-01,0.72367
1972-06-01,0.66277
1972-07-01,1.42967
1972-08-01,1.42094
1972-09-01,1.50726
1972-10-01,1.65454
1972-11-01,1.49847
1972-12-01,1.53557
1973-01-01,1.74457
1973-02-01,1.99765
1973-03-01,1.91497
1973-04-01,1.87552
1973-05-01,1.83790
1973-06-01,1.90635
1973-07-01,1.03007
1973-08-01,0.93140
1973-09-01,1.01551
1973-10-01,0.94997
1973-11-01,1.07752
1973-12-01,0.85180
1974-01-01,0.73571
1974-02-01,0.91608
1974-03-01,1.00107
1974-04-01,1.04012
1974-05-01,1.00426
1974-06-01,0.97763
1974-07-01,0.90890
1974-08-01,1.03130
1974-09-01,0.89977
1974-10-01,0.81566
1974-11-01,0.69781
1974-12-01,0.86902
1975-01-01,0.74752
1975-02-01,0.63957
1975-03-01,0.71752
1975-04-01,0.78737
1975-05-01,0.78796
1975-06-01,0.93917
1975-07-01,1.09576
1975-08-01,0.93780
1975-09-01,0.98336
1975-10-01,0.96659
1975-11-01,0.96966
1975-12-01,1.13071
1976-01-01,1.17695
1976-02-01,0.98973
1976-03-01,1.04863
1976-04-01,0.99486
1976-05-01,0.84722
1976-06-01,0.73725
1976-07-01,0.79879
1976-08-01,0.88402
1976-09-01,0.88545
1976-10-01,0.75264
1976-11-01,0.71718
1976-12-01,0.76129
1977-01-01,0.78896
1977-02-01,0.82161
1977-03-01,0.83808
1977-04-01,0.78652
1977-05-01,0.74258
1977-06-01,0.72105
1977-07-01,0.74911
1977-08-01,0.70458
1977-09-01,0.66771
1977-10-01,0.73691
1977-11-01,0.84636
1977-12-01,0.74373
1978-01-01,0.56338
1978-02-01,0.71203
1978-03-01,0.60662
1978-04-01,0.62950
1978-05-01,0.83766
1978-06-01,0.76790
1978-07-01,0.62212
1978-08-01,0.65419
1978-09-01,0.67332
1978-10-01,0.78534
1978-11-01,0.71868
1978-12-01,0.64406
1979-01-01,0.86900
1979-02-01,0.75608
1979-03-01,0.78553
1979-04-01,0.72674
1979-05-01,0.58180
1979-06-01,0.65447
1979-07-01,0.77199
1979-08-01,0.72385
1979-09-01,0.74133
1979-10-01,0.69421
1979-11-01,0.77038
1979-12-01,0.81577
1980-01-01,0.71253
1980-02-01,0.69498
1980-03-01,0.74823
1980-04-01,0.87418
1980-05-01,0.85049
1980-06-01,0.87978
1980-07-01,0.90665
1980-08-01,0.94523
1980-09-01,1.04276
1980-10-01,1.01798
1980-11-01,0.92437
1980-12-01,0.90778
1981-01-01,0.94788
1981-02-01,0.92167
1981-03-01,0.95975
1981-04-01,0.77354
1981-05-01,0.70126
1981-06-01,0.60368
1981-07-01,0.62146
1981-08-01,0.57192
1981-09-01,0.42117
1981-10-01,0.41344
1981-11-01,0.47652
1981-12-01,0.47268
1982-01-01,0.43990
1982-02-01,0.64572
1982-03-01,0.65073
1982-04-01,0.68580
1982-05-01,0.82203
1982-06-01,0.82919
1982-07-01,0.75586
1982-08-01,0.87937
1982-09-01,0.90148
1982-10-01,0.94886
1982-11-01,0.94623
1982-12-01,1.13267
1983-01-01,1.23179
1983-02-01,1.09070
1983-03-01,0.88600
1983-04-01,0.91805
1983-05-01,0.94227
1983-06-01,1.02909
1983-07-01,1.01246
1983-08-01,0.99777
1983-09-01,0.97934
1983-10-01,0.97567
1983-11-01,0.97947
1983-12-01,0.87078
1984-01-01,0.70771
1984-02-01,0.72923
1984-03-01,0.88896
1984-04-01,0.96521
1984-05-01,0.94694
1984-06-01,0.97595
1984-07-01,1.00491
1984-08-01,0.95732
1984-09-01,1.08702
1984-10-01,1.03940
1984-11-01,0.96845
1984-12-01,0.93251
1985-01-01,1.04553
1985-02-01,1.02626
1985-03-01,0.94833
1985-04-01,0.90579
1985-05-01,0.94754
1985-06-01,0.84393
1985-07-01,0.83714
1985-08-01,0.71721
1985-09-01,0.75222
1985-10-01,0.85359
1985-11-01,0.91347
1985-12-01,0.88607
1986-01-01,0.90325
1986-02-01,1.00832
1986-03-01,1.10622
1986-04-01,1.04819
1986-05-01,0.74328
1986-06-01,0.82286
1986-07-01,1.05091
1986-08-01,1.21948
1986-09-01,1.09800
1986-10-01,1.05677
1986-11-01,0.96168
1986-12-01,1.02217
1987-01-01,0.95082
1987-02-01,0.85814
1987-03-01,0.95919
1987-04-01,1.00030
1987-05-01,1.14771
1987-06-01,1.12147
1987-07-01,0.96169
1987-08-01,0.97464
1987-09-01,0.83524
1987-10-01,0.84045
1987-11-01,1.06582
1987-12-01,1.11743
1988-01-01,1.16381
1988-02-01,1.09051
1988-03-01,0.87047
1988-04-01,1.03553
1988-05-01,1.18584
1988-06-01,1.05878
1988-07-01,1.02716
1988-08-01,0.90318
1988-09-01,1.03143
1988-10-01,1.02517
1988-11-01,0.98842
1988-12-01,0.89685
1989-01-01,0.78991
1989-02-01,0.88421
1989-03-01,0.98511
1989-04-01,0.79979
1989-05-01,0.76976
1989-06-01,0.92941
1989-07-01,0.96257
1989-08-01,0.94471
1989-09-01,0.93894
1989-10-01,0.88809
1989-11-01,0.77223
1989-12-01,0.83169
1990-01-01,0.87797
1990-02-01,0.83202
1990-03-01,0.78139
1990-04-01,0.75634
1990-05-01,0.80657
1990-06-01,0.71253
1990-07-01,0.55478
1990-08-01,0.55663
1990-09-01,0.68471
1990-10-01,0.77516
1990-11-01,0.58711
1990-12-01,0.46671
1991-01-01,0.59356
1991-02-01,0.56674
1991-03-01,0.69624
1991-04-01,0.72986
1991-05-01,0.47923
1991-06-01,0.54967
1991-07-01,0.61706
1991-08-01,0.73986
1991-09-01,0.59863
1991-10-01,0.38577
1991-11-01,0.52004
1991-12-01,0.53331
1992-01-01,0.45707
1992-02-01,0.59258
1992-03-01,0.35990
1992-04-01,0.22057
1992-05-01,0.33019
1992-06-01,0.32797
1992-07-01,0.36129
1992-08-01,0.33157
1992-09-01,0.24363
1992-10-01,0.41434
1992-11-01,0.51067
1992-12-01,0.49580
1993-01-01,0.41638
1993-02-01,0.27920
1993-03-01,0.35178
1993-04-01,0.49468
1993-05-01,0.49113
1993-06-01,0.39444
1993-07-01,0.36861
1993-08-01,0.31971
1993-09-01,0.30036
1993-10-01,0.25607
1993-11-01,0.26974
1993-12-01,0.31932
1994-01-01,0.26735
1994-02-01,0.19269
1994-03-01,0.18424
1994-04-01,0.18990
1994-05-01,0.20301
1994-06-01,0.12701
1994-07-01,0.08862
1994-08-01,0.09848
1994-09-01,0.14660
1994-10-01,0.08487
1994-11-01,-0.02711
1994-12-01,-0.04126
1995-01-01,0.02870
1995-02-01,0.05662
1995-03-01,0.15364
1995-04-01,0.08277
1995-05-01,-0.01497
1995-06-01,0.07763
1995-07-01,0.04176
1995-08-01,-0.05024
1995-09-01,-0.03221
1995-10-01,-0.01319
1995-11-01,0.02199
1995-12-01,-0.03465
1996-01-01,-0.10067
1996-02-01,-0.07612
1996-03-01,-0.21163
1996-04-01,-0.17703
1996-05-01,-0.15730
1996-06-01,-0.12115
1996-07-01,-0.10272
1996-08-01,-0.10942
1996-09-01,-0.11675
1996-10-01,-0.13931
1996-11-01,-0.21710
1996-12-01,-0.19830
1997-01-01,0.12606
1997-02-01,0.13149
1997-03-01,0.16013
1997-04-01,0.10836
1997-05-01,0.14005
1997-06-01,0.13313
1997-07-01,0.09619
1997-08-01,0.06892
1997-09-01,0.10729
1997-10-01,0.13643
1997-11-01,0.09716
1997-12-01,0.10903
1998-01-01,-0.19108
1998-02-01,-0.13163
1998-03-01,-0.09446
1998-04-01,-0.11293
1998-05-01,-0.13449
1998-06-01,-0.17046
1998-07-01,-0.06974
1998-08-01,0.02637
1998-09-01,-0.10128
1998-10-01,-0.11166
1998-11-01,-0.03529
1998-12-01,-0.11464
1999-01-01,-0.10468
1999-02-01,-0.18042
1999-03-01,-0.25393
1999-04-01,-0.19744
1999-05-01,-0.20803
1999-06-01,-0.27226
1999-07-01,-0.27487
1999-08-01,-0.23132
1999-09-01,-0.15600
1999-10-01,-0.21733
1999-11-01,-0.21642
1999-12-01,-0.10882
2000-01-01,-0.17622
2000-02-01,-0.10088
2000-03-01,-0.18854
2000-04-01,-0.13683
2000-05-01,-0.13212
2000-06-01,-0.12920
2000-07-01,-0.22989
2000-08-01,-0.34742
2000-09-01,-0.30331
2000-10-01,-0.28375
2000-11-01,-0.27256
2000-12-01,-0.26885
2001-01-01,-0.25475
2001-02-01,-0.40338
2001-03-01,-0.29350
2001-04-01,-0.35731
2001-05-01,-0.32751
2001-06-01,-0.35271
2001-07-01,-0.28209
2001-08-01,-0.28930
2001-09-01,-0.41956
2001-10-01,-0.31044
2001-11-01,-0.18957
2001-12-01,-0.26742
2002-01-01,-0.42443
2002-02-01,-0.35702
2002-03-01,-0.43635
2002-04-01,-0.57694
2002-05-01,-0.62582
2002-06-01,-0.47723
2002-07-01,-0.53464
2002-08-01,-0.56275
2002-09-01,-0.46550
2002-10-01,-0.55177
2002-11-01,-0.84443
2002-12-01,-0.83695
2003-01-01,-0.66567
2003-02-01,-0.68152
2003-03-01,-0.51566
2003-04-01,-0.50572
2003-05-01,-0.43348
2003-06-01,-0.34562
2003-07-01,-0.43599
2003-08-01,-0.42606
2003-09-01,-0.43533
2003-10-01,-0.47631
2003-11-01,-0.26413
2003-12-01,-0.28999
2004-01-01,-0.21791
2004-02-01,-0.28431
2004-03-01,-0.29784
2004-04-01,0.00123
2004-05-01,-0.20092
2004-06-01,-0.59943
2004-07-01,-0.40458
2004-08-01,-0.33498
2004-09-01,-0.44695
2004-10-01,-0.45743
2004-11-01,-0.55208
2004-12-01,-0.46979
2005-01-01,-0.48966
2005-02-01,-0.41734
2005-03-01,-0.63193
2005-04-01,-0.82941
2005-05-01,-0.58057
2005-06-01,-0.48851
2005-07-01,-0.57534
2005-08-01,-0.61672
2005-09-01,-0.50838
2005-10-01,-0.50912
2005-11-01,-0.64203
2005-12-01,-0.69824
2006-01-01,-0.68242
2006-02-01,-0.67536
2006-03-01,-0.45773
2006-04-01,-0.61764
2006-05-01,-0.68415
2006-06-01,-0.54415
2006-07-01,-0.65152
2006-08-01,-0.73943
2006-09-01,-0.76186
2006-10-01,-0.74487
2006-11-01,-0.60799
2006-12-01,-0.76093
2007-01-01,-0.93757
2007-02-01,-0.86976
2007-03-01,-0.94526
2007-04-01,-0.76122
2007-05-01,-0.91130
2007-06-01,-0.88687
2007-07-01,-0.87958
2007-08-01,-0.88300
2007-09-01,-0.95891
2007-10-01,-0.87269
2007-11-01,-0.82751
2007-12-01,-0.66100
2008-01-01,-0.57310
2008-02-01,-0.71778
2008-03-01,-0.72137
2008-04-01,-0.73105
2008-05-01,-0.60594
2008-06-01,-0.70111
2008-07-01,-0.67512
2008-08-01,-0.66574
2008-09-01,-0.66321
2008-10-01,-0.80534
2008-11-01,-0.79012
2008-12-01,-0.78667
2009-01-01,-0.84517
2009-02-01,-0.88280
2009-03-01,-0.86670
2009-04-01,-0.85940
2009-05-01,-0.94534
2009-06-01,-0.97501
2009-07-01,-0.84030
2009-08-01,-0.72937
2009-09-01,-0.71190
2009-10-01,-0.73373
2009-11-01,-0.79798
2009-12-01,-0.82083
2010-01-01,-0.78340
2010-02-01,-0.71697
