"Real GDP by metropolitan area (millions of chained 2009 dollars)"
"Levels" 
"Bureau of Economic Analysis" 
"All industry total"
"Fips","Area","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"00998","United States (Metropolitan Portion)",11525321,11734724,12027433,12456695,12872152,13224617,13428920,13345326,12977972,13254854,13438564,13721925,13887768,14203294,14563088
"10180","Abilene, TX (Metropolitan Statistical Area)",4666,4817,4916,5008,4989,5189,5404,5517,5317,5349,5440,5867,6016,6210,6155
"10420","Akron, OH (Metropolitan Statistical Area)",26583,27476,28238,29217,29911,29863,29900,29712,27845,28451,28955,29359,29383,30295,31160
"10500","Albany, GA (Metropolitan Statistical Area)",5297,5238,5323,5337,5422,5274,5160,4946,4978,4824,4728,4712,4692,4596,4548
"10540","Albany, OR (Metropolitan Statistical Area)",2864,2958,2902,3144,3180,3331,3185,3152,3067,2980,2988,3085,3107,3111,3213
"10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",38352,38686,39956,41222,41498,41958,41231,41299,42506,42774,42637,43332,44068,44435,45325
"10740","Albuquerque, NM (Metropolitan Statistical Area)",32678,32633,34791,38335,38244,38566,37684,38524,38373,38634,38719,38675,37938,38523,38663
"10780","Alexandria, LA (Metropolitan Statistical Area)",4278,4420,4474,4765,4943,5280,5420,5465,5372,5460,5004,4958,4802,4786,4709
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",29496,30125,29650,29962,30590,31071,31310,31109,30064,31093,31407,31640,31880,32670,33393
"11020","Altoona, PA (Metropolitan Statistical Area)",4116,4109,4215,4283,4377,4397,4467,4410,4391,4421,4399,4376,4409,4490,4521
"11100","Amarillo, TX (Metropolitan Statistical Area)",8183,8372,8603,8837,8917,9372,9575,9820,9917,10064,9957,10232,10389,10726,10865
"11180","Ames, IA (Metropolitan Statistical Area)",3391,3420,3626,3799,3833,4136,4152,4666,4207,4485,4276,4049,4100,4266,4336
"11260","Anchorage, AK (Metropolitan Statistical Area)",19602,20475,20382,21367,22148,22946,23761,24347,27077,26745,27157,28647,27438,26483,26626
"11460","Ann Arbor, MI (Metropolitan Statistical Area)",18465,19625,20054,19928,20147,20004,20320,19457,18422,19019,18856,18536,18712,18860,19196
"11500","Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)",3121,3257,3405,3665,3779,3825,3969,3997,3780,3824,3737,3622,3472,3429,3415
"11540","Appleton, WI (Metropolitan Statistical Area)",9212,9126,9586,10008,10176,10195,10401,10095,10045,10014,10227,10416,10398,10802,11023
"11700","Asheville, NC (Metropolitan Statistical Area)",11854,12178,12491,13065,13469,14089,14019,14686,14370,14167,14068,14234,14101,14427,14997
"12020","Athens-Clarke County, GA (Metropolitan Statistical Area)",5963,5960,6142,6267,6492,6530,6616,6743,6692,6680,6639,6752,6790,6900,7199
"12060","Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",252397,254926,259273,265390,277042,282699,290819,285001,271120,272427,276516,280911,285802,295397,303903
